Subj,Class,risk_2d
1,0,-6.973
2,1,12.269
3,1,7.835
4,1,29.765
5,1,14.962
6,1,-10.517
7,1,13.136
8,1,21.784
9,1,2.919
10,1,-10.153
11,1,-4.495
12,1,8.054
13,1,3.064
14,1,-5.137
15,1,24.351
16,0,-44.07
17,1,26.88
18,1,-5.93
19,1,12.607
20,0,-19.459
21,1,20.539
22,1,11.788
23,1,19.051
24,1,13.643
25,1,-36.367
26,1,5.11
27,1,19.116
28,1,21.864
29,1,11.395
30,1,19.732
31,1,-0.199
32,1,4.537
33,0,-3.497
34,1,-7.798
35,1,-13.801
36,1,-17.634
37,1,-19.679
38,1,28.696
39,0,-36.367
40,1,-17.718
41,1,15.043
42,1,-17.718
43,1,19.114
44,1,-7.703
45,1,-17.718
46,1,14.768
47,1,-32.45
48,1,29.851
49,1,-9.603
50,1,-14.017
51,1,4.792
52,1,6.23
53,1,10.622
54,1,18.364
55,1,4.792
56,1,3.437
57,1,2.919
58,0,-20.226
59,1,-15.54
60,0,-25.421
61,1,34.594
62,1,10.073
63,1,0.670999999999998
64,1,-25.421
65,1,-21.336
66,1,-8.753
67,1,3.359
68,1,25.337
69,1,-14.897
70,1,-26.028
71,1,27.16
72,1,-2.37
73,1,-33.475
74,1,-6.098
75,1,-7.193
76,1,-3.147
77,1,13.374
78,1,17.317
79,1,15.757
80,1,-13.572
81,0,-25.421
82,0,-35.574
83,1,18.664
84,1,11.611
85,1,-30.692
86,1,-10.099
87,1,20.284
88,1,-9.906
89,1,-0.313999999999999
90,1,14.373
91,1,-40.153
92,1,-11.672
93,1,10.047
94,1,23.864
95,1,3.359
96,1,17.718
97,1,1.849
98,1,34.388
99,1,-6.098
100,1,25.421
101,0,-10.016
102,0,-11.756
103,1,-20.677
104,0,-17.718
105,1,2.601
106,1,-17.718
107,1,-4.35
108,1,-6.595
109,1,12.581
110,1,-42.106
111,1,-9.914
112,1,-23.207
113,1,-25.15
114,1,-26.214
115,1,4.206
116,1,-1.425
117,1,28.875
118,0,-36.367
119,1,-48.068
120,1,13.605
121,1,10.146
122,0,-31.485
123,1,2.672
124,1,-32.01
125,1,-5.271
126,1,9.373
127,1,-27.681
128,1,-8.591
129,1,-25.104
130,1,-36.367
131,1,6.046
132,1,16.876
133,1,-26.841
134,1,7.031
135,1,27.039
136,1,0.775
137,1,2.821
138,1,2.919
139,1,-43.743
140,1,23.898
141,1,-33.917
142,1,12.73
143,1,-17.718
144,1,-36.775
145,1,6.278
146,1,-4.524
147,1,-19.16
148,1,-33.542
149,1,-5.577
150,1,2.644
151,1,9.963
152,1,-36.367
153,1,25.321
154,1,-11.756
155,1,13.152
156,1,3.359
157,1,-1.015
158,1,12.168
159,1,-7.044
160,0,-16.294
161,1,0
162,1,-17.718
163,1,24.227
164,1,14.575
165,1,17.962
166,1,10.015
167,1,20.539
168,0,1.675
169,1,2.821
170,1,-8.556
171,1,24.106
172,1,4.085
173,1,8.421
174,1,19.156
175,1,-12.342
176,1,-27.305
177,1,-6.646
178,1,4.792
179,1,6.278
180,1,7.389
181,1,2.919
182,1,4.878
183,1,12.702
184,1,5.686
185,1,-15.594
186,1,2.245
187,1,24.492
188,1,4.085
189,1,-2.915
190,1,-15.141
191,1,21.198
192,1,-7.671
193,1,24.067
194,1,7.463
195,1,0
196,1,14.161
197,1,17.412
198,1,4.085
199,1,-2.471
200,1,13.572
201,1,-28.175
202,1,-2.221
203,1,-0.24
204,1,8.916
205,1,4.904
206,1,9.799
207,1,-16.992
208,1,19.044
209,1,5.702
210,1,-8.158
211,1,-16.199
212,1,-25.421
213,1,26.501
214,1,-27.871
215,1,8.617
216,1,-4.397
217,1,23.502
218,1,-12.935
219,0,-36.654
220,1,2.465
221,1,1.452
222,1,3.645
223,1,12.828
224,1,-17.718
225,1,5.962
226,0,2.672
227,0,-3.557
228,1,27.571
229,1,-19.679
230,0,-43.88
231,1,21.103
232,1,-5.232
233,1,-17.503
234,1,-31.485
235,1,-7.405
236,1,-53.003
237,1,-3.67
238,1,0
239,1,-15.131
240,0,-52.508
241,1,1.65
242,1,17.718
243,1,0.419999999999999
244,1,0
245,1,21.635
246,0,-12.935
247,1,4.206
248,1,-14.081
249,1,27.648
250,1,18.948
251,1,14.598
252,1,2.025
253,0,-25.104
254,1,-20.634
255,1,-15.967
256,0,-17.66
257,1,17.718
258,1,-7.616
259,1,18.448
260,1,9.378
261,1,-21.504
262,1,-10.114
263,1,-5.137
264,1,23.68
265,1,-8.556
266,1,4.085
267,1,16.752
268,1,-14.951
269,1,15.469
270,1,-17.052
271,1,-5.232
272,1,6.619
273,1,4.878
274,1,11.757
275,1,-24.747
276,1,-26.355
277,1,11.222
278,1,-9.289
279,1,20.989
280,1,-29.095
281,1,-14.26
282,1,13.945
283,1,10.108
284,1,-12.208
285,1,-1.851
286,1,-8.556
287,1,19.567
288,1,22.783
289,1,12.935
290,1,-3.557
291,1,6.755
292,1,-0.313999999999999
293,1,-4.639
294,1,27.627
295,1,12.061
296,1,-22.989
297,1,-15.387
298,1,-22.043
299,1,12.834
300,1,-8.556
301,1,26.269
302,1,27.648
303,1,-18.718
304,1,12.486
305,1,32.842
306,1,5.491
307,1,13.194
308,1,-8.496
309,1,19.114
310,1,17.718
311,0,15.195
312,1,-44.805
313,1,-18.16
314,1,-4.118
315,1,21.665
316,1,7.593
317,1,-31.657
318,1,4.174
319,0,-44.07
320,1,13.962
321,1,4.206
322,1,-16.488
323,1,4.085
324,1,15.574
325,1,-2.669
326,1,-2.629
327,1,-17.503
328,1,16.638
329,1,4.206
330,1,15.977
331,1,2.124
332,1,-20.252
333,1,12.635
334,1,28.426
335,1,28.912
336,1,-20.838
337,1,23.898
338,1,4.421
339,1,-10.886
340,1,22.95
341,1,-17.335
342,1,1.873
343,1,-7.703
344,1,0.0670000000000002
345,1,21.864
346,1,30.448
347,1,10.62
348,1,-7.703
349,1,17.719
350,1,-10.598
351,1,-4.457
352,1,11.788
353,1,10.84
354,1,19.567
355,1,16.195
356,1,27.826
357,1,4.146
358,1,21.103
359,1,-28.556
360,1,4.699
361,1,-29.207
362,1,-21.831
363,0,-3.557
364,1,14.363
365,1,12.486
366,1,10.168
367,1,3.935
368,1,-26.214
369,1,-17.718
370,1,-1.227
371,1,10.779
372,1,15.043
373,1,17.552
374,1,-19.679
375,1,19.142
376,0,-39.899
377,1,-12.455
378,0,-12.881
379,1,29.567
380,1,12.614
381,1,12.447
382,1,8.7
383,1,10.62
384,1,12.486
385,1,-15.332
386,1,-12.342
387,1,-26.404
388,1,-12.053
389,1,-1.464
390,1,11.038
391,1,-22.213
392,1,21.896
393,1,19.116
394,1,13.566
395,0,-12.292
396,1,19.116
397,1,4.053
398,1,-5.079
399,1,7.193
400,1,0.811999999999999
401,1,-27.871
402,1,-14.51
403,1,-17.718
404,1,0.670999999999998
405,1,2.917
406,1,9.963
407,1,-18.16
408,1,7.755
409,1,21.864
410,1,0.670999999999998
411,1,-0.166
412,1,9.17
413,0,-23.297
414,1,-5.577
415,1,18.588
416,0,-2.629
417,1,-36.367
418,1,-25.104
419,1,-15.594
420,1,-46.766
421,1,-28.556
422,1,7.431
423,1,21.198
424,1,-36.367
425,1,11.848
426,1,8.821
427,1,-14.116
428,1,13.356
429,1,4.146
430,1,23.68
431,1,23.82
432,1,-0.0929999999999991
433,0,-8.496
434,1,34.533
435,1,4.876
436,1,7.703
437,1,-11.672
438,0,-10.297
439,1,-14.951
440,1,-26.214
441,1,-27.871
442,1,-28.224
443,1,19.164
444,1,-9.88
445,1,18.569
446,1,37.055
447,1,-36.152
448,1,14.34
449,1,-11.756
450,1,11.238
451,0,-25.421
452,1,10.108
453,1,7.605
454,1,-8.753
455,1,-26.263
456,1,-11.194
457,1,17.718
458,1,4.206
459,1,10.047
460,1,-17.718
461,1,14.575
462,1,12.917
463,1,3.557
464,1,13.317
465,1,4.877
466,1,-4.146
467,1,-12.137
468,1,-14.951
469,1,-4.847
470,1,17.043
471,1,12.145
472,1,4.085
473,0,-23.143
474,1,2.51
475,1,-15.458
476,0,-2.866
477,1,-22.771
478,1,-31.735
479,1,-5.93
480,1,13.136
481,0,-46.031
482,1,-16.34
483,1,10.015
484,1,-7.791
485,1,5.288
486,1,-28.578
487,1,4.085
488,0,-19.459
489,1,23.447
490,1,12.581
491,1,4.053
492,0,8.628
493,1,7.608
494,1,-4.232
495,1,8.236
496,1,20.269
497,1,17.789
498,1,-8.556
499,1,-6.098
500,1,2.919
501,1,24.227
502,0,-2.993
503,1,-17.718
504,1,-5.887
505,1,-12.868
506,1,-7.703
507,1,-7.032
508,1,6.046
509,1,0
510,1,13.194
511,1,4.085
512,0,-14.747
513,0,-8.556
514,1,-21.336
515,1,0
516,1,5.962
517,1,6.154
518,1,-8.591
519,1,-19.375
520,1,15.789
521,1,-19.375
522,1,-30.405
523,0,15.977
524,0,-26.595
525,0,-49.329
526,0,-9.914
527,0,3.947
528,0,26.587
529,0,-19.679
530,0,12.297
531,0,17.463
532,0,-5.228
533,0,19.142
534,0,-21.831
535,0,-5.58
536,0,-33.833
537,0,3.437
538,0,-16.344
539,0,-31.076
540,0,-36.367
541,0,-21.009
542,0,2.432
543,0,-12.638
544,0,-4.457
545,0,-8.756
546,0,-22.616
547,0,4.111
548,0,-17.718
549,0,15.85
550,0,0.825
551,0,-36.367
552,0,7.12
553,0,23.616
554,0,19.683
555,0,-36.367
556,0,-8.591
557,0,12.702
558,0,-36.367
559,0,-15.379
560,0,-26.751
561,0,-29.554
562,0,-16.925
563,0,-21.47
564,0,-18.589
565,0,-27.214
566,0,-5.87
567,0,7.703
568,0,-52.508
569,0,-1.065
570,0,-2.534
571,0,-8.756
572,0,-13.633
573,0,-17.718
574,0,-22.327
575,0,14.161
576,0,-44.619
577,0,6.619
578,0,5.665
579,0,-18.936
580,0,-25.421
581,0,-4.964
582,0,-12.513
583,0,-16.251
584,0,-8.637
585,0,4.111
586,0,-25.523
587,0,-12.702
588,0,4.272
589,0,0
590,0,7.593
591,0,-9.308
592,0,8.165
593,0,-4.457
594,0,20.23
595,0,8.199
596,0,-9.101
597,0,3.365
598,0,-44.805
599,0,-37.041
600,0,24.432
601,0,13.374
602,0,4.783
603,0,-6.761
604,0,-9.101
605,0,20.123
606,0,2.821
607,0,6.278
608,0,24.911
609,0,-5.962
610,0,-7.755
611,0,12.581
612,0,-24.73
613,0,3.941
614,0,21.286
615,0,-12.342
616,0,-1.836
617,0,-30.405
618,0,-12.935
619,0,-17.081
620,0,-4.639
621,0,-19.679
622,0,-7.684
623,0,17.718
624,0,20.485
625,0,-6.064
626,0,0.419999999999999
627,0,-24.747
628,0,-32.01
629,0,25.421
630,0,18.569
631,0,4.085
632,0,-4.298
633,0,-11.756
634,0,-11.219
635,0,-1.227
636,0,-18.589
637,0,-8.556
638,0,-15.039
639,0,4.143
640,0,23.68
641,0,2.344
642,0,-29.039
643,0,14.491
644,0,-6.098
645,0,-43.743
646,0,-4.784
647,0,-8.637
648,0,-1.379
649,0,-37.834
650,0,-45.216
651,0,-33.917
652,0,15.961
653,0,-38.537
654,0,20.607
655,0,-6.098
656,0,24.55
657,0,-30.365
658,0,-21.336
659,0,-21.739
660,0,-5.671
661,0,-3.557
662,0,-19.375
663,0,-25.403
664,0,7.755
665,0,-16.321
666,0,-22.242
667,0,-18.519
668,0,-3.765
669,0,-22.068
670,0,-2.594
671,0,-30.692
672,0,-17.718
673,0,-34.842
674,0,12.581
675,0,12.581
676,0,-19.563
677,0,13.379
678,0,4.792
679,0,-2.571
680,0,12.148
681,0,21.077
682,0,-36.367
683,0,-13.633
684,0,-17.718
685,0,-17.335
686,0,-7.292
687,0,-2.097
688,0,2.15
689,0,9.618
690,0,21.308
691,0,-8.935
692,0,18.447
693,0,2.796
694,0,-22.989
695,0,-7.164
696,0,-5.271
697,0,-8.789
698,0,-3.618
699,0,19.093
700,0,9.056
701,0,-17.718
702,0,-0.0950000000000006
703,0,-36.367
704,0,8.461
705,0,-9.41
706,0,-31.657
707,0,-20.633
708,0,4.001
709,0,-30.405
710,0,-8.647
711,0,-8.556
712,0,17.109
713,0,-32.48
714,0,10.885
715,0,14.603
716,0,24.631
717,0,-18.863
