Subj,Class,risk_2d
1,1,275.375
2,1,268.124
3,1,269.237
4,1,269.237
5,1,269.43
6,1,275.432
7,1,259.656
8,0,-268.698
9,1,275.328
10,0,-278.931
11,1,279.317
12,0,-282.811
13,0,-273.579
14,1,288.216
15,0,-279.225
16,1,279.537
17,0,-254.04
18,0,-281.505
19,0,-265.031
20,1,255.059
21,1,273.212
22,1,267.804
23,0,-270.828
24,1,257.621
25,1,278.158
26,1,268.992
27,1,274.09
28,0,-246.22
29,1,269.219
30,1,282.764
31,1,275.12
32,1,258.964
33,1,274.991
34,1,270.886
35,1,258.338
36,1,268.454
37,1,287.597
38,0,-280.38
39,1,265.401
40,0,-270.94
41,0,-259.271
42,0,-262.481
43,0,-270.004
44,1,280.613
45,0,-270.757
46,0,-267.526
47,1,296.228
48,0,-249.485
49,0,-282.001
50,0,-255.958
51,1,281.562
52,1,301.776
53,1,286.658
54,0,-266.683
55,1,257.908
56,1,258.356
57,1,253.579
58,1,285.55
59,1,287.597
60,0,-283.114
61,1,297.581
62,0,-269.154
63,0,-270.931
64,1,272.492
65,1,272.247
66,0,-237.883
67,1,269.237
68,1,268.706
69,1,274.176
70,0,-250.731
71,1,282.519
72,0,-270.15
73,1,293.285
74,1,282.476
75,1,263.751
76,1,298.463
77,0,-284.818
78,0,-245.739
79,0,-267.526
80,1,277.201
81,0,-263.551
82,0,-265.958
83,1,277.297
84,1,265.442
85,1,283.585
86,1,272.019
87,0,-262.163
88,1,249.258
89,1,284.213
90,0,-269.205
91,0,-278.688
92,1,267.557
93,1,286.984
94,0,-276.208
95,1,265.301
96,0,-256.87
97,1,263.23
98,1,285.922
99,1,263.613
100,0,-256.912
101,1,278.928
102,0,-273.711
103,1,281.512
104,1,261.035
105,0,-270.828
106,0,-278.665
107,0,-270.339
108,1,301.215
109,0,-281.543
110,0,-267.515
111,0,-264.053
112,1,263.23
113,0,-266.165
114,0,-281.505
115,1,259.453
116,0,-259.318
117,1,291.2
118,0,-248.456
119,1,271.213
120,1,287.597
121,0,-274.878
122,1,295.734
123,1,257.413
124,1,267.835
125,1,282.427
126,1,281.802
127,0,-278.688
128,1,282.279
129,0,-270.94
130,1,285.631
131,1,272.247
132,1,250.082
133,1,273.711
134,1,272.026
135,0,-254.211
136,1,261.95
137,1,304.796
138,0,-283.217
139,1,288.367
140,1,269.176
141,1,250.072
142,0,-251.868
143,1,301.001
144,1,286.394
145,0,-245.739
146,1,255.132
147,1,259.255
148,0,-270.862
149,1,289.096
150,0,-273.18
151,0,-278.929
152,0,-293.229
153,1,257.241
154,1,277.32
155,0,-251.394
156,1,269.455
157,0,-254.102
158,0,-246.696
159,1,261.981
160,0,-276.295
161,0,-265.121
162,1,270.685
163,1,271.213
164,0,-270.37
165,1,278.416
166,0,-286.124
167,0,-259.082
168,1,256.965
169,1,272.27
170,1,253.601
171,1,267.23
172,0,-262.192
173,1,271.549
174,1,262.534
175,1,269.487
176,1,259.353
177,1,248.659
178,0,-282.69
179,1,271.932
180,1,274.805
181,1,269.455
182,1,276.34
183,1,268.686
184,1,265.465
185,0,-284.291
186,1,269.421
187,1,259.751
188,1,278.582
189,1,293.85
190,1,287.92
191,1,264.244
192,0,-269.968
193,0,-254.742
194,0,-260.772
195,0,-269.11
196,0,-262.558
197,0,-254.04
198,0,-282.361
199,1,266.945
200,0,-283.133
201,1,282.672
202,0,-306.996
203,1,264.586
204,1,272.485
205,1,293.657
206,1,267.315
207,0,-281.898
208,1,263.107
209,0,-275.905
210,0,-263.669
211,0,-274.192
212,1,253.331
213,1,276.34
214,1,269.037
215,1,281.066
216,1,261.846
217,1,265.201
218,1,278.688
219,0,-257.459
220,1,288.367
221,0,-278.688
222,1,272.304
223,1,274.805
224,0,-285.536
225,1,257.012
226,1,250.637
227,1,279.102
228,1,285.357
229,1,270.95
230,0,-273.18
231,1,302.821
232,0,-260.751
233,0,-282.304
234,1,269.019
235,1,276.111
236,1,291.72
237,0,-265.1
238,1,260.874
239,0,-296.597
240,1,293.657
241,1,303.106
242,1,268.133
243,1,264.008
244,1,284.213
245,0,-273.791
246,1,250.631
247,1,278.218
248,1,279.93
249,1,282.271
250,0,-257.895
251,1,255.899
252,1,302.139
253,0,-278.026
254,1,252.634
255,1,278.568
256,1,262.884
257,1,284.374
258,1,269.693
259,0,-254.685
260,0,-278.688
261,1,286.246
262,1,265.364
263,1,287.4
264,0,-274.878
265,1,288.367
266,1,272.247
267,1,293.161
268,1,252.388
269,1,293.816
270,1,264.699
271,1,270.081
272,1,283.604
273,1,281.974
274,0,-274.565
275,0,-259.208
276,1,270.886
277,0,-253.04
278,1,272.35
279,0,278.775
280,1,274.008
281,0,-285.983
282,0,-280.913
283,1,268.877
284,0,289.162
285,0,293.85
286,0,-278.688
287,0,-269.205
288,0,-273.941
289,0,278.027
290,0,273.261
291,1,276.397
292,0,249.258
293,0,-291.184
294,0,-265.114
295,0,-262.568
296,0,-278.688
297,0,-270.723
298,0,303.695
299,1,268.186
300,1,280.929
301,1,265.999
302,0,-292.509
303,1,276.362
304,0,-267.063
305,1,285.286
306,1,292.558
307,0,-284.898
308,0,296.531
309,0,256.438
310,0,-274.192
311,1,267.874
312,1,272.503
313,0,-247.252
314,0,-274.713
315,1,291.686
316,0,-262.018
317,0,270.868
318,0,-262.568
319,1,283.33
320,0,-260.845
321,0,-252.4
322,1,269.417
323,0,-257.693
324,0,269.148
325,0,271.932
326,1,244.163
327,0,-284.658
328,0,-284.291
329,1,269.417
330,1,293.816
331,1,276.525
332,0,255.711
333,0,277.404
334,0,302.27
335,1,278.771
336,1,283.059
337,0,-287.387
338,0,278.928
339,0,-270.974
340,0,-268.698
341,0,-278.026
342,0,280.845
343,1,288.367
344,0,-262.328
345,1,288.668
346,0,-270.828
347,1,281.997
348,1,282.434
349,0,-250.303
350,0,-286.617
351,1,284.911
352,0,-245.739
353,0,296.437
354,1,282.658
355,0,-253.238
356,1,288.668
357,0,-267.515
358,1,278.189
359,1,289.753
360,1,289.662
361,1,265.924
362,0,256.948
363,0,248.659
364,0,-257.559
365,0,277.982
366,0,263.832
367,0,291.72
368,1,301.676
369,1,268.093
370,0,274.843
371,0,295.856
372,0,-254.854
373,1,278.028
374,0,270.388
375,1,280.588
376,1,243.721
377,0,275.415
378,1,287.559
379,1,289.754
380,0,-280.001
381,1,259.939
382,0,-277.53
383,0,-254.51
384,1,259.596
385,0,267.835
386,0,-252.713
387,0,-257.353
388,0,273.502
389,0,256.948
390,1,275.121
391,0,-267.515
392,1,283.868
393,0,266.172
394,1,283.563
395,0,-278.688
396,0,-267.192
397,0,275.765
398,1,285.217
399,0,-287.613
400,0,-273.214
401,0,261.558
402,1,285.6
403,0,-263.692
404,0,-295.447
405,1,270.327
406,1,261.27
407,0,-250.868
408,1,272.573
409,1,269.237
410,1,260.209
411,1,288.708
412,0,273.563
413,1,275.411
414,1,261.67
415,1,293.267
416,1,267.051
417,0,-267.994
418,0,-269.968
419,0,-283.698
420,1,249.769
421,0,-269.237
422,0,-278.688
423,0,-260.58
424,1,275.758
425,0,264.961
426,0,-252.269
427,0,-278.688
428,1,269.237
429,0,-235.357
430,0,-275.997
431,1,293.816
432,0,270.325
433,1,247.528
434,1,292.483
435,0,262.098
436,1,258.964
437,0,272.424
438,0,286.988
439,1,265.364
440,1,285.597
441,0,-256.412
442,0,-266.413
443,1,289.328
444,1,292.481
445,0,-275.335
446,1,286.015
447,1,269.237
448,0,254.877
449,1,250.815
450,0,-257.82
451,1,279.1
452,0,-258.445
453,0,-258.829
454,0,277.618
455,0,273.261
456,1,288.367
457,1,275.037
458,1,262.991
459,1,272.247
460,0,259.453
461,0,-264.874
462,0,-278.688
463,0,-257.06
464,1,269.455
465,0,-267.956
466,0,262.782
467,0,-262.366
468,0,253.869
469,0,272.92
470,0,262.568
471,0,-274.713
472,1,287.4
473,0,-243.129
474,1,255.922
475,0,258.243
476,1,269.009
477,1,285.051
478,1,271.205
479,1,262.389
480,1,272.111
481,1,277.144
482,0,267.577
483,0,266.543
484,1,271.339
485,1,269.237
486,1,280.433
487,0,-266.691
488,0,284.253
489,0,275.6
490,1,250.815
491,0,-235.674
492,0,279.608
493,1,259.081
494,1,272.068
495,0,283.42
496,0,-274.713
497,0,-273.941
498,0,-254.019
499,1,264.29
500,0,-274.713
