Subj,Class,risk_2d
1,0,-3.189
2,1,31.89
3,1,6.707
4,1,-37.529
5,1,28.205
6,1,13.512
7,1,54.616
8,1,17.401
9,1,-34.929
10,1,-16.631
11,1,-24.406
12,1,49.079
13,1,-15.086
14,1,-42.584
15,1,42.584
16,1,-23.323
17,1,42.538
18,1,-4.701
19,1,-33.785
20,1,-18.896
21,1,4.437
22,1,-38.834
23,1,0
24,1,-38.834
25,1,-28.372
26,1,47.292
27,1,42.635
28,1,4.225
29,1,-31.372
30,1,28.205
31,1,59.882
32,1,45.062
33,1,-24.147
34,1,25.81
35,1,22.45
36,1,13.512
37,1,-11.38
38,1,-21.079
39,1,-11.544
40,1,-20.169
41,1,52.424
42,1,-28.736
43,1,-14.889
44,1,26.733
45,1,50.421
46,1,15.294
47,1,42.584
48,1,23.748
49,1,30.596
50,1,26.097
51,1,9.391
52,1,-38.834
53,1,38.834
54,1,-32.744
55,1,-9.733
56,1,13.871
57,1,31.32
58,1,19.167
59,1,-39.365
60,1,-37.535
61,1,1.994
62,1,34.678
63,1,12.352
64,1,7.379
65,1,-24.986
66,1,59.177
67,1,42.387
68,1,16.805
69,1,17.451
70,1,-42.387
71,1,-39.875
72,1,33.785
73,1,36.444
74,1,38.374
75,1,33.631
76,1,-48.674
77,1,-43.966
78,1,-42.387
79,1,52.424
80,1,-38.834
81,1,15.036
82,1,7.379
83,1,-30.566
84,1,43.408
85,1,44.05
86,1,42.584
87,1,37.883
88,1,-33.785
89,1,15.039
90,1,37.614
91,1,-16.29
92,1,-0.824
93,1,35.068
94,1,35.023
95,1,-8.799
96,1,-28.372
97,1,31.326
98,1,-24.986
99,1,-29.751
100,1,-33.302
101,1,-41.962
102,1,-30.566
103,1,45.372
104,1,-24.847
105,1,3.75
106,1,42.584
107,1,-17.605
108,1,-38.498
109,1,23.352
110,1,47.375
111,1,-28.372
112,1,4.852
113,1,-3.609
114,1,36.573
115,1,-52.424
116,1,38.637
117,1,0.139000000000001
118,1,-16.785
119,1,8.632
120,1,-27.689
121,1,-11.335
122,1,-24.986
123,1,-18.655
124,1,18.255
125,1,24.986
126,1,-25.584
127,1,59.177
128,1,50.58
129,1,44.014
130,1,-31.307
131,1,46.779
132,1,36.244
133,1,0.0300000000000003
134,1,1.897
135,1,35.448
136,1,-1.144
137,1,19.937
138,1,-6.131
139,1,12.61
140,1,-34.609
141,1,-32.019
142,1,-11.582
143,1,42.584
144,1,47.997
145,1,-8.799
146,1,51.216
147,1,32.744
148,1,-16.99
149,1,30.805
150,1,36.939
151,1,41.166
152,1,7.381
153,1,9.623
154,1,17
155,1,7.561
156,1,18.088
157,1,-19.937
158,1,-51.381
159,1,-18.981
160,1,2.954
161,1,-30.566
162,1,-24.147
163,1,-7.996
164,0,-33.785
165,0,-5.615
166,0,1.327
167,0,0
168,0,47.297
169,0,-59.596
170,0,15.552
171,0,-8.602
172,0,-29.61
173,0,-28.734
174,0,36.939
175,0,47.401
176,0,-21.22
177,0,-12.101
178,1,30.035
179,0,45.269
180,0,-8.815
181,1,0.503000000000001
182,1,34.409
183,1,48.812
184,1,-43.744
185,1,42.584
186,1,-25.327
187,1,-18.958
188,1,41.624
189,1,12.792
190,1,-30.631
191,1,-29.072
192,1,19.232
193,1,38.01
194,1,48.591
195,1,28.658
196,1,6.707
197,1,-25.888
198,1,-27.695
199,1,28.658
200,1,-36.105
201,1,-13.877
202,1,38.498
203,1,-29.56
204,1,12.092
205,1,-29.956
206,1,-28.16
207,1,-22.573
208,1,-25.792
209,1,-17.331
210,1,18.072
211,1,-16.384
212,1,-19.937
213,1,35.892
214,1,0.7
215,1,37.535
216,1,45.14
217,1,-1.482
218,1,-3.283
219,1,-20.169
220,1,-25.582
221,1,1.24
222,1,-41.44
223,1,22.109
224,1,-29.413
225,1,23.394
226,1,36.297
