Subj,Class,risk_1d
1,1,-7.281
2,1,-6.672
3,1,-3.782
4,0,-3.861
5,0,-14.032
6,1,-3.782
7,1,0.183
8,0,-0.426
9,1,-7.826
10,1,-4.391
11,0,-8.435
12,0,-0.426
13,0,-1.075
14,0,-5.119
15,0,-3.782
16,1,-9.988
17,0,-6.672
18,0,0.183
19,1,-4.044
20,0,-3.782
21,1,-7.177
22,1,-4.391
23,0,-3.782
24,0,-7.098
25,0,2.89
26,0,-3.782
27,0,-3.965
28,1,-2.707
29,0,-7.281
30,1,-9.988
31,1,-7.36
32,0,-4.044
33,1,-2.707
34,1,-3.133
35,0,-0.426
36,1,-6.672
37,0,-9.988
38,0,-6.672
39,0,-3.782
40,0,-3.782
41,0,0.183
42,1,-6.672
43,1,2.89
44,1,0.183
45,1,-2.707
46,1,-1.154
47,0,2.89
48,0,-11.142
49,1,-6.672
50,1,-6.023
51,1,-5.119
52,1,-5.119
53,0,-1.154
54,1,-3.861
55,1,-3.316
56,1,0.183
57,1,-6.672
58,0,-3.782
59,0,-8.009
60,1,-3.782
61,1,-1.075
62,1,-6.672
63,1,-8.009
64,0,-9.988
65,1,-3.782
66,1,-3.316
67,1,-7.281
68,1,0
69,0,-3.133
70,1,-2.707
71,1,-3.782
72,0,2.89
73,1,-5.119
74,1,0.183
75,1,-1.154
76,0,0.183
77,1,-4.391
78,1,-1.075
79,1,-6.672
80,0,0.183
81,0,2.89
82,1,-3.861
83,1,-3.965
84,1,-1.075
85,1,-8.435
86,0,-3.782
87,0,0
88,0,-4.391
89,1,-3.965
90,0,-3.861
91,1,-10.716
92,0,-6.023
93,0,-8.435
94,0,2.89
95,1,-3.965
96,0,0.183
97,1,-7.281
98,0,-11.325
99,0,-10.716
100,0,-2.707
101,1,0.183
102,0,-6.672
103,1,-7.098
104,0,2.89
105,0,0.183
106,0,-1.075
107,1,-0.426
108,1,-10.716
109,1,2.89
110,0,-2.707
111,0,0.183
112,0,-7.098
113,1,0
114,0,-3.965
115,0,-3.965
116,1,-7.098
117,0,0.183
118,0,-14.032
119,1,-7.098
120,1,0.183
121,1,0.183
122,1,-2.707
123,1,-3.782
124,1,-3.782
125,0,-3.965
126,1,-5.119
127,1,-6.672
128,0,2.89
129,0,0.183
130,1,-7.826
131,0,-1.075
132,0,2.89
133,1,-1.075
134,0,-6.672
135,0,0
136,0,-7.281
137,1,-2.707
138,1,-6.751
139,0,0.183
140,1,-6.751
141,0,2.89
142,0,-10.716
143,0,-0.426
144,1,-8.435
145,1,-3.965
146,0,0.183
147,0,-3.782
148,0,-6.751
149,0,-2.707
150,1,-2.707
151,1,-4.391
152,1,-10.716
153,0,-7.098
154,0,-7.36
155,0,-1.075
156,1,-1.154
157,0,-3.782
158,0,-6.023
159,0,-1.075
160,0,0.183
161,0,-8.009
162,1,-3.782
163,0,-3.965
164,0,-3.965
165,1,-4.044
166,1,-7.281
167,1,-1.154
168,0,-0.426
169,1,-4.044
170,0,0
171,0,-3.782
172,1,-3.782
173,1,-1.154
174,0,-2.707
175,0,-6.023
176,1,0.183
177,0,-2.707
178,0,-5.119
179,1,-3.133
180,1,-6.672
181,0,0.183
182,1,-4.391
183,1,-3.782
184,1,-3.133
185,0,-8.009
186,0,-1.075
187,1,-3.965
188,1,-3.965
189,1,-8.009
190,0,-2.707
191,0,-4.044
192,0,2.89
193,1,-2.707
194,1,-1.075
195,0,-6.023
196,0,0
197,0,-9.988
198,0,0
199,0,-3.133
200,1,-3.965
