Subj,Class,risk_score
1,1,-1.806
2,0,21.999
3,1,15.257
4,0,21.999
5,0,8.411
6,1,18.628
7,1,1.376
8,0,6.846
9,0,18.628
10,1,15.257
11,0,1.376
12,1,-1.806
13,1,-10.217
14,0,8.118
15,0,-1.565
16,0,13.588
17,1,-8.704
18,0,10.217
19,1,6.846
20,0,-1.565
21,0,-8.841
22,0,15.257
23,0,-13.588
24,1,-5.04
25,0,-1.565
26,0,18.628
27,1,-11.782
28,1,-13.588
29,0,6.846
30,0,9.924
31,1,15.257
32,0,4.747
33,1,-5.04
34,1,-1.806
35,0,14.964
36,0,0
37,0,-1.565
38,0,4.747
39,1,1.806
40,0,18.628
41,0,11.782
42,0,-8.411
43,0,-2.099
44,1,-5.229
45,1,1.806
46,0,-13.588
47,0,5.04
48,0,15.257
49,1,5.04
50,1,-8.841
51,0,-15.257
52,1,-10.217
53,1,-5.04
54,0,8.411
55,0,18.628
56,0,3.371
57,0,18.628
58,0,18.335
59,0,1.806
60,1,15.257
61,0,-3.371
62,1,-13.588
63,0,-10.217
64,0,-5.177
65,0,-13.588
66,1,10.217
67,1,-5.04
68,1,5.177
69,0,-1.858
70,1,-2.099
71,0,15.257
72,0,18.628
73,1,5.04
74,0,18.628
75,0,18.335
76,1,6.846
77,0,21.999
78,1,21.999
79,0,-1.565
80,0,21.999
81,0,3.371
82,0,-3.371
83,0,-3.664
84,0,1.376
85,1,6.846
86,0,3.371
87,1,5.04
88,1,-8.411
89,1,4.747
90,1,21.999
91,1,5.177
92,0,18.628
93,0,-5.229
94,1,1.513
95,1,5.177
96,1,6.846
97,0,21.999
98,1,5.04
99,0,9.924
100,0,-1.565
101,1,-1.806
102,0,15.257
103,0,18.628
104,0,-1.565
105,1,15.257
106,0,-11.782
107,0,-13.588
108,0,-13.588
109,1,-2.099
110,1,15.257
111,1,-18.628
112,1,-3.371
113,1,-7.035
114,0,15.257
115,0,11.782
116,1,15.257
117,0,-1.565
118,0,-1.565
119,1,5.04
120,0,-5.04
121,1,8.118
122,0,-1.565
123,1,-3.371
124,1,-8.704
125,1,15.257
126,1,1.513
127,0,-15.446
128,0,-1.565
129,1,6.846
130,1,5.177
131,0,6.846
132,1,15.257
133,0,1.806
134,1,-3.371
135,0,21.999
136,1,-5.177
137,1,15.257
138,1,1.376
139,0,-8.704
140,1,18.628
141,1,15.257
142,0,10.217
143,1,15.257
144,0,11.782
145,0,14.964
146,1,5.04
147,0,15.257
148,1,-1.806
149,1,-5.47
150,0,3.182
151,1,15.257
152,0,18.628
153,1,1.806
154,1,6.846
155,1,15.257
156,0,6.846
157,0,-13.588
158,1,-8.411
159,1,-6.846
160,0,-3.371
161,0,8.411
162,1,5.04
163,1,3.182
164,1,-15.257
165,1,-5.47
166,0,-1.565
167,1,-25.663
168,1,5.177
169,0,-5.229
170,1,-21.999
171,0,5.177
172,1,6.846
173,0,4.747
174,0,18.628
175,0,-11.782
176,1,-3.371
177,1,1.513
178,0,-0.293
179,1,15.257
180,0,10.217
181,1,15.257
182,0,-11.782
183,1,5.177
184,1,13.588
185,1,-1.806
186,0,-5.177
187,1,5.177
188,1,-1.565
189,0,6.846
190,1,1.565
191,1,5.04
192,1,6.846
193,0,8.411
194,0,15.257
195,1,13.588
196,1,-21.999
197,1,15.257
198,1,-13.881
199,0,-21.999
200,0,6.846
201,0,-22.292
202,0,15.257
203,1,-5.177
204,0,14.964
205,0,10.217
206,0,21.999
207,0,6.553
208,1,-21.999
209,1,3.182
210,1,11.593
211,1,-15.446
212,1,11.593
213,1,1.376
214,1,5.177
215,0,18.628
216,0,-8.841
217,1,-1.806
218,1,15.257
219,0,-21.999
220,0,18.628
221,0,21.999
222,0,1.376
223,0,5.177
224,0,3.371
225,0,13.588
226,1,-5.47
227,1,-15.257
228,1,21.999
229,1,5.04
230,1,1.565
231,1,-8.411
232,1,-6.846
233,1,15.257
234,1,8.411
235,1,-5.177
236,1,-5.04
237,0,6.846
238,0,11.593
239,0,-11.782
240,1,0
241,0,9.924
242,0,-1.565
243,1,15.257
244,1,-13.588
245,1,-15.446
246,1,-21.999
247,1,8.411
248,0,18.628
249,1,11.593
250,1,-13.588
251,1,-21.999
252,1,-5.177
253,1,3.182
254,0,3.182
255,0,-5.177
256,0,8.411
257,0,15.257
258,1,-10.217
259,0,-21.999
260,1,11.593
261,0,-5.177
262,1,-17.252
263,1,8.411
264,0,18.628
265,0,-11.782
266,1,-18.628
267,1,10.217
268,0,-3.371
269,1,1.806
270,1,5.04
271,1,10.217
272,1,1.565
273,0,0
274,0,21.999
275,1,-13.588
276,1,21.999
277,1,18.628
278,1,1.376
279,1,-18.628
280,1,18.335
281,1,-13.588
282,0,-18.628
283,0,18.628
284,0,-8.841
285,1,-25.663
286,1,-3.664
287,1,8.411
288,0,-18.921
289,1,-15.257
290,1,-1.565
291,1,15.257
292,1,-13.588
293,0,21.999
294,1,1.513
295,1,21.999
296,0,-5.04
297,1,5.04
298,0,11.782
299,0,3.182
300,1,-11.782
301,1,6.553
302,1,5.177
303,0,11.593
304,0,3.182
305,1,15.257
306,0,15.257
307,1,14.964
308,1,-2.099
309,1,-1.806
310,0,-21.999
311,1,3.182
312,0,-1.565
313,1,18.628
314,1,5.177
315,1,-6.846
316,0,8.411
317,1,1.806
318,1,1.565
319,1,15.257
320,0,10.217
321,0,15.257
322,1,18.628
323,0,3.182
324,0,-2.099
325,1,14.964
326,1,6.846
327,1,-3.371
328,1,0
329,1,-1.565
330,1,15.257
331,1,1.513
