Subj,Class,risk_score
1,1,-13.708
2,0,-19.601
3,1,19.601
4,0,19.601
5,1,19.601
6,1,-19.601
7,1,19.601
8,0,22.625
9,1,-19.601
10,0,-19.601
11,0,-16.577
12,1,19.601
13,1,-19.601
14,0,22.625
15,0,22.625
16,0,-19.601
17,0,22.625
18,1,-19.601
19,0,19.601
20,0,22.47
21,0,-16.732
22,0,19.601
23,1,-16.577
24,1,19.601
25,0,19.601
26,1,19.601
27,1,22.47
28,1,-16.732
29,1,19.601
30,0,-19.601
31,0,-19.601
32,1,-19.601
33,0,-16.577
34,1,22.625
35,0,-16.577
36,1,19.601
37,1,-19.601
38,1,19.601
39,0,19.601
40,0,-16.577
41,1,22.625
42,1,-19.601
43,0,25.494
44,1,22.625
45,1,-16.732
46,1,-19.601
47,1,19.601
48,0,-19.601
49,0,-19.601
50,1,-16.732
51,1,-19.601
52,1,-19.601
53,0,19.601
54,0,19.601
55,0,-16.732
56,0,19.601
57,1,-16.732
58,0,22.625
59,0,19.601
60,0,-16.732
61,1,22.625
62,1,-16.577
63,1,19.601
64,1,-19.601
65,1,19.601
66,1,19.601
67,0,25.494
68,0,-16.577
69,0,-16.732
70,1,19.601
71,0,-16.577
72,0,19.601
73,0,22.625
74,1,19.601
75,0,-19.601
76,1,22.47
77,1,19.601
78,0,19.601
79,0,-16.732
80,0,19.601
81,1,-19.601
82,1,19.601
83,0,22.47
84,1,-16.577
85,1,-19.601
86,1,19.601
87,1,19.601
88,0,-19.601
89,1,-19.601
90,0,22.47
91,1,-19.601
92,1,-16.732
93,0,22.47
94,1,-19.601
95,0,-19.601
96,0,22.625
97,0,-16.732
98,1,-19.601
99,0,-16.732
100,0,-19.601
101,1,22.47
102,0,-19.601
103,0,22.47
104,1,19.601
105,1,-19.601
106,0,22.47
107,1,-19.601
108,1,-19.601
109,1,19.601
110,0,22.625
111,0,22.625
112,0,-19.601
113,0,-16.577
114,0,19.601
115,0,25.494
116,0,22.47
117,1,-13.708
118,0,-19.601
119,0,22.625
120,1,-19.601
121,1,-16.577
122,0,22.625
123,1,-19.601
124,1,-16.577
125,0,19.601
126,0,-16.732
127,0,-19.601
128,1,22.47
129,0,-19.601
130,1,19.601
131,0,19.601
132,0,19.601
133,1,25.494
134,0,-16.577
135,1,22.47
136,1,-16.732
137,1,-19.601
138,1,22.625
139,1,-16.577
140,1,-16.577
141,0,-19.601
142,0,-19.601
143,0,25.494
144,1,-13.708
145,1,25.494
146,0,-19.601
147,0,19.601
148,1,19.601
149,1,-16.577
150,1,19.601
151,0,19.601
152,1,22.625
153,1,-16.577
154,1,19.601
155,0,-19.601
156,1,-19.601
157,1,-19.601
158,0,-16.577
159,1,-19.601
160,1,-16.577
161,1,22.47
162,1,-19.601
163,0,-13.708
164,1,-19.601
165,1,-19.601
166,0,-19.601
167,1,-16.577
168,0,22.47
169,1,19.601
170,1,-16.732
171,1,-16.732
172,1,19.601
173,1,19.601
174,1,-19.601
175,0,19.601
176,1,-16.732
177,0,22.625
178,0,19.601
179,1,22.625
180,1,19.601
181,0,25.494
182,1,-19.601
183,1,19.601
184,1,19.601
185,1,19.601
186,1,-16.732
187,1,-16.732
188,1,-16.577
189,1,19.601
190,0,-16.732
191,1,-16.732
192,0,-16.577
193,0,-16.577
194,0,19.601
195,1,-16.577
196,0,19.601
197,1,-19.601
198,0,-19.601
199,0,19.601
200,1,-16.732
201,1,22.625
202,0,22.625
203,1,19.601
204,0,22.47
205,1,-19.601
206,0,22.47
207,0,-16.732
208,1,-16.577
209,0,-19.601
210,1,-19.601
211,0,22.625
212,0,-19.601
213,0,22.625
214,0,-19.601
215,1,-16.577
216,0,19.601
217,0,22.625
218,1,-19.601
219,1,22.625
220,1,-16.732
221,1,19.601
222,0,19.601
223,0,19.601
224,0,-19.601
225,1,-16.577
226,0,-19.601
227,0,22.47
228,0,22.47
229,0,-19.601
230,1,-13.708
231,1,19.601
232,0,19.601
233,0,-16.577
234,0,-19.601
235,1,-19.601
236,0,19.601
237,0,-16.732
238,0,19.601
239,1,-16.577
240,1,22.47
241,0,22.47
242,0,22.47
243,1,-16.577
244,0,-16.732
245,1,-19.601
246,1,19.601
