Subj,Class,risk_1d
1,0,0
2,1,16.63
3,1,5.258
4,1,3.448
5,1,-9.227
6,1,11.974
7,1,-9.227
8,1,5.632
9,1,1.66
10,1,-11.519
11,1,8.005
12,1,-1.935
13,0,6.342
14,1,-0.959000000000001
15,1,-2.996
16,1,7.046
17,1,13.637
18,1,-5.521
19,1,-4.928
20,1,0
21,0,18.565
22,1,3.34
23,1,0
24,0,21.45
25,1,8.005
26,1,13.883
27,1,0.701
28,1,2.364
29,1,19.266
30,1,4.299
31,1,6.444
32,1,8.251
33,1,9.928
34,1,-14.158
35,1,-9.227
36,1,-4.928
37,1,-5.632
38,0,9.227
39,1,-6.591
40,1,10.743
41,0,3.595
42,1,-7.112
43,1,6.342
44,1,9.227
45,1,-5.632
46,1,-1.935
47,1,5.632
48,1,-2.636
49,1,12.223
50,1,-8.268
51,1,6.591
52,1,7.894
53,1,-10.186
54,1,4.299
55,1,13.526
56,1,11.015
57,1,4.299
58,0,12.933
59,1,8.379
60,1,7.046
61,1,5.632
62,1,14.859
63,0,17.606
64,0,17.478
65,1,5
66,0,15.818
67,1,-2.636
68,1,12.223
69,1,-2.636
70,1,3.697
71,1,1.66
72,1,-4.227
73,1,8.251
74,1,14.859
75,1,0.704
76,1,1.66
77,1,2.636
78,0,1.663
79,1,2.636
80,0,23.11
81,1,19.158
82,1,5.632
83,1,-18.703
84,1,9.931
85,1,7.292
86,1,18.565
87,1,-13.071
88,1,5.743
89,1,1.663
90,1,-3.595
91,1,-9.227
92,1,-5.632
93,1,2.747
94,1,-12.223
95,1,14.859
96,1,4.299
97,1,7.894
98,0,2.996
99,1,-1.935
100,1,-18.703
101,1,10.039
102,1,5
103,1,-2.996
104,1,0.704
105,1,15.818
106,1,9.227
107,1,10.186
108,1,0
109,0,-3.595
110,1,0.959000000000001
111,1,-9.227
112,1,-15.818
113,1,-10.186
114,1,0
115,1,-2.996
116,1,1.66
117,1,6.591
118,1,-5.632
119,1,12.924
120,1,12.678
121,1,-10.56
122,1,-15.818
123,1,6.591
124,0,5.743
125,1,9.338
126,1,6.591
127,1,10.887
128,1,-3.14
129,1,3.697
130,1,-15.818
131,1,7.046
132,0,16.273
133,1,-7.567
134,0,14.859
135,1,6.935
136,0,5.632
137,0,3.595
138,1,3.706
139,0,9.931
140,1,0.959000000000001
