Subj,Class,risk_1d
1,1,-445.957
2,1,-460.341
3,1,-453.149
4,1,-445.957
5,0,447.006
6,1,-454.198
7,1,-439.814
8,0,433.671
9,1,-454.198
10,0,433.671
11,0,433.671
12,1,-445.957
13,0,439.814
14,0,433.671
15,0,439.814
16,1,-447.006
17,0,433.671
18,0,439.814
19,0,439.814
20,1,-445.957
21,1,-445.957
22,0,439.814
23,1,-453.149
24,0,-453.149
25,1,-454.198
26,1,-445.957
27,0,448.055
28,1,-439.814
29,1,-460.341
30,1,-460.341
31,0,439.814
32,0,454.198
33,0,448.055
34,0,433.671
35,1,-454.198
36,0,439.814
37,1,-460.341
38,0,447.006
39,1,-454.198
40,1,-453.149
41,1,-439.814
42,0,448.055
43,1,-453.149
44,0,-453.149
45,0,433.671
46,1,-447.006
47,0,439.814
48,0,433.671
49,0,440.863
50,1,-454.198
51,0,433.671
52,1,-454.198
53,1,-460.341
54,0,433.671
55,0,448.055
56,0,-454.198
57,1,-453.149
58,0,440.863
59,1,-460.341
60,0,439.814
61,1,-453.149
62,0,448.055
63,1,-454.198
64,1,-447.006
65,0,433.671
66,1,-454.198
67,1,-454.198
68,0,439.814
69,1,-460.341
70,1,-447.006
71,1,-460.341
72,1,-460.341
73,0,440.863
74,1,-454.198
75,0,439.814
76,1,-453.149
77,1,-460.341
78,0,439.814
79,1,-453.149
80,1,-460.341
81,0,448.055
82,1,-439.814
83,0,439.814
84,1,-460.341
85,1,-460.341
86,1,-454.198
87,0,448.055
88,1,-460.341
89,0,439.814
90,0,440.863
91,0,433.671
92,0,433.671
93,1,-447.006
94,0,433.671
95,1,-453.149
96,0,454.198
97,0,439.814
98,0,439.814
99,1,-454.198
100,1,-460.341
101,1,-445.957
102,0,439.814
103,1,-447.006
104,1,-454.198
105,0,447.006
106,0,440.863
107,1,-460.341
108,0,439.814
109,1,-454.198
110,0,433.671
111,1,-445.957
112,1,-460.341
113,0,433.671
114,1,-454.198
115,0,448.055
116,0,439.814
117,1,-447.006
118,1,-454.198
119,0,448.055
120,0,440.863
121,0,-454.198
122,1,-454.198
123,0,-454.198
124,0,447.006
125,1,-447.006
126,0,454.198
127,0,433.671
128,0,439.814
129,1,-460.341
130,0,433.671
131,1,-445.957
132,0,447.006
133,0,454.198
134,1,-447.006
135,0,433.671
136,1,-445.957
137,1,-453.149
138,0,439.814
139,1,-460.341
140,1,-454.198
141,0,433.671
142,0,447.006
143,0,-460.341
144,0,439.814
145,0,433.671
146,0,448.055
147,1,-454.198
148,0,-460.341
149,0,454.198
150,1,-454.198
151,0,433.671
152,0,448.055
153,0,433.671
154,0,454.198
155,0,447.006
156,0,439.814
157,0,439.814
158,0,-445.957
159,1,-460.341
160,0,439.814
161,0,439.814
162,1,-454.198
163,0,433.671
164,1,-454.198
165,0,433.671
166,0,448.055
167,0,440.863
168,0,447.006
169,1,-445.957
170,1,-445.957
171,0,-447.006
172,0,433.671
173,1,-439.814
174,1,-460.341
175,0,448.055
176,0,447.006
177,0,433.671
178,0,433.671
179,0,433.671
180,1,-460.341
181,1,-454.198
182,1,-439.814
183,1,-439.814
184,0,440.863
185,1,-439.814
186,1,-454.198
187,1,-454.198
188,0,439.814
189,1,-460.341
190,0,-445.957
191,0,439.814
192,1,-453.149
193,0,439.814
194,1,-453.149
195,0,439.814
196,1,-454.198
197,1,-460.341
198,0,433.671
199,1,-447.006
200,0,448.055
201,0,433.671
202,0,447.006
203,1,-454.198
204,0,440.863
205,1,-460.341
206,0,454.198
207,1,-445.957
208,0,433.671
209,1,-460.341
210,0,448.055
211,1,-439.814
212,1,-447.006
213,1,-439.814
214,0,439.814
215,1,-439.814
216,1,-445.957
217,0,454.198
218,1,-439.814
219,0,433.671
220,1,-460.341
221,1,-454.198
222,0,439.814
223,1,-439.814
224,1,-445.957
225,1,-454.198
226,0,448.055
227,1,-453.149
228,0,439.814
229,1,-453.149
230,0,448.055
231,0,433.671
232,1,-439.814
233,0,433.671
234,1,-460.341
235,1,-454.198
236,1,-460.341
237,0,439.814
238,1,-447.006
239,1,-454.198
240,0,439.814
241,0,439.814
242,1,-447.006
243,1,-447.006
244,1,-445.957
245,1,-445.957
246,0,448.055
247,0,439.814
248,1,-460.341
249,0,440.863
250,1,-439.814
251,1,-439.814
252,0,454.198
253,0,448.055
254,0,433.671
255,1,-439.814
256,1,-439.814
257,1,-445.957
258,0,454.198
259,1,-439.814
260,1,-460.341
261,1,-454.198
262,0,439.814
263,1,-445.957
264,1,-454.198
265,0,440.863
266,1,-454.198
267,0,440.863
268,1,-445.957
269,0,447.006
270,0,448.055
271,0,433.671
272,1,-454.198
273,0,439.814
274,0,448.055
275,0,433.671
276,1,-454.198
277,1,-447.006
278,0,439.814
279,1,-454.198
280,1,-439.814
281,1,-454.198
282,0,454.198
283,1,-454.198
284,1,-439.814
285,0,433.671
286,1,-454.198
287,1,-454.198
288,1,-460.341
289,1,-460.341
290,0,440.863
291,0,440.863
292,1,-453.149
293,0,440.863
294,1,-454.198
295,1,-453.149
296,0,448.055
297,0,433.671
298,0,454.198
299,1,-453.149
300,1,-454.198
301,0,-439.814
302,0,440.863
303,1,-453.149
304,1,-447.006
305,1,-460.341
306,1,-453.149
307,0,-454.198
308,1,-460.341
309,0,-460.341
310,0,454.198
311,0,439.814
312,0,440.863
313,0,439.814
314,0,448.055
315,1,-453.149
316,1,-460.341
317,1,-454.198
318,0,439.814
319,1,-445.957
320,1,-439.814
321,1,-454.198
322,1,-439.814
323,0,439.814
324,0,439.814
325,1,-460.341
326,1,-445.957
327,1,-460.341
328,0,454.198
329,1,-439.814
330,1,-445.957
331,1,-460.341
332,0,447.006
333,0,433.671
334,0,439.814
335,1,-460.341
336,1,-453.149
337,1,-454.198
338,0,447.006
339,1,-460.341
340,1,-439.814
341,1,-439.814
342,1,-454.198
343,0,440.863
344,0,448.055
345,1,-454.198
346,1,-454.198
347,0,439.814
348,1,-454.198
349,0,439.814
350,0,439.814
351,1,-454.198
352,0,454.198
353,0,440.863
354,0,433.671
355,1,-460.341
356,0,440.863
357,1,-460.341
358,1,-454.198
359,1,-453.149
360,0,-454.198
361,0,433.671
362,0,447.006
363,1,-445.957
364,0,433.671
365,1,-453.149
366,0,440.863
367,0,439.814
368,1,-460.341
369,0,-454.198
370,1,-454.198
371,0,454.198
372,1,-454.198
373,0,433.671
374,1,-454.198
375,0,440.863
376,0,433.671
377,1,-460.341
378,0,433.671
379,0,-439.814
380,1,-454.198
381,1,-439.814
382,1,-454.198
383,1,-453.149
384,1,-445.957
385,0,-439.814
386,0,433.671
387,1,-454.198
388,1,-454.198
389,1,-454.198
390,1,-445.957
391,0,454.198
392,0,439.814
393,1,-445.957
394,0,454.198
395,1,-460.341
396,0,439.814
397,1,-439.814
398,0,447.006
399,0,448.055
400,1,-460.341
401,1,-439.814
402,1,-445.957
403,1,-453.149
404,0,439.814
405,1,-460.341
406,1,-439.814
407,0,440.863
408,1,-454.198
409,1,-460.341
410,1,-460.341
411,1,-453.149
412,1,-453.149
413,0,433.671
414,1,-453.149
415,1,-460.341
416,0,454.198
417,1,-454.198
418,0,-445.957
419,0,433.671
420,1,-454.198
421,0,454.198
422,1,-453.149
