Subj,Class,risk_1d
1,1,-63.5
2,1,-63.5
3,1,-73.033
4,1,-63.312
5,1,42.696
6,1,-69.276
7,0,56.174
8,1,-66.136
9,1,-59.984
10,0,53.779
11,1,-56.415
12,1,-65.707
13,1,-42.937
14,0,66.828
15,0,53.538
16,1,-55.986
17,1,-63.312
18,1,-49.834
19,0,69.652
20,0,69.464
21,0,63.259
22,0,69.464
23,1,59.931
24,1,-50.022
25,1,-42.937
26,1,-73.221
27,0,62.138
28,1,-63.5
29,1,-59.743
30,1,-54.02
31,0,66.828
32,1,-73.033
33,1,-49.834
34,1,-53.591
35,1,-69.705
36,1,-42.937
37,1,-73.033
38,1,-52.658
39,1,65.895
40,1,-59.984
41,0,55.986
42,1,-63.312
43,1,-59.555
44,1,-66.136
45,1,-53.779
46,1,-59.984
47,1,-73.033
48,1,-59.984
49,1,-73.033
50,1,-53.591
51,0,63.5
52,1,-69.464
53,1,-76.79
54,0,52.417
55,1,-59.743
56,1,-59.743
57,1,-73.221
58,0,69.223
59,1,-50.263
60,1,-55.986
61,0,59.502
62,1,-55.986
63,1,-50.022
64,1,-59.743
65,1,-55.986
66,1,-50.022
67,1,-67.069
68,1,-57.348
69,0,63.071
70,0,49.781
71,1,-59.743
72,1,-59.743
73,1,-55.986
74,1,-57.348
75,1,65.895
76,1,-73.033
77,1,-50.022
78,1,-50.022
79,1,-46.506
80,0,69.223
81,1,-59.984
82,1,-73.033
83,1,-50.022
84,1,-63.5
85,1,56.174
86,0,55.986
87,0,53.35
88,1,-50.263
89,0,50.022
90,1,-63.312
91,1,-63.5
92,1,-46.265
93,1,59.743
94,0,59.502
95,0,56.174
96,1,42.696
97,0,55.986
98,0,46.453
99,1,-73.221
100,1,-49.834
101,0,65.707
102,1,-69.705
103,1,-76.79
104,1,-63.312
105,1,-69.276
106,0,63.071
107,1,-66.136
108,1,-69.893
109,1,-53.591
110,1,-53.779
111,1,-57.348
112,1,-73.033
113,1,42.696
114,1,-63.312
115,1,-52.658
116,1,-67.069
117,1,-76.79
118,0,59.743
119,1,63.5
120,0,56.174
121,1,56.174
122,1,-67.069
123,1,65.895
124,1,-55.986
125,0,69.652
126,1,-59.743
127,0,56.174
128,1,-73.033
129,0,55.986
130,1,-59.555
131,0,56.174
132,1,-56.415
133,0,66.828
134,0,55.986
135,1,-69.464
136,1,-53.591
137,1,-50.022
138,1,-69.705
139,1,-69.705
140,0,55.986
141,1,-60.172
142,1,65.895
143,1,-42.937
144,1,-63.5
145,0,59.743
146,1,-63.312
147,1,-56.415
148,1,-50.263
149,1,-59.743
150,1,-63.5
151,1,-53.779
152,1,-73.033
153,1,-59.984
154,1,-50.022
155,1,-73.033
156,1,-73.033
157,1,52.417
158,1,-55.986
159,1,-73.221
160,1,-59.743
161,0,52.417
162,1,-73.033
163,1,-59.743
164,1,-69.464
165,1,-69.464
166,1,-55.986
167,1,-53.591
168,1,55.986
169,1,-59.743
170,1,-65.707
171,1,-73.033
172,1,-53.779
173,1,-55.986
174,1,-55.986
175,1,-50.022
176,1,-53.779
177,1,-59.743
178,1,-59.984
179,1,-50.451
180,1,59.743
181,1,-46.506
182,1,-56.415
183,1,-50.022
184,1,46.453
185,1,-69.705
186,0,49.781
187,0,65.895
188,1,-59.743
189,1,-53.591
190,1,59.931
191,0,50.022
192,1,69.464
193,1,-59.984
194,1,-59.743
195,1,-49.834
196,1,-59.743
197,0,59.931
198,1,-69.464
199,1,-56.415
200,1,-59.743
201,1,-63.5
202,1,-63.312
203,0,66.828
204,1,-42.937
205,1,-42.937
206,1,-73.033
207,1,59.931
208,1,-53.591
209,0,65.895
210,1,53.779
211,1,-76.79
212,1,-59.743
213,1,-59.743
214,1,-53.591
215,1,-50.022
216,1,-67.069
217,1,-55.986
218,0,72.792
219,1,-63.312
220,1,-46.265
221,1,-67.069
222,1,65.895
223,1,-69.276
224,1,-69.276
225,1,-59.743
226,1,-73.221
227,1,-50.022
228,0,65.895
229,1,-63.312
230,1,-63.312
231,0,46.265
232,0,55.745
233,1,52.417
234,1,-59.743
235,1,63.5
236,1,-69.705
237,1,65.895
238,1,-53.591
239,1,-73.033
240,0,69.223
241,1,-53.779
242,1,-50.022
243,1,-67.069
244,0,63.071
245,1,-52.658
246,1,-67.069
247,1,-63.312
248,1,-65.707
249,1,-53.779
250,1,-53.779
251,0,69.464
252,0,-59.555
253,0,-50.022
254,0,-59.555
255,0,59.743
256,0,-50.022
257,0,59.743
258,0,-55.986
259,0,-55.986
260,0,-50.451
261,0,-55.986
262,0,-76.79
263,0,-69.705
264,0,56.174
265,0,-46.265
266,0,-63.312
267,0,56.174
268,0,66.828
269,0,-59.743
270,0,-59.743
271,0,62.138
272,0,-49.834
273,0,-57.348
274,0,-59.743
275,0,-65.707
276,0,-49.834
277,0,46.453
278,0,-53.591
279,0,-65.948
280,0,-76.79
281,0,-69.276
282,0,63.5
283,0,-50.263
284,0,52.417
285,0,-59.984
286,0,-63.312
287,0,-67.069
288,0,-73.033
289,0,76.549
290,0,-69.276
291,0,-49.834
292,0,69.652
293,0,65.707
294,0,-59.743
295,0,59.931
296,0,-54.02
297,0,-67.069
298,0,65.895
299,0,-53.591
300,0,59.743
301,0,50.022
302,0,-56.415
303,0,-63.312
304,0,-50.263
305,0,50.21
306,0,-53.779
307,0,-63.312
308,0,69.464
309,0,-56.415
310,0,-63.312
311,0,-63.5
312,0,-59.555
313,0,-59.555
314,0,69.464
315,0,73.221
316,0,72.792
317,0,-63.312
318,0,-53.779
319,0,56.174
320,0,-56.415
321,0,56.174
322,0,-65.707
323,0,-59.743
324,0,-69.464
325,0,72.98
326,0,-59.743
327,0,-63.5
328,0,-69.464
329,0,-69.276
330,0,-63.741
331,0,63.5
332,0,55.986
333,0,59.743
334,0,-50.022
335,0,-67.069
336,0,-63.312
337,0,59.502
338,0,-59.555
339,0,65.707
340,0,-50.022
341,0,-46.265
342,0,-59.743
343,0,-50.022
344,0,55.986
345,0,-63.5
346,0,-53.591
347,0,65.895
348,0,-73.221
349,0,65.707
350,0,-56.415
351,0,59.931
352,0,-63.5
353,0,-59.743
354,0,46.453
355,0,-50.022
356,0,-73.033
357,0,-69.464
358,0,-59.743
359,0,-53.779
360,0,-63.312
361,0,-56.415
362,0,-63.312
363,0,-63.741
364,0,59.931
365,0,-76.79
366,0,-46.694
367,0,-59.984
368,0,-73.033
369,0,-55.986
370,0,-59.555
371,0,73.221
372,1,-56.227
373,1,-59.743
374,1,-65.707
375,1,-63.312
376,1,-63.5
377,1,-46.694
378,1,-60.172
379,1,69.464
380,1,-56.227
381,0,65.466
382,1,-63.5
383,1,-59.555
384,1,-63.741
385,1,-65.707
386,0,53.779
387,1,-59.984
388,0,-59.555
389,0,-67.069
390,0,63.5
391,0,-59.743
392,0,69.464
393,0,-56.227
394,0,-56.227
395,0,-57.348
396,0,-57.348
397,0,-63.312
398,0,-46.506
399,0,65.707
400,0,-63.312
401,0,-52.658
402,0,-50.263
403,0,-46.694
404,0,59.743
405,0,-63.5
406,0,-55.986
407,0,-57.348
408,0,-62.379
409,0,55.986
410,0,-69.464
411,0,-65.707
412,0,-55.986
413,0,-76.79
414,0,-53.591
415,0,-76.79
416,0,52.417
417,0,-60.172
418,0,-55.986
419,0,50.022
420,0,-76.79
421,0,52.417
422,0,-49.834
423,0,65.707
424,0,-63.312
425,0,-63.312
426,0,69.464
427,0,-69.464
428,0,50.21
429,0,-73.462
430,0,50.21
431,0,-63.312
432,0,-63.312
433,0,-53.591
434,0,-42.937
435,0,-54.02
436,0,-55.986
437,0,-56.227
438,0,-73.221
439,0,69.223
440,0,-59.984
441,0,-73.033
442,0,65.895
443,0,-63.5
444,0,-59.984
445,0,-56.227
446,0,-69.464
447,0,-46.265
448,0,-59.555
449,0,-49.834
450,0,46.265
451,0,-63.312
452,0,62.138
453,0,42.696
454,0,65.895
455,0,-69.464
456,0,-67.069
457,0,-73.221
458,0,-50.022
459,1,-60.172
460,1,-54.02
461,1,59.931
462,1,-53.779
463,0,-53.591
464,1,-55.986
465,1,-67.069
466,1,-53.779
467,1,-50.022
468,1,-57.348
469,0,-59.984
470,0,59.743
471,0,46.453
472,0,-69.464
473,0,-65.707
474,0,-59.555
475,0,-59.743
476,0,-57.348
477,0,-67.069
478,0,-59.743
479,0,55.986
480,0,56.174
481,0,46.453
482,0,-60.172
483,0,-69.705
484,0,53.779
485,0,-53.591
486,0,65.707
487,0,-63.312
488,0,-53.779
489,0,-69.276
490,0,-60.172
491,0,-67.069
492,0,-59.555
493,0,-55.986
494,0,-59.743
495,0,-53.591
496,0,-73.033
497,0,46.265
498,0,-69.276
499,0,59.743
500,0,66.828
