Subj,Class,risk_1d
1,1,-7.587
2,1,-16.517
3,0,-1.343
4,0,-2.169
5,1,-7.587
6,1,-5.418
7,1,9.493
8,1,-5.681
9,0,7.587
10,0,-2.169
11,1,1.906
12,1,-2.169
13,1,-8.93
14,1,-16.517
15,1,9.493
16,0,5.418
17,1,9.493
18,0,-3.512
19,0,-16.517
20,0,-5.681
21,0,4.075
22,1,-2.169
23,1,-13.005
24,1,9.493
25,0,13.005
26,1,13.005
27,1,5.418
28,0,4.075
29,1,1.906
30,0,1.906
31,1,-7.587
32,0,-13.005
33,0,-3.512
34,0,-5.681
35,0,-5.681
36,0,-5.681
37,0,-2.169
38,1,-5.418
39,0,-7.587
40,0,-5.681
41,0,5.418
42,1,7.587
43,1,-16.517
44,0,0
45,0,-11.099
46,0,13.005
47,0,-7.587
48,0,0
49,0,5.418
50,0,-7.587
51,0,-5.681
52,1,5.418
53,0,13.005
54,1,-7.587
55,0,-5.681
56,0,9.493
57,0,-2.169
58,1,9.493
59,0,-2.169
60,1,-1.343
61,0,4.075
62,0,7.587
63,0,-5.681
64,1,5.418
65,0,-5.681
66,0,13.005
67,0,-11.099
68,1,-2.169
69,1,-13.005
70,0,5.418
71,1,-5.418
72,1,-2.169
73,1,-13.005
74,1,-2.169
75,0,5.418
76,0,-5.681
77,0,-5.681
78,1,-5.681
79,0,13.005
80,1,-2.169
81,0,2.169
82,1,-7.587
83,1,-13.005
84,0,5.418
85,0,-11.099
86,1,13.005
87,0,5.418
88,0,9.493
89,0,-8.93
90,1,-11.099
91,1,1.906
92,0,7.587
93,0,13.005
94,1,-8.93
95,0,1.906
96,0,-5.681
97,0,-5.681
98,0,-1.343
99,1,4.075
100,0,5.418
101,0,-2.169
102,1,2.169
103,0,-5.681
104,1,1.906
105,0,-2.169
106,1,-13.005
107,0,5.418
108,1,-2.169
109,0,1.906
110,1,-11.099
111,0,-3.512
112,0,-5.681
113,0,1.906
114,0,-13.005
115,0,-13.005
116,1,-5.681
117,1,-5.418
118,1,-5.681
119,1,7.587
120,1,-5.418
121,1,13.005
122,0,-8.93
123,1,0
124,1,13.005
125,0,-16.517
126,0,5.418
127,1,7.587
128,1,-16.517
129,1,13.005
130,1,13.005
131,0,-13.005
132,1,-3.512
133,1,-5.681
134,1,7.587
135,1,-7.587
136,0,-11.099
137,1,-5.418
138,1,-8.93
139,0,-16.517
140,0,-2.169
141,0,7.587
142,0,-5.681
143,1,-5.681
144,0,9.493
145,0,-16.517
146,1,2.169
147,1,-2.169
148,0,-16.517
149,0,-8.93
150,0,-13.005
151,1,-1.343
152,1,9.493
153,1,-5.418
154,1,-2.169
155,0,-2.169
156,0,-3.512
157,1,-5.681
158,0,7.587
159,0,-7.587
160,1,-5.681
161,1,-2.169
162,1,9.493
163,1,0
164,0,-7.587
165,1,-5.418
166,0,-5.418
167,1,-5.681
168,1,-8.93
169,1,13.005
170,1,-7.587
171,0,2.169
172,0,-5.681
173,0,5.418
174,1,-2.169
175,1,-2.169
176,1,-11.099
177,1,0
178,1,-16.517
179,0,2.169
180,1,-2.169
181,1,-13.005
182,1,-16.517
183,1,-11.099
184,0,5.418
185,0,4.075
186,0,-2.169
187,0,-2.169
188,1,7.587
189,0,13.005
190,1,-11.099
191,1,-5.681
192,1,-8.93
193,0,-5.681
194,1,0
195,0,-2.169
196,1,2.169
197,0,-16.517
198,0,5.418
199,1,-2.169
200,1,-11.099
201,0,-11.099
202,0,-13.005
203,1,1.906
204,0,13.005
205,0,-8.93
206,1,-2.169
207,0,-2.169
208,1,1.906
209,1,13.005
210,1,-7.587
211,0,-5.681
212,1,-16.517
213,0,-7.587
214,0,-2.169
215,1,-11.099
216,1,-3.512
217,1,7.587
218,1,-5.681
219,1,2.169
220,0,-1.343
221,0,4.075
222,1,-13.005
223,0,-2.169
224,0,4.075
225,0,-13.005
226,1,13.005
227,1,-2.169
228,1,-1.343
229,1,-13.005
230,1,2.169
231,1,-7.587
232,1,9.493
233,0,-11.099
234,0,-5.681
235,0,-7.587
236,0,-5.681
237,1,-5.418
238,1,-2.169
239,1,-13.005
240,1,7.587
241,0,-2.169
242,0,-3.512
243,1,2.169
244,0,-13.005
245,1,-5.681
246,1,-2.169
247,0,-8.93
248,1,-11.099
249,1,-5.681
250,0,-11.099
251,1,-5.681
252,1,-16.517
253,0,-2.169
254,0,-8.93
255,0,-2.169
256,1,-7.587
257,0,-11.099
258,1,-2.169
259,0,7.587
260,1,-2.169
261,0,-5.681
262,0,13.005
263,0,5.418
264,1,-16.517
265,1,-2.169
266,0,-16.517
267,0,-8.93
268,1,-7.587
269,0,-8.93
270,1,9.493
271,0,-16.517
272,0,7.587
273,1,-16.517
274,0,1.906
275,0,5.418
276,0,0
277,1,-13.005
278,0,5.418
279,0,13.005
280,0,-2.169
281,1,7.587
282,1,2.169
283,1,-13.005
284,0,-13.005
285,1,13.005
286,1,-2.169
287,1,-8.93
288,1,13.005
289,1,-16.517
290,1,-5.681
291,0,9.493
292,0,-1.343
293,1,5.418
294,0,1.906
295,1,-16.517
296,1,5.418
297,1,9.493
298,0,-3.512
299,0,-5.681
300,1,-13.005
301,1,-16.517
302,1,13.005
303,1,13.005
304,0,-5.681
305,1,-2.169
306,0,9.493
307,1,13.005
308,0,1.906
309,0,-11.099
310,0,-2.169
311,0,-1.343
312,0,-2.169
313,0,4.075
314,0,-16.517
315,0,-1.343
316,0,-8.93
317,0,5.418
318,1,-7.587
319,1,-11.099
320,0,-11.099
321,1,-1.343
322,1,-8.93
323,1,-2.169
324,0,-5.681
325,0,4.075
326,0,-16.517
327,1,13.005
328,0,-7.587
329,0,-5.681
330,1,-2.169
331,1,0
332,1,-16.517
333,0,13.005
334,1,-5.418
335,0,9.493
336,0,0
337,0,7.587
338,0,-5.418
339,1,-2.169
340,1,4.075
341,1,9.493
342,1,-16.517
343,0,-11.099
344,0,-5.681
345,1,4.075
346,0,-1.343
347,0,-8.93
348,1,-5.418
