Subj,Class,risk_2d
1,0,-234.739
2,1,-289.545
3,1,276.989
4,0,-256.258
5,1,204.651
6,0,149.684
7,0,268.444
8,1,219.782
9,0,-215.869
10,1,237.981
11,1,259.321
12,0,-235.698
13,0,-234.43
14,1,-146.12
15,1,225.008
16,0,-235.534
17,1,223.448
18,0,-283.93
19,0,146.408
20,0,-269.778
21,1,243.464
22,1,139.052
23,0,-211.953
24,1,302.564
25,0,-214.794
26,0,-211.038
27,1,-137.718
28,0,249.111
29,1,169.743
30,0,-279.657
31,1,221.895
32,0,-233.146
33,1,151.169
34,0,-222.938
35,0,130.229
36,0,-212.835
37,0,-293.491
38,0,161.083
39,1,232.743
40,1,-155.861
41,0,-258.98
42,0,-214.947
43,1,219.662
44,1,-167.912
45,1,234.857
46,1,222.955
47,0,-213.765
48,1,284.729
49,1,229.765
50,0,-219.21
51,0,126.135
52,1,231.686
53,0,-301.661
54,1,234.165
55,0,-188.508
56,1,-234.872
57,0,-229.982
58,1,226.936
59,0,-273.059
60,0,161.512
61,0,-232.979
62,1,-284.82
63,1,204.283
64,0,-261.342
65,0,147.172
66,1,233.638
67,0,-217.394
68,1,-153.217
69,0,-217.574
70,1,214.179
71,1,206.194
72,1,191.106
73,1,-142.196
74,0,-223.08
75,1,261.027
76,0,-320.496
77,0,296.18
78,1,225.825
79,1,-171.646
80,1,-160.617
81,0,-299.969
82,1,193.232
83,1,216.941
84,0,-194.604
85,1,191.855
86,1,-160.795
87,0,308.924
88,0,163.658
89,1,205.806
90,0,143.208
91,0,-261.159
92,1,267.811
93,0,-232.089
94,1,-308.709
95,1,243.091
96,0,315.345
97,0,-258.659
98,0,142.706
99,0,-212.405
100,0,-266.024
101,0,-213.684
102,0,-145.413
103,1,229.617
104,1,211.553
105,0,138.86
106,1,231.356
107,0,290.62
108,1,-312.515
109,0,265.335
110,0,-208.948
111,1,198.637
112,0,-231.118
113,1,-294.97
114,0,-218.662
115,1,292.04
116,1,214.296
117,1,281.056
118,0,-305.469
119,0,152.174
120,0,-207.558
121,1,250.789
122,0,-224.869
123,0,-283.003
124,0,-216.209
125,0,-221.884
126,1,213.739
127,1,-311.144
128,0,-221.253
129,1,226.389
130,0,-218.255
131,0,-217.182
132,0,152.174
133,0,145.423
134,0,-301.449
135,0,-254.846
136,1,244.335
137,1,227.76
138,0,226.131
139,0,-210.503
140,1,285.925
141,1,-133.384
142,0,156.727
143,0,252.995
144,1,232.693
145,0,223.398
146,1,152.431
147,0,158.217
148,0,148.673
149,0,306.131
150,0,-242.444
151,0,-247.222
152,0,-231.016
153,1,-166.979
154,0,-224.491
155,1,-152.232
156,1,196.829
157,1,181.862
158,0,-227.817
159,1,216.263
160,0,-215.475
161,0,-221.492
162,0,-228.334
163,1,226.003
164,0,-206.505
165,0,-216.01
166,0,-237.834
167,0,151.981
168,0,-207.699
169,0,-217.097
170,0,-306.332
171,1,143.734
172,1,-164.453
173,0,-255.03
174,0,297.019
175,0,-221.964
176,1,210.898
177,1,225.083
178,0,301.195
179,1,-306.51
180,0,-216.172
181,1,234.018
182,1,-290.077
183,0,-208.03
184,0,133.87
185,0,-224.076
186,1,229.491
187,1,-290.405
188,1,-287.522
189,0,-305.469
190,1,281.676
191,0,-183.756
192,0,131.38
193,0,-213.546
194,1,227.382
195,1,288.489
196,1,273.503
197,0,-216.413
198,1,229.655
199,0,-210.43
200,1,221.395
