Subj,Class,risk_2d
1,1,4.421
2,1,29.172
3,0,-1.447
4,0,10.923
5,0,4.452
6,1,-3.106
7,1,-28.863
8,0,-34.842
9,1,9.313
10,1,-12.525
11,0,1.197
12,0,-2.384
13,1,-1.77
14,1,9.561
15,0,-34.761
16,0,-17.843
17,1,28.359
18,0,-8.509
19,0,15.217
20,1,4.666
21,0,32.345
22,0,31.324
23,0,-77.179
24,0,17.616
25,0,7.775
26,1,-6.307
27,0,-6.365
28,1,22.065
29,1,-32.347
30,1,46.785
31,0,-58.264
32,1,12.852
33,0,36.996
34,0,-75.833
35,1,49.784
36,0,13.852
37,1,29.054
38,0,10.771
39,0,-58.825
40,0,17.964
41,0,-10.622
42,1,-7.366
43,1,11.182
44,0,-43.609
45,0,44.841
46,1,-47.332
47,0,-5.66400000000001
48,1,-23.114
49,0,2.223
50,0,4.712
51,1,13.447
52,0,44.413
53,0,-38.76
54,0,-1.2
55,1,-11.894
56,0,57.164
57,1,57.521
58,1,33.936
59,0,-32.634
60,1,7.111
61,1,8.982
62,1,-8.272
63,0,-22.684
64,1,-46.509
65,0,-4.627
66,0,16.174
67,0,11.268
68,0,2.345
69,0,-26.681
70,0,19.064
71,0,15.893
72,1,-6.591
73,0,-25.171
74,0,-14.394
75,1,-36.135
76,0,-57.189
77,1,51.94
78,1,7.663
79,1,-40.172
80,0,-35.383
81,1,19.727
82,1,-4.558
83,1,1.186
84,1,22.041
85,0,-48.509
86,0,3.093
87,1,-13.794
88,0,17.324
89,0,-33.262
90,0,-58.956
91,0,-8.66
92,0,-1.773
93,1,0.996000000000001
94,1,33.689
95,0,36.137
96,0,-2.338
97,0,-13.235
98,0,-15.509
99,0,-28.429
100,0,-31.218
101,0,-23.728
102,0,-44.699
103,0,-58.782
104,0,14.464
105,0,-25.727
106,0,-16.028
107,1,34.395
108,0,-41.426
109,1,3.778
110,0,11.092
111,1,10.222
112,1,-27.853
113,1,-15.509
114,0,-60.926
115,1,-41.622
116,0,34.419
117,0,8.025
118,1,13.681
119,1,17.798
120,0,9.897
121,1,42.898
122,0,-44.184
123,1,26.784
124,0,45.559
125,0,-31.684
126,0,-44.601
127,1,41.678
128,1,27.462
129,1,-23.841
130,0,-32.028
131,1,55.202
132,0,-33.8
133,0,66.94
134,0,-42.984
135,0,12.856
136,1,53.169
137,0,-19.491
138,1,23.599
139,1,37.071
140,1,-31.521
141,0,15.767
142,0,-36.679
143,1,-0.260000000000001
144,1,8.466
145,1,-0.795
146,1,-2.702
147,1,41.343
148,1,31.377
149,1,14.278
150,0,9.484
151,0,41.414
152,1,-11.94
153,1,41.938
154,0,19.3
155,1,25.867
156,0,-25.034
157,1,59.146
158,0,-19.52
159,0,16.169
160,0,-7.52200000000001
161,1,-16.549
162,0,-11.12
163,0,-23.957
164,1,39.839
165,0,-39.393
166,0,12.848
167,0,2.65
168,1,-5.934
169,1,-17.296
170,0,-7.04
171,0,24.798
172,1,43.942
173,1,13.966
174,1,-12.743
175,1,-62.635
176,1,-31.61
177,1,-54.497
178,1,-5.485
179,1,5.658
180,0,4.676
181,0,-29.168
182,1,21.04
183,0,-15.787
184,0,-10.123
185,0,-12.832
186,0,3.036
187,0,18.427
188,1,-2.933
189,0,37.56
190,1,5.147
191,1,5.764
192,1,8.625
193,1,-18.658
194,1,55.47
195,0,-40.734
196,1,30.983
197,0,-10.286
198,0,-45.724
199,1,39.344
200,0,-22.091
201,1,6.77
202,0,-30.704
203,1,-13.336
204,1,14.081
205,1,-13.321
206,1,43.379
207,1,-16.637
208,0,-31.082
209,1,-13.992
210,1,5.366
211,1,47.365
212,1,-24.179
213,0,1.158
214,1,-46.613
215,0,1.699
216,0,-2.346
217,1,14.413
218,0,19.288
219,1,-14.791
220,1,-0.922000000000001
221,0,-32.814
222,1,22.35
223,0,2.959
224,0,2.147
225,1,32.141
226,1,-15.388
227,1,12.782
228,0,-23.569
229,1,20.465
230,0,49.589
231,1,22.2
232,0,-33.309
233,1,17.41
234,1,32.432
235,1,29.721
236,1,31.144
237,0,-11.926
238,0,23.206
239,1,35.315
240,0,-55.092
241,1,2.668
242,1,-1.38
243,1,60.504
244,0,-8.509
245,0,12.666
246,0,25.198
247,0,5.784
248,0,-20.05
249,0,0.293000000000001
250,1,44.169
251,0,-42.606
252,1,38.392
253,0,28.004
254,1,-50.502
255,1,27.528
256,1,22.871
257,0,10.029
258,0,32.957
259,0,26.39
260,1,-55.044
261,0,2.976
262,1,16.209
263,1,-40.481
264,1,7.557
265,0,26.873
266,0,-8.972
267,0,29.056
268,1,5.443
269,0,35.999
270,0,26.39
271,1,2.074
272,0,-26.883
273,1,8.81
274,1,3.639
275,0,15.357
276,0,17.668
277,0,-11.327
278,1,-9.903
279,0,-4.999
280,1,-0.507000000000001
281,0,14.928
282,0,34.062
283,1,25.856
284,1,12.815
285,0,19.78
286,0,7.799
287,0,-31.967
288,1,-14.823
289,1,27.687
290,0,7.68
291,1,44.509
292,1,21.545
293,1,23.407
294,1,-29.407
295,0,-59.954
296,1,-4.546
297,0,29.376
298,0,-33.289
299,0,-18.173
300,1,-7.558
301,1,16.83
302,1,-3.403
303,1,17.676
304,1,25.912
305,0,17.624
306,0,-67.78
307,0,-36.598
308,0,37.157
309,0,-0.958999999999998
310,0,-45.709
311,0,-23.663
312,0,10.771
313,1,-8.673
314,1,19.212
315,0,20.291
316,0,-52.972
317,0,-10.714
318,0,20.132
319,0,1.034
320,1,-22.594
321,0,-15.712
322,1,25.318
323,1,17.47
324,1,7.452
325,1,29.963
326,1,21.079
327,1,-1.682
328,0,36.134
329,0,13.864
330,1,-8.787
331,0,-16.602
332,1,41.557
333,0,-21.239
334,1,4.757
335,0,-37.067
336,0,33.507
337,0,1.207
338,1,28.65
339,1,5.416
340,1,9.897
341,1,6.391
342,0,45.475
343,0,-0.781000000000001
344,1,74.123
345,0,41.23
346,1,21.5
347,1,42.293
348,0,34.392
349,0,21.029
350,1,-9.306
351,1,2.537
352,1,3.711
353,1,15.324
354,0,19.411
355,0,-2.576
356,1,16.604
357,0,15.365
358,0,-22.56
359,1,-1.769
360,1,35.62
361,0,-1.535
362,1,17.249
363,0,-16.374
364,1,-6
365,0,40.172
366,0,51.663
367,1,17.554
368,0,8.982
369,0,-34.329
370,1,35.066
371,1,-4.171
372,1,-35.916
373,1,7.993
374,1,26.784
375,0,-17.333
376,1,30.651
377,0,-34.842
378,0,0.674
379,1,32.714
380,0,-20.237
381,0,46.134
382,0,-33.549
383,1,-4.97
384,0,43.962
385,0,34.984
386,0,34.918
387,0,-1.912
388,0,11.379
389,1,35.315
390,1,16.164
391,0,-8.884
392,0,-14.269
393,1,-0.851999999999999
394,1,36.412
395,1,12.652
396,0,-37.533
397,1,-35.48
398,1,40.463
399,0,2.831
400,0,-32.407
401,1,12.709
402,0,21.555
403,1,-16.822
404,1,-1.096
405,0,26.873
406,0,-38.131
407,1,-5.18400000000001
408,1,37.24
409,0,10.771
410,0,18.209
411,1,32.798
412,1,43.942
413,0,-41.189
414,0,8.71
415,1,28.609
416,0,-11.19
417,0,23.53
418,1,24.498
419,0,-41.836
420,0,-18.847
421,0,8.313
422,0,-1.266
423,1,2.45600000000001
424,0,10.243
425,1,-28.12
426,1,-24.976
427,0,19.913
428,1,2.074
429,0,3.141
430,1,34.975
431,1,23.202
432,0,-5.415
433,0,-8.063
434,1,55.306
435,1,-27.696
436,1,-0.851999999999999
437,1,-26.896
438,0,23.923
439,1,-12.396
440,1,48.761
441,0,-28.12
442,1,16.586
443,1,-27.311
444,0,0.796
445,0,4.567
446,0,5.666
447,0,37.955
448,1,-4.577
449,0,-33.774
450,1,14.74
451,0,11.668
452,1,3.95
453,1,36.932
454,1,14.431
455,1,-0.144000000000001
456,0,-22.608
457,1,27.462
458,1,-14.12
459,1,-23.903
460,1,8.052
461,0,-33.595
462,1,27.462
463,0,-58.382
464,1,30.797
465,0,-6.049
466,0,-22.055
467,1,26.774
468,1,43.987
469,0,23.242
470,1,53.212
471,1,-23.997
472,0,-1.637
473,0,15.098
474,0,-14.76
475,1,-13.372
476,1,23.074
477,1,-46.181
478,1,-12.943
479,1,25.684
480,1,-12.144
481,1,-9.956
482,0,-12.262
483,0,13.099
484,1,22.685
485,1,58.794
486,0,-15.38
487,1,-54.135
488,1,-9.673
489,0,40.89
490,1,13.681
491,1,37.299
492,0,-13.601
493,1,-11.213
494,1,-28.221
495,1,28.962
496,0,10.895
497,0,-20.551
498,0,-19.505
499,0,-1.637
500,0,21.029
