Subj,Class,risk_1d
1,0,-14.034
2,1,17.628
3,1,0
4,1,-20.842
5,1,-17.628
6,1,0
7,1,0
8,1,17.628
9,1,19.066
10,1,-20.842
11,1,25.874
12,0,-20.842
13,1,22.28
14,1,0
15,1,17.628
16,1,17.628
17,1,25.874
18,1,-17.628
19,1,17.628
20,1,22.28
21,1,4.652
22,1,-17.628
23,1,17.628
24,1,17.628
25,1,17.628
26,1,21.222
27,1,19.066
28,1,22.28
29,1,3.594
30,1,-17.628
31,1,0.38
32,1,0
33,1,17.628
34,1,-17.628
35,1,22.28
36,1,14.414
37,1,0
38,1,17.628
39,1,17.628
40,1,18.008
41,1,4.652
42,1,-17.628
43,1,17.628
44,1,-17.628
45,1,-17.628
46,1,14.414
47,1,0
48,1,17.628
49,1,14.414
50,1,14.414
51,1,8.246
52,1,14.414
53,1,14.414
54,1,-16.19
55,1,-17.248
56,1,21.222
57,1,17.628
58,1,21.222
59,1,14.414
60,1,17.628
61,1,17.628
62,1,3.594
63,1,21.222
64,1,17.628
65,1,17.628
66,1,0
67,1,17.628
68,1,3.594
69,1,-17.628
70,1,17.628
71,1,17.628
72,0,17.628
73,1,22.66
74,1,0
75,1,-3.214
76,1,-14.034
77,1,4.652
78,1,17.628
79,0,4.652
80,0,14.414
81,0,21.222
82,0,3.594
83,0,17.628
84,0,0
85,1,-12.976
86,1,-17.628
87,1,-14.034
88,1,14.414
89,1,21.222
90,1,17.628
91,1,22.28
92,1,17.628
93,1,-14.034
94,1,17.628
95,1,19.066
96,1,17.628
97,1,17.628
98,1,22.28
99,1,17.628
100,1,4.652
101,1,14.414
102,1,0
103,1,0
104,1,4.652
105,1,-17.628
106,1,17.628
107,1,17.628
108,1,17.628
109,1,22.28
110,1,-20.842
111,1,17.628
112,1,17.628
113,0,17.628
114,1,14.414
115,1,-14.034
116,1,-17.628
117,1,21.222
118,1,-17.628
119,1,22.28
120,1,17.628
121,1,-17.628
122,1,1.438
123,1,-20.842
124,1,25.874
125,1,-14.034
126,1,17.628
127,1,17.628
128,1,18.008
129,1,22.28
130,1,3.594
131,1,22.28
132,1,-17.628
133,1,-12.976
134,1,25.874
135,1,14.414
136,1,-16.19
137,1,0
138,1,19.066
139,1,-20.842
140,1,22.28
141,1,21.222
142,1,17.628
143,1,17.628
144,1,17.628
145,1,8.246
146,1,-9.382
147,1,14.414
148,1,22.28
149,1,0
150,1,22.28
151,1,-12.976
152,1,-17.628
153,1,17.628
154,1,8.246
155,1,17.628
156,1,22.28
157,1,17.628
158,1,21.222
159,1,17.628
160,1,17.628
161,1,-20.842
162,1,0
163,1,0
164,1,0
165,1,0
166,1,-3.214
167,1,0
168,1,0
169,1,14.414
170,0,25.874
171,1,21.222
172,1,8.246
173,1,17.628
174,0,22.28
175,1,19.066
176,1,3.594
177,1,17.628
178,1,-12.976
179,1,-20.842
180,1,25.874
181,1,0
182,1,21.222
183,0,17.628
184,1,0
185,1,0
186,1,0
187,1,22.28
188,0,4.652
189,1,17.628
190,1,17.628
191,1,18.008
192,1,0
193,1,21.222
194,1,4.652
195,1,17.628
196,1,-12.976
197,1,-17.628
198,1,0
199,1,14.414
200,1,17.628
201,1,0
202,1,-17.628
203,1,-3.214
204,1,22.28
205,1,-14.034
206,1,17.628
207,1,1.438
208,1,-17.628
209,1,17.628
210,1,14.414
211,1,-16.19
212,1,0
213,1,1.438
214,1,-3.214
215,1,17.628
216,1,17.628
217,1,-17.628
218,1,21.222
219,1,4.652
220,1,-16.19
221,1,14.414
222,0,17.628
223,1,0
224,1,-17.628
225,1,0
226,1,22.28
227,1,4.652
228,1,0
229,1,22.28
230,1,0
231,1,-17.628
232,1,25.874
233,1,3.594
234,0,-3.214
235,1,17.628
236,0,17.628
237,0,21.222
238,0,17.628
239,0,-17.628
240,0,17.628
241,0,17.628
242,0,14.414
243,0,17.628
244,0,-17.628
245,0,-17.628
246,1,-20.842
247,0,4.652
248,0,17.628
249,0,-17.628
250,0,21.222
251,0,17.628
252,0,17.628
253,0,17.628
254,1,-17.628
255,0,-16.19
256,0,1.438
257,0,14.414
258,0,22.66
259,0,17.628
260,0,17.628
261,0,-20.842
262,0,8.246
263,0,17.628
264,0,17.628
265,0,17.628
266,0,19.066
267,0,-3.214
268,0,22.28
269,0,14.414
270,0,-16.19
271,0,17.628
272,0,0
273,1,-14.034
274,0,-12.976
275,0,17.628
276,0,22.28
277,0,-3.214
278,0,17.628
279,0,0
280,0,22.28
281,0,4.652
282,1,-20.842
283,0,18.008
284,0,-9.382
285,0,17.628
286,0,21.222
287,0,-17.628
288,0,17.628
289,0,0
290,0,14.414
291,0,-14.034
292,0,21.222
293,0,14.414
294,0,25.874
295,0,-3.214
296,0,17.628
297,0,17.628
298,0,21.222
299,0,17.628
300,0,21.222
301,0,17.628
302,0,18.008
303,0,0
304,0,14.414
305,0,0
306,0,-17.628
307,0,-14.034
308,0,17.628
309,0,4.652
310,0,-17.628
311,0,18.008
312,0,0
313,1,-20.842
314,0,-20.842
315,0,17.628
316,0,-20.842
317,0,-3.214
318,0,14.414
319,0,17.628
320,0,-14.034
321,0,14.414
322,1,-12.976
323,0,18.008
324,0,17.628
325,0,17.628
326,0,0
327,0,17.628
328,0,1.438
329,0,17.628
330,0,-17.628
331,0,-3.214
332,0,25.874
333,0,17.628
334,0,-17.628
335,0,14.414
336,0,4.652
337,0,1.438
338,0,0
339,0,4.652
340,1,-14.034
341,0,18.008
342,1,-9.382
343,0,22.28
344,0,17.628
345,1,-17.248
346,0,0
347,0,-14.034
348,1,-17.628
349,0,-12.976
350,0,17.628
351,0,19.066
352,0,-3.214
353,1,-17.628
354,0,-14.034
355,0,-17.628
356,1,-20.842
357,0,22.28
358,0,17.628
359,0,3.594
360,0,17.628
361,0,21.222
362,0,22.28
363,0,-20.842
364,0,25.874
365,0,14.414
366,0,-9.382
367,0,-20.842
368,0,17.628
369,0,0
370,0,17.628
371,0,14.414
372,0,1.438
373,0,3.594
374,0,-3.214
375,0,17.628
376,0,-14.034
377,0,22.28
378,0,5.032
379,0,0
380,0,-14.034
381,0,17.628
382,0,21.222
383,0,-17.628
384,0,8.246
385,0,17.628
386,1,-16.19
387,0,1.438
388,0,21.222
389,0,-3.214
390,0,-17.628
391,0,18.008
392,1,-20.842
393,0,14.414
394,0,0
395,0,18.008
396,0,1.438
397,1,-17.628
398,0,-3.214
