Subj,Class,risk_1d
1,0,12.511
2,0,492.16
3,1,-503.555
4,0,12.511
5,0,-12.511
6,1,-241.713
7,0,-10.612
8,1,-499.714
9,0,0
10,0,-10.548
11,0,250.447
12,0,18.251
13,0,5.74
14,0,8.734
15,0,243.676
16,1,-254.224
17,0,-16.288
18,0,501.677
19,1,-254.224
20,1,-245.49
21,1,-261.842
22,0,12.511
23,1,-499.778
24,1,-499.714
25,1,-252.261
26,0,0
27,1,-499.714
28,1,-495.937
29,0,497.9
30,0,-10.548
31,0,18.251
32,0,-12.511
33,0,237.872
34,1,-235.973
35,0,250.447
36,1,-245.49
37,0,-16.352
38,1,-495.937
39,1,-235.973
40,0,237.872
41,0,492.16
42,0,12.511
43,0,241.713
44,1,-241.713
45,1,-495.937
46,1,-495.937
47,1,-258.065
48,1,-495.937
49,1,-245.49
50,0,492.096
51,1,-495.937
52,1,-503.555
53,0,-16.352
54,1,-241.713
55,1,-248.484
56,0,0
57,0,243.676
58,1,-495.937
59,0,12.511
60,0,12.511
61,1,-495.937
62,1,-499.714
63,0,-10.612
64,0,-12.511
65,1,-495.937
66,0,0
67,0,250.447
68,0,8.67
69,0,-12.511
70,1,-495.937
71,1,-495.937
72,1,-495.937
73,1,-495.937
74,1,-256.102
75,1,-235.973
76,0,254.224
77,1,-495.937
78,0,8.734
79,1,-258.001
80,0,12.511
81,0,495.937
82,0,12.511
83,0,-12.511
84,1,-245.49
85,1,-495.937
86,0,250.447
87,1,-245.554
88,1,-248.484
89,0,237.872
90,0,0
91,1,-494.038
92,0,-16.352
93,1,-241.713
94,0,0
95,0,12.511
96,1,-239.814
97,0,254.224
98,0,492.16
99,1,-495.937
100,0,237.936
101,0,254.224
102,0,12.511
103,1,-495.937
104,0,18.251
105,1,-245.554
106,1,-495.937
107,1,-490.197
108,0,1.899
109,1,-249.331
110,0,18.251
111,1,-258.001
112,1,-241.713
113,0,247.453
114,1,-495.937
115,0,-3.841
116,1,-258.065
117,0,-16.352
118,0,8.67
119,1,-490.197
120,0,-12.511
121,0,254.224
122,0,-16.352
123,0,492.096
124,0,-12.511
125,1,-495.937
126,1,-495.937
127,0,-12.511
128,1,-235.973
129,1,-499.714
130,1,-495.937
131,1,-490.197
132,0,12.511
133,1,-252.325
134,0,0
135,0,247.453
136,0,8.67
137,1,-495.937
138,1,-499.778
139,1,-495.937
140,1,-495.937
141,1,-235.973
142,0,18.251
143,0,-12.511
144,0,-16.352
145,0,254.224
146,1,-235.973
147,1,-258.065
148,1,-497.815
149,1,-499.714
150,0,12.511
151,0,5.74
152,0,492.16
153,0,259.964
154,1,-258.001
155,1,-499.778
156,1,-241.713
157,0,-16.288
158,0,0
159,0,18.251
160,0,247.453
161,0,254.224
162,0,237.872
163,1,-258.065
164,0,0
165,0,12.511
166,1,-241.713
167,0,-12.511
168,1,-495.937
169,1,-241.713
170,1,-254.224
171,0,-12.511
172,0,-16.288
173,1,-254.224
174,1,-493.974
175,1,-499.778
176,0,8.734
177,1,-490.197
178,0,0
179,1,-241.713
180,0,-3.841
181,0,495.937
182,0,495.937
183,1,-494.038
184,1,-494.038
185,0,12.511
186,1,-248.484
187,1,-241.713
188,0,12.511
189,1,-499.778
190,0,12.511
191,0,-12.511
192,0,247.453
193,0,0
194,0,1.899
195,0,-16.288
196,0,-10.548
197,0,14.41
198,1,-254.224
199,0,-16.288
200,1,-254.224
