Subj,Class,risk_2d
1,1,-6.756
2,1,7.734
3,1,-5.79
4,0,6.922
5,1,16.99
6,1,2.933
7,1,17.371
8,1,-9.978
9,1,14.235
10,1,11.653
11,1,-16.277
12,1,-3.367
13,1,8.267
14,0,3.558
15,1,4.547
16,1,-11.528
17,1,-5.385
18,1,6.101
19,1,16.558
20,1,-8.478
21,1,-5.474
22,1,10.671
23,1,13.259
24,1,1.373
25,1,3.187
26,1,7.012
27,1,18.909
28,1,2.511
29,0,8.478
30,1,18.335
31,1,16.558
32,1,-8.327
33,1,19.393
34,1,7.734
35,0,10.117
36,0,-1.95
37,1,-6.58
38,1,19.398
39,1,12.406
40,1,10.261
41,0,-10.069
42,0,-1.531
43,0,4.857
44,0,-15.947
45,1,19.049
46,1,0.261
47,1,2.581
48,1,5.424
49,1,10.339
50,1,12.469
51,1,14.115
52,0,6.085
53,1,-0.466000000000001
54,1,3.678
55,1,-7.857
56,1,-4.471
57,1,18.434
58,1,-18.437
59,1,-8.224
60,0,0.686
61,1,-0.250999999999999
62,1,-3.775
63,1,6.396
64,1,3.187
65,1,-3.839
66,1,-2.923
67,1,7.734
68,1,5.609
69,1,6.772
70,1,13.797
71,1,6.273
72,1,-17.939
73,1,-22.067
74,0,5.437
75,1,8.341
76,1,16.595
77,1,18.011
78,1,12.592
79,1,6.3
80,1,24.605
81,1,26.076
82,1,14.756
83,1,-7.563
84,1,10.618
85,1,-2.875
86,0,3.487
87,1,18.268
88,1,3.187
89,1,3.979
90,1,3.897
91,1,0.874
92,1,-4.817
93,1,3.366
94,1,17.005
95,1,12.714
96,1,5.726
97,1,6.533
98,0,-1.876
99,1,-2.033
100,1,-14.101
101,1,13.759
102,1,18.168
103,0,-13.721
104,0,-7.236
105,1,13.133
106,1,-6.491
107,1,12.029
108,1,9.593
109,1,11.049
110,1,2.562
111,1,3.079
112,1,-2.466
113,1,16.759
114,1,0
115,1,18.016
116,1,-5.004
117,1,3.079
118,0,-17.103
119,1,13.797
120,1,4.779
121,1,10.327
122,1,4.547
123,1,14.422
124,1,11
125,1,2.389
126,1,17.99
127,1,3.425
128,0,2.32
129,1,9.378
130,0,8.044
131,0,16.492
132,1,8.28
133,1,9.091
134,1,-2.207
135,1,12.703
136,1,0.953999999999999
137,1,-19.781
138,1,17.449
139,1,13.133
140,1,0.111
141,1,-0.582
142,1,1.181
143,1,11.437
144,1,11.159
145,1,0.936999999999999
146,1,-7.834
147,1,11.688
148,1,13.38
149,0,-10.203
150,0,3.199
151,1,1.752
152,1,3.979
153,1,-5.785
154,1,20.958
155,1,6.25
156,1,28.074
157,1,14.669
158,1,-19.564
159,0,15.372
160,1,-20.813
161,1,0.832
162,1,6.353
163,0,-14.583
164,1,7.777
165,1,0.541
166,1,-14.097
167,1,13.846
168,0,12.943
169,1,17.99
170,1,-9.697
171,1,3.979
172,0,11.989
173,1,-2.32
174,1,-5.399
175,0,0.073
176,0,-13.977
177,1,23.386
178,0,-8.645
179,1,-5.03
180,0,10.334
181,1,7.96
182,1,7.734
183,1,11.435
184,1,-2.212
185,1,4.547
186,1,-18.964
187,0,15.527
188,1,-26.751
189,0,7.867
190,1,17.232
191,1,7.514
192,1,12.05
193,1,1.464
194,1,-6.491
195,1,4.114
196,1,20.646
197,1,7.778
198,1,25.084
199,0,-13.388
200,1,0
201,1,13.624
202,1,7.734
203,1,3.079
204,1,-8.478
205,1,13.056
206,1,14.438
207,1,-3.839
208,1,-0.00099999999999989
209,1,-2.32
210,1,-19.886
211,1,-7.033
212,0,0.907999999999999
213,1,-0.138999999999999
214,1,12.591
215,1,-4.343
216,1,1.056
217,1,0.541
218,1,12.803
219,1,-5.096
220,0,2.153
221,1,11.87
222,1,0.607
223,1,17.471
224,1,2.562
225,1,15.671
226,1,-0.203000000000001
227,1,6.897
228,1,-12.156
229,1,-3.282
230,0,-13.811
231,1,14.142
232,1,14.669
233,1,10.315
234,1,4.547
235,1,1.464
