Subj,Class,risk_2d
1,1,10.911
2,1,55.189
3,1,32.616
4,1,111.602
5,0,-71.272
6,1,105.191
7,1,54.968
8,1,48.635
9,1,-94.579
10,1,-18.358
11,1,29.325
12,1,-1.322
13,1,-19.05
14,1,37.654
15,1,119.956
16,1,11.657
17,1,70.176
18,1,14.726
19,1,-113.028
20,1,96.184
21,1,19.98
22,1,46.266
23,1,-16.724
24,1,40.031
25,1,36.45
26,1,-40.544
27,1,34.034
28,1,45.436
29,1,7.81
30,1,96.52
31,1,69.078
32,1,42.717
33,1,75.219
34,1,55.908
35,1,91.119
36,1,13.197
37,1,91.487
38,1,85.585
39,1,124.031
40,1,-44.606
41,0,-51.258
42,1,37.781
43,1,14.495
44,1,13.887
45,1,18.762
46,1,82.008
47,1,-7.38
48,0,-45.072
49,1,1.119
50,1,35.775
51,1,-15.095
52,1,45.724
53,1,84.704
54,1,-28.957
55,0,-37.099
56,1,-36.97
57,1,18.642
58,1,-62.362
59,1,35.577
60,1,-6.354
61,1,116.125
62,0,10.963
63,1,11.739
64,1,-54.423
65,1,-26.599
66,1,-15.473
67,1,-61.514
68,1,-19.967
69,1,14.142
70,1,56.347
71,0,-25.991
72,1,-32.309
73,1,87.469
74,1,93.924
75,1,42.341
76,1,113.388
77,0,27.154
78,0,-2.957
79,1,-12.948
80,1,102.135
81,1,-41.675
82,1,92.161
83,0,-25.348
84,1,87.929
85,1,-7.007
86,1,19.243
87,1,69.366
88,1,11.989
89,1,-90.295
90,1,59.618
91,1,69.907
92,1,-1.908
93,0,-10.101
94,0,-4.562
95,0,-72.135
96,1,5.432
97,1,1.138
98,1,-73.761
99,1,13.346
100,1,-0.120000000000001
101,1,-99.38
102,0,0.474999999999998
103,0,-72.135
104,1,63.695
105,1,7.347
106,1,74.631
107,1,9.449
108,1,87.469
109,1,106.192
110,0,6.746
111,0,-13.425
112,1,-26.587
113,0,4.791
114,1,-18.248
115,1,-45.871
116,1,-31.652
117,0,20.633
118,0,-19.611
119,1,13.243
120,1,36.061
121,1,-32.469
122,1,97.46
123,1,-83.692
124,1,-44.421
125,0,-18.949
126,1,90.997
127,1,53.995
128,1,-23.351
129,1,35.383
130,0,9.003
131,1,4.883
132,1,-4.331
133,1,10.196
134,1,-11.355
135,1,69.437
136,1,45.684
137,1,-10.529
138,1,34.649
139,1,-49.831
140,0,-45.947
141,1,131.011
142,1,78.391
143,1,-50.641
144,0,47.472
145,1,96.949
146,1,40.886
147,1,70.474
148,1,12.301
149,1,-88.25
150,1,3.381
151,1,58.639
152,0,24.028
153,1,49.676
