Subj,Class,risk_score
1,0,3.26
2,1,10.762
3,0,-4.137
4,0,-4.137
5,1,3.365
6,0,7.397
7,0,10.762
8,0,6.625
9,0,10.762
10,1,-4.137
11,0,-8.169
12,1,3.365
13,1,10.762
14,0,0
15,1,-0.771999999999999
16,0,7.397
17,1,10.762
18,1,-4.032
19,0,-4.032
20,0,7.397
21,1,7.397
22,1,-0.771999999999999
23,0,-4.032
24,1,0
25,0,7.397
26,1,-7.397
27,1,3.26
28,0,3.26
29,0,3.365
30,1,10.762
31,1,7.397
32,0,7.397
33,0,10.762
34,0,10.762
35,1,10.762
36,0,3.365
37,1,-4.032
38,0,-4.032
39,0,-8.169
40,0,-0.771999999999999
41,0,3.365
42,1,-11.534
43,0,7.397
44,1,-4.032
45,1,7.397
46,1,7.397
47,1,0
48,0,-7.397
49,0,10.762
50,1,0
51,1,-7.397
52,1,3.26
53,0,0
54,1,3.365
55,0,-4.032
56,1,3.26
57,0,3.365
58,0,3.26
59,0,10.762
60,0,-7.397
61,1,10.762
62,0,7.397
63,1,7.397
64,0,10.762
65,1,10.762
66,0,0
67,0,-4.032
68,1,-11.534
69,0,7.397
70,0,7.397
71,0,7.397
72,1,10.762
73,0,-7.397
74,0,3.365
75,0,-7.397
76,0,3.26
77,0,-7.397
78,0,10.762
79,0,-4.032
80,1,3.365
81,0,-7.397
82,1,3.26
83,1,7.397
84,0,-7.397
85,1,3.365
86,1,10.762
87,1,6.625
88,1,3.365
89,1,10.762
90,1,6.625
91,1,6.625
92,0,3.365
93,0,7.397
94,0,-4.032
95,1,10.762
96,0,-4.032
97,1,-7.397
98,1,-0.771999999999999
99,1,3.365
100,1,3.26
101,0,6.625
102,0,6.625
103,1,-4.137
104,0,3.26
105,0,-11.534
106,1,10.762
107,1,0
108,1,-4.032
109,0,7.397
110,1,0
111,1,3.365
112,0,-4.032
113,0,10.762
114,0,0
115,0,10.762
116,1,-4.032
117,1,-8.169
118,0,-11.534
119,0,-0.771999999999999
120,1,10.762
121,1,0
122,0,6.625
123,0,-8.169
124,1,-4.137
125,1,3.26
126,0,10.762
127,0,-7.397
128,1,7.397
129,0,10.762
130,1,6.625
131,0,7.397
132,1,10.762
133,0,7.397
134,1,-11.534
135,0,7.397
136,1,-7.397
137,1,7.397
138,1,3.26
139,1,3.365
140,1,-4.032
141,0,7.397
142,1,6.625
143,1,7.397
144,0,-11.534
145,0,6.625
146,0,7.397
147,0,3.365
148,1,7.397
149,0,0
150,1,-4.032
151,0,7.397
152,0,6.625
153,0,10.762
154,0,0
155,1,-8.169
156,1,3.26
157,0,7.397
158,0,10.762
159,0,-7.397
160,1,-4.032
161,0,7.397
162,0,7.397
163,1,10.762
164,0,7.397
165,1,3.365
166,1,10.762
167,1,-11.534
168,0,3.26
169,0,6.625
170,0,3.365
171,1,-8.169
172,1,3.365
173,0,-7.397
174,0,-4.137
175,0,7.397
176,0,-4.032
177,1,-0.771999999999999
178,1,7.397
179,0,-4.032
180,0,-4.032
181,0,6.625
182,0,6.625
183,1,3.26
184,1,-4.137
185,1,3.26
186,1,-4.137
187,1,-0.771999999999999
188,0,3.365
189,0,3.26
190,1,0
191,0,7.397
192,1,-7.397
193,1,3.26
194,1,7.397
195,0,10.762
196,1,-4.137
197,0,10.762
198,1,10.762
199,1,10.762
200,1,-11.534
201,1,-8.169
202,1,-7.397
203,1,7.397
204,1,10.762
205,1,-7.397
206,0,-4.032
207,0,3.26
208,1,10.762
209,0,10.762
210,1,7.397
211,1,7.397
212,1,-7.397
213,1,10.762
214,1,-4.032
215,0,3.365
216,1,3.365
217,0,-4.032
218,0,-8.169
219,1,7.397
220,1,7.397
221,1,0
222,0,10.762
223,1,7.397
224,1,10.762
225,1,-4.137
226,1,7.397
227,0,7.397
228,1,3.365
229,0,6.625
230,0,10.762
231,0,10.762
232,0,10.762
233,0,3.365
234,0,-7.397
235,1,-4.032
236,1,-7.397
237,0,-0.771999999999999
238,1,6.625
239,1,3.365
240,0,-7.397
241,0,6.625
242,1,7.397
243,0,7.397
244,1,10.762
245,1,6.625
246,0,10.762
247,1,-7.397
248,1,3.26
249,1,10.762
250,1,3.365
251,1,7.397
252,0,7.397
253,1,3.26
254,1,-0.771999999999999
255,1,0
256,0,-4.032
257,1,-8.169
258,0,7.397
259,0,10.762
260,1,6.625
261,0,10.762
262,1,0
263,0,10.762
264,1,7.397
265,0,7.397
266,1,7.397
267,0,3.365
268,0,3.26
269,0,7.397
270,1,10.762
271,0,7.397
272,1,10.762
273,0,-4.137
274,0,-11.534
275,0,7.397
276,1,0
277,1,-8.169
278,0,7.397
279,1,7.397
280,0,-8.169
281,0,10.762
282,0,-8.169
283,0,10.762
284,0,6.625
285,0,-4.032
286,0,7.397
287,1,10.762
288,1,-7.397
289,1,10.762
290,1,10.762
291,1,7.397
292,1,-11.534
293,1,3.26
294,0,-8.169
295,0,6.625
296,1,-7.397
297,0,7.397
298,0,10.762
299,0,3.365
300,1,-7.397
301,1,7.397
302,0,-7.397
303,1,-4.032
304,1,-0.771999999999999
305,0,10.762
306,0,7.397
307,0,3.365
308,0,7.397
309,0,0
310,1,6.625
311,0,3.365
312,1,3.26
313,1,-8.169
314,0,7.397
315,0,3.26
316,1,3.26
317,1,3.26
318,1,10.762
319,1,-7.397
320,1,7.397
321,0,7.397
322,1,0
323,0,6.625
324,1,0
325,0,-4.032
326,0,3.365
327,1,7.397
328,1,-4.137
329,0,7.397
330,1,10.762
331,0,10.762
332,1,10.762
333,0,3.365
334,0,-4.032
335,0,3.365
336,0,-7.397
337,1,7.397
338,1,3.26
339,0,10.762
340,1,0
341,1,-7.397
342,0,-4.032
343,1,0
344,0,10.762
345,1,6.625
346,0,3.26
347,1,-4.032
348,0,-7.397
349,0,-7.397
350,1,3.26
351,0,-7.397
352,0,10.762
353,1,7.397
354,1,0
355,0,-7.397
356,0,-7.397
357,1,3.26
358,0,0
359,0,6.625
360,0,3.365
361,1,7.397
362,0,3.365
363,0,-4.032
364,1,-11.534
365,0,7.397
366,0,7.397
367,1,-11.534
368,0,0
369,0,6.625
370,1,-4.032
371,0,7.397
372,0,10.762
373,1,3.26
374,0,10.762
375,0,0
376,0,10.762
377,0,-7.397
378,1,-8.169
379,1,-11.534
380,1,10.762
381,1,0
382,0,3.365
383,0,6.625
384,0,0
385,0,-7.397
386,0,0
387,0,-4.032
388,1,-7.397
389,1,-11.534
390,1,-4.137
391,1,3.365
392,0,7.397
393,1,10.762
394,0,0
395,1,7.397
396,1,-8.169
397,1,-4.137
398,1,10.762
399,1,10.762
400,1,-7.397
401,0,7.397
402,1,7.397
403,1,-11.534
404,0,-4.032
405,1,6.625
406,0,3.26
407,1,-0.771999999999999
408,0,7.397
409,0,6.625
410,1,7.397
411,1,-4.032
412,1,7.397
413,1,-4.032
414,0,-4.137
415,0,-4.137
416,1,3.26
417,1,7.397
418,1,3.365
419,0,10.762
420,0,10.762
421,0,-11.534
422,0,0
423,0,-4.032
424,0,0
425,0,-4.032
426,1,3.365
427,1,6.625
428,0,7.397
429,0,-7.397
430,0,0
431,1,-11.534
432,1,-4.137
433,0,-8.169
434,0,7.397
435,1,-7.397
436,0,3.365
437,0,10.762
