Subj,Class,risk_3d
1,0,-2957.028
2,1,4425.834
3,0,1545.214
4,1,4343.03
5,1,1378.625
6,0,90.9009999999999
7,0,115.397
8,0,-5083.101
9,0,-817.24
10,0,472.967
11,1,2945.711
12,1,2178.312
13,0,-5707.914
14,0,-3565.339
15,0,-3535.326
16,0,-2327.989
17,1,1550.945
18,0,-2796.007
19,1,6574.995
20,1,2899.345
21,1,3612.022
22,1,4014.501
23,1,5029.255
24,0,-9492.21
25,0,-2929.801
26,1,3559.932
27,0,-10908.076
28,1,2830.476
29,1,6597.241
30,1,2210.57
31,0,-119.424
32,1,5844.933
33,0,2818.533
34,0,-5080.268
35,0,-2779.786
36,1,3562.75
37,1,589.665
38,0,1359.606
39,1,4397.885
40,1,2980.991
41,1,5159.378
42,0,-1389.184
43,1,4435.332
44,1,5828.933
45,0,1432.347
46,0,-4358.894
47,1,4418.171
48,0,-4294.382
49,1,1400.592
50,1,5190.427
51,1,4311.174
52,1,5802.737
53,1,5243.77
54,0,-7926.589
55,1,4375.828
56,1,3663.46
57,0,-1442.863
58,0,135.06
59,0,2173.192
60,0,-1390.896
61,0,-5174.425
62,0,-727.802
63,0,2907.251
64,0,2859.04
65,1,2725.897
66,0,-3780.36
67,0,-4330.042
68,0,741.001
69,0,1534.415
70,0,-4425.651
71,0,511.469
72,0,-5672.758
73,1,3774.845
74,0,2117.89
75,0,-10158.547
76,0,4987.317
77,0,1447.281
78,1,2227.096
79,1,4357.786
80,1,6578.781
81,0,6449.678
82,1,2171.273
83,0,-1280.531
84,0,18.0279999999995
85,1,2864.466
86,1,4444.695
87,1,4378.002
88,1,4329.706
89,1,3364.486
90,0,-4409.463
91,1,3729.426
92,0,-1364.038
93,1,3749.638
94,1,2898.416
95,1,5002.944
96,0,7797.875
97,0,-3880.096
98,1,2891.719
99,0,-4282.316
100,0,2783.99
101,1,5986.372
102,0,-6440.551
103,0,1437.782
104,0,5654.66
105,1,2068.311
106,0,4920.839
107,0,4365.398
108,1,2925.69
109,0,4341.1
110,1,2112.115
111,0,-5627.839
112,0,-4220.507
113,1,2926.582
114,0,-2880.576
115,0,1881.235
116,0,-7910.987
117,0,682.484
118,1,2180.011
119,0,-4363.319
120,0,-1389.356
121,1,4323.943
122,0,-4430.138
123,0,4304.446
124,0,-5783.838
125,1,4474.546
126,1,2925.69
127,0,-3834.754
128,0,1444.211
129,0,650.827
130,0,2154.558
131,0,-710.933
132,0,49.4469999999994
133,0,4918.272
134,0,-5706.774
135,1,2767.717
136,0,2080.181
137,1,5887.318
138,1,5865.275
139,1,3774.12
140,1,3669.26
141,0,-2178.23
142,1,2343.332
143,0,-7260.729
144,0,-840.015
145,0,2136.368
146,1,-585.9
147,0,-89.5300000000001
148,1,3541.61
149,1,4275.049
150,0,-8469.137
151,0,2908.122
152,0,36.9399999999997
153,0,4981.305
154,0,-2113.224
155,0,1421.548
156,0,181.022
157,0,-2293.161
158,1,2217.221
159,1,2187.91
160,0,-7280.057
161,1,4333.684
162,1,775.466
163,0,-2896.339
164,0,-7290.925
165,1,1381.028
166,1,3661.771
167,1,7264.155
168,1,4389.597
169,1,4323.306
170,0,-7192.17
171,0,-5064.854
172,1,3515.597
173,0,-2194.292
174,1,2915.11
175,1,2783.561
176,1,2331.469
177,1,3607.583
178,0,-726.903
179,1,2149.098
180,0,-56.3709999999999
181,1,3747.204
182,1,3370.815
183,1,2928.175
184,0,2747.647
185,1,2925.316
186,0,7841.596
187,0,-873.750000000001
188,0,440.88
189,1,2899.832
190,1,4441.006
191,0,5780.915
192,0,-2218.683
193,1,5165.67
194,1,2212.251
195,0,-2946.535
196,0,-810.337
197,0,-1363.302
198,0,2921.551
199,0,5785.406
200,0,-5649.581
