Subj,Class,risk_1d
1,1,-32.834
2,1,-42.866
3,1,32.834
4,1,-22.802
5,1,-22.802
6,1,10.032
7,1,0
8,1,-32.834
9,1,-32.834
10,1,-10.032
11,1,-22.802
12,1,-10.032
13,1,-22.802
14,1,-22.802
15,1,-42.866
16,1,-32.834
17,1,0
18,1,10.032
19,1,-42.866
20,1,10.032
21,1,22.802
22,1,42.866
23,1,42.866
24,1,-22.802
25,1,-32.834
26,1,-22.802
27,1,-32.834
28,1,22.802
29,1,42.866
30,1,32.834
31,1,-42.866
32,1,42.866
33,1,-32.834
34,1,-22.802
35,1,-32.834
36,1,10.032
37,1,-22.802
38,1,-22.802
39,1,22.802
40,1,10.032
41,1,-22.802
42,1,10.032
43,1,-22.802
44,0,42.866
45,1,-42.866
46,1,10.032
47,1,-22.802
48,1,10.032
49,0,32.834
50,1,-22.802
51,1,-10.032
52,1,42.866
53,1,-22.802
54,1,42.866
55,1,-42.866
56,1,10.032
57,1,-22.802
58,1,-10.032
59,1,10.032
60,1,-22.802
61,1,42.866
62,1,-22.802
63,1,-22.802
64,1,-42.866
65,1,-42.866
66,1,10.032
67,1,-32.834
68,1,10.032
69,1,-22.802
70,1,32.834
71,1,-42.866
72,0,32.834
73,1,-22.802
74,1,-10.032
75,1,-32.834
76,1,0
77,1,-42.866
78,1,-42.866
79,1,10.032
80,1,10.032
81,0,42.866
82,1,-42.866
83,1,0
84,1,-22.802
85,1,22.802
86,1,42.866
87,0,32.834
88,1,32.834
89,1,-32.834
90,1,-22.802
91,1,-32.834
92,1,32.834
93,1,22.802
94,1,-42.866
95,1,-32.834
96,1,-22.802
97,1,42.866
98,1,42.866
99,1,10.032
100,1,-42.866
101,1,-22.802
102,1,-42.866
103,1,-10.032
104,1,-42.866
105,0,32.834
106,0,10.032
107,0,-22.802
108,0,0
109,0,32.834
110,0,-22.802
111,0,42.866
112,0,-32.834
113,0,-32.834
114,0,42.866
115,0,-42.866
116,0,10.032
117,0,22.802
118,0,10.032
119,0,-42.866
120,0,-42.866
121,0,-22.802
122,0,-42.866
123,0,10.032
124,0,32.834
125,0,-10.032
126,0,10.032
127,0,-22.802
128,0,-22.802
129,0,-32.834
130,0,-32.834
131,0,32.834
132,0,-32.834
133,0,-32.834
134,0,0
135,0,10.032
136,0,32.834
137,0,22.802
138,0,-10.032
139,0,-22.802
140,0,10.032
141,0,22.802
142,0,-32.834
143,0,-32.834
144,0,-32.834
145,0,10.032
146,0,-22.802
147,0,-32.834
148,0,-32.834
149,0,42.866
150,0,32.834
151,0,-10.032
152,0,-22.802
153,0,-10.032
154,0,-22.802
155,0,-22.802
156,0,10.032
157,0,-22.802
158,0,-22.802
159,0,10.032
160,0,42.866
161,1,-42.866
162,1,-22.802
163,1,-32.834
164,0,10.032
165,0,32.834
166,0,22.802
167,0,-22.802
168,0,-32.834
169,0,42.866
170,0,22.802
171,0,32.834
172,0,10.032
173,0,-32.834
174,0,-10.032
175,0,32.834
176,0,-22.802
177,0,-22.802
178,0,-22.802
179,0,-42.866
180,0,-42.866
181,0,-22.802
182,0,-22.802
183,0,-22.802
184,0,-22.802
185,0,10.032
186,0,0
187,0,-22.802
188,0,-42.866
189,0,-22.802
190,0,10.032
191,0,-22.802
192,0,10.032
193,0,-22.802
194,0,10.032
195,0,10.032
196,0,-42.866
197,0,0
198,0,10.032
199,0,-32.834
200,1,-22.802
