Subj,Class,risk_2d
1,0,-784.156
2,1,784.156
3,0,-784.156
4,0,-784.156
5,0,-784.156
6,0,-784.156
7,1,784.156
8,0,-784.156
9,0,-784.156
10,0,-784.156
11,1,784.156
12,0,-784.156
13,0,-784.156
14,0,-784.156
15,1,784.156
16,1,784.156
17,0,-784.156
18,1,784.156
19,1,784.156
20,1,784.156
21,0,-784.156
22,1,784.156
23,0,-784.156
24,1,784.156
25,0,-784.156
26,0,-784.156
27,0,-784.156
28,0,-784.156
29,1,784.156
30,0,-784.156
31,1,784.156
32,0,-784.156
33,1,784.156
34,0,-784.156
35,1,784.156
36,0,-784.156
37,0,-784.156
38,0,-784.156
39,0,-784.156
40,0,-784.156
41,1,784.156
42,0,-784.156
43,1,784.156
44,1,784.156
45,1,784.156
46,1,784.156
47,0,-784.156
48,0,-784.156
49,1,784.156
50,1,784.156
51,1,784.156
52,0,-784.156
53,1,784.156
54,1,784.156
55,1,784.156
56,1,784.156
57,1,784.156
58,0,-784.156
59,0,-784.156
60,1,784.156
61,0,-784.156
62,0,-784.156
63,0,-784.156
64,0,-784.156
65,1,784.156
66,1,784.156
67,0,-784.156
68,1,784.156
69,0,-784.156
70,0,-784.156
71,1,784.156
72,0,-784.156
73,1,784.156
74,0,-784.156
75,1,784.156
76,0,-784.156
77,0,-784.156
78,0,-784.156
79,1,784.156
80,1,784.156
81,1,784.156
82,0,-784.156
83,0,-784.156
84,0,-784.156
85,0,-784.156
86,1,784.156
87,1,784.156
88,0,-784.156
89,1,784.156
90,1,784.156
91,0,-784.156
92,0,-784.156
93,0,-784.156
94,0,-784.156
95,1,784.156
96,1,784.156
97,0,-784.156
98,1,784.156
99,0,-784.156
100,0,-784.156
101,0,-784.156
102,0,-784.156
103,1,784.156
104,0,-784.156
105,1,784.156
106,0,-784.156
107,0,-784.156
108,1,784.156
109,0,-784.156
110,0,-784.156
111,1,784.156
112,1,784.156
113,0,-784.156
114,1,784.156
115,1,784.156
116,1,784.156
117,0,-784.156
118,0,-784.156
119,0,-784.156
120,0,-784.156
121,0,-784.156
122,0,-784.156
123,1,784.156
124,1,784.156
125,1,784.156
126,1,784.156
127,0,-784.156
128,1,784.156
129,1,784.156
130,1,784.156
131,1,784.156
132,0,-784.156
133,0,-784.156
134,1,784.156
135,0,-784.156
136,1,784.156
137,1,784.156
138,0,-784.156
139,0,-784.156
140,1,784.156
141,0,-784.156
142,1,784.156
143,0,-784.156
144,1,784.156
145,0,-784.156
146,0,-784.156
147,1,784.156
148,1,784.156
149,1,784.156
150,1,784.156
151,1,784.156
152,1,784.156
153,0,-784.156
154,1,784.156
155,1,784.156
156,0,-784.156
157,1,784.156
158,1,784.156
159,0,-784.156
160,0,-784.156
161,1,784.156
162,1,784.156
163,1,784.156
164,0,-784.156
165,0,-784.156
166,0,-784.156
167,0,-784.156
168,1,784.156
169,1,784.156
170,0,-784.156
171,1,784.156
172,1,784.156
173,1,784.156
174,0,-784.156
175,1,784.156
176,0,-784.156
177,1,784.156
178,0,-784.156
179,0,-784.156
180,1,784.156
181,0,-784.156
182,1,784.156
183,1,784.156
184,1,784.156
185,0,-784.156
186,0,-784.156
187,1,784.156
188,0,-784.156
189,1,784.156
190,1,784.156
191,0,-784.156
192,0,-784.156
193,1,784.156
194,1,784.156
195,0,-784.156
196,0,-784.156
197,1,784.156
198,1,784.156
199,0,-784.156
200,0,-784.156
