Subj,Class,risk_1d
1,0,-10.541
2,1,0
3,1,10.541
4,0,10.541
5,1,0
6,0,10.541
7,1,-10.541
8,0,10.541
9,1,10.541
10,0,0
11,1,0
12,0,-10.541
13,0,10.541
14,0,-10.541
15,0,0
16,0,-10.541
17,0,0
18,1,-10.541
19,1,-10.541
20,1,-10.541
21,0,0
22,0,-10.541
23,0,-10.541
24,0,-10.541
25,1,-10.541
26,1,0
27,0,10.541
28,0,-10.541
29,0,0
30,1,-10.541
31,1,-10.541
32,0,-10.541
33,1,0
34,1,0
35,0,-10.541
36,0,-10.541
37,1,10.541
38,0,0
39,1,-10.541
40,1,0
41,1,0
42,1,0
43,0,-10.541
44,1,0
45,0,10.541
46,0,10.541
47,0,10.541
48,0,-10.541
49,0,0
50,0,-10.541
51,0,-10.541
52,0,0
53,0,10.541
54,1,0
55,1,-10.541
56,0,-10.541
57,1,-10.541
58,1,0
59,0,0
60,1,-10.541
61,1,0
62,1,0
63,0,-10.541
64,1,0
65,0,-10.541
66,0,-10.541
67,1,-10.541
68,1,-10.541
69,0,-10.541
70,0,0
71,1,0
72,0,-10.541
73,1,-10.541
74,1,-10.541
75,1,-10.541
76,1,-10.541
77,0,10.541
78,0,0
79,0,10.541
80,1,10.541
81,1,-10.541
82,0,0
83,1,0
84,0,-10.541
85,1,10.541
86,1,-10.541
87,1,0
88,1,-10.541
89,1,-10.541
90,1,-10.541
91,1,0
92,1,-10.541
93,1,-10.541
94,0,-10.541
95,0,-10.541
96,1,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,-10.541
102,0,0
103,1,-10.541
104,1,10.541
105,1,-10.541
106,0,0
107,0,-10.541
108,1,-10.541
109,0,-10.541
110,0,-10.541
111,1,10.541
112,1,10.541
113,1,0
114,0,0
115,1,-10.541
116,0,-10.541
117,1,0
118,0,-10.541
119,0,0
120,1,-10.541
121,1,10.541
122,1,-10.541
123,1,-10.541
124,1,-10.541
125,0,10.541
126,0,-10.541
127,0,-10.541
128,1,-10.541
129,0,0
130,1,0
131,0,-10.541
132,1,10.541
133,0,0
134,0,-10.541
135,1,-10.541
136,1,-10.541
137,0,10.541
138,0,0
139,0,-10.541
140,1,-10.541
141,1,-10.541
142,0,-10.541
143,1,-10.541
144,1,-10.541
145,1,0
146,1,-10.541
147,1,-10.541
148,1,10.541
149,1,0
150,0,0
151,1,-10.541
152,1,-10.541
153,1,-10.541
154,1,-10.541
155,1,0
156,0,10.541
157,1,10.541
158,1,-10.541
159,0,-10.541
160,1,-10.541
161,0,10.541
162,0,-10.541
163,0,-10.541
164,0,-10.541
165,0,-10.541
166,0,0
167,1,-10.541
168,1,-10.541
169,1,-10.541
170,0,0
171,1,0
172,1,-10.541
173,0,10.541
174,1,0
175,1,-10.541
176,1,-10.541
177,0,-10.541
178,1,-10.541
179,1,0
180,1,10.541
181,1,0
182,0,0
183,0,10.541
184,0,-10.541
185,0,-10.541
186,0,-10.541
187,0,0
188,1,-10.541
189,0,-10.541
190,1,10.541
191,0,-10.541
192,0,-10.541
193,1,0
194,1,0
195,1,-10.541
196,1,10.541
197,0,0
198,0,10.541
199,1,-10.541
200,0,-10.541
