Subj,Class,risk_1d
1,0,31.184
2,0,31.184
3,1,31.184
4,1,31.184
5,1,31.184
6,0,31.184
7,1,31.184
8,1,-31.184
9,0,-31.184
10,1,31.184
11,0,-31.184
12,1,-31.184
13,0,31.184
14,0,-31.184
15,1,-31.184
16,1,-31.184
17,1,-31.184
18,0,31.184
19,1,-31.184
20,0,31.184
21,1,-31.184
22,0,31.184
23,0,-31.184
24,1,31.184
25,1,-31.184
26,0,-31.184
27,0,-31.184
28,1,-31.184
29,1,31.184
30,1,-31.184
31,0,-31.184
32,0,31.184
33,0,-31.184
34,0,31.184
35,1,-31.184
36,1,-31.184
37,0,31.184
38,1,31.184
39,1,31.184
40,1,31.184
41,1,-31.184
42,0,-31.184
43,0,31.184
44,1,-31.184
45,0,31.184
46,1,31.184
47,1,-31.184
48,0,-31.184
49,1,-31.184
50,1,31.184
51,1,-31.184
52,1,31.184
53,1,-31.184
54,0,31.184
55,1,31.184
56,0,31.184
57,1,-31.184
58,0,31.184
59,0,31.184
60,0,-31.184
61,1,-31.184
62,1,31.184
63,1,31.184
64,0,-31.184
65,1,31.184
66,1,-31.184
67,1,31.184
68,1,-31.184
69,0,-31.184
70,0,31.184
71,1,-31.184
72,0,31.184
73,1,31.184
74,1,-31.184
75,1,-31.184
76,1,-31.184
77,1,31.184
78,1,31.184
79,1,-31.184
80,1,-31.184
81,1,-31.184
82,0,31.184
83,0,31.184
84,0,31.184
85,0,31.184
86,1,31.184
87,1,31.184
88,0,31.184
89,0,-31.184
90,0,31.184
91,1,-31.184
92,1,31.184
93,0,31.184
94,1,-31.184
95,0,-31.184
96,1,31.184
97,0,-31.184
98,1,31.184
99,0,31.184
100,0,-31.184
101,1,-31.184
102,0,31.184
103,1,-31.184
104,1,31.184
105,1,-31.184
106,1,-31.184
107,0,-31.184
108,0,-31.184
109,0,-31.184
110,1,31.184
111,0,-31.184
112,1,-31.184
113,0,31.184
114,0,31.184
115,1,-31.184
116,0,31.184
117,0,-31.184
118,0,31.184
119,1,-31.184
120,0,-31.184
121,1,-31.184
122,1,31.184
123,1,-31.184
124,0,31.184
125,1,-31.184
126,1,-31.184
127,1,31.184
128,0,31.184
129,1,31.184
130,1,31.184
131,1,31.184
132,0,-31.184
133,0,31.184
134,0,31.184
135,0,-31.184
136,1,-31.184
137,1,31.184
138,1,-31.184
139,0,31.184
140,1,31.184
141,0,31.184
142,0,-31.184
143,0,31.184
144,1,31.184
145,1,-31.184
146,1,31.184
147,0,31.184
148,0,-31.184
149,1,-31.184
150,1,-31.184
151,0,31.184
152,1,31.184
153,0,31.184
154,1,-31.184
155,1,-31.184
156,1,31.184
157,1,-31.184
158,0,-31.184
159,0,-31.184
160,0,-31.184
161,0,-31.184
162,0,31.184
163,1,31.184
164,1,-31.184
165,0,31.184
166,0,31.184
167,1,31.184
168,0,31.184
169,0,31.184
170,0,-31.184
171,0,31.184
172,0,31.184
173,0,31.184
174,0,31.184
175,1,-31.184
176,0,31.184
177,1,-31.184
178,1,31.184
179,0,-31.184
180,0,-31.184
181,0,31.184
182,0,31.184
183,0,31.184
184,1,-31.184
185,0,31.184
186,0,31.184
187,1,-31.184
188,1,31.184
189,0,-31.184
190,1,-31.184
191,0,31.184
192,1,31.184
193,0,31.184
194,0,-31.184
195,1,31.184
196,0,31.184
197,1,31.184
198,0,31.184
199,0,-31.184
200,1,-31.184
