Subj,Class,risk_1d
1,0,753.398
2,1,-753.398
3,1,753.398
4,1,753.398
5,0,753.398
6,1,-753.398
7,0,753.398
8,1,-753.398
9,0,753.398
10,1,-753.398
11,0,753.398
12,0,753.398
13,1,-753.398
14,1,-753.398
15,0,753.398
16,0,753.398
17,1,-753.398
18,1,-753.398
19,1,-753.398
20,1,-753.398
21,1,-753.398
22,1,-753.398
23,0,753.398
24,1,-753.398
25,1,-753.398
26,1,-753.398
27,1,-753.398
28,1,-753.398
29,1,-753.398
30,0,753.398
31,0,753.398
32,1,-753.398
33,1,-753.398
34,0,753.398
35,0,753.398
36,1,-753.398
37,0,753.398
38,0,753.398
39,0,753.398
40,1,-753.398
41,1,-753.398
42,0,753.398
43,0,753.398
44,0,753.398
45,0,753.398
46,0,753.398
47,0,753.398
48,1,-753.398
49,1,-753.398
50,0,753.398
51,1,-753.398
52,0,753.398
53,0,753.398
54,0,753.398
55,1,-753.398
56,0,753.398
57,1,-753.398
58,0,753.398
59,1,-753.398
60,1,-753.398
61,0,753.398
62,1,-753.398
63,0,753.398
64,1,-753.398
65,1,-753.398
66,0,753.398
67,1,-753.398
68,1,-753.398
69,0,753.398
70,1,-753.398
71,1,-753.398
72,1,-753.398
73,0,753.398
74,1,-753.398
75,0,753.398
76,1,-753.398
77,1,-753.398
78,0,753.398
79,0,753.398
80,0,753.398
81,1,-753.398
82,0,753.398
83,0,753.398
84,1,-753.398
85,0,753.398
86,0,753.398
87,1,-753.398
88,0,753.398
89,0,753.398
90,1,-753.398
91,0,753.398
92,1,-753.398
93,1,-753.398
94,1,753.398
95,1,-753.398
96,0,753.398
97,0,753.398
98,1,-753.398
99,0,753.398
100,0,753.398
101,1,-753.398
102,0,753.398
103,0,753.398
104,1,-753.398
105,0,753.398
106,1,-753.398
107,0,753.398
108,1,-753.398
109,1,-753.398
110,0,753.398
111,0,753.398
112,0,753.398
113,0,753.398
114,0,753.398
115,1,-753.398
116,0,753.398
117,1,-753.398
118,0,753.398
119,0,753.398
120,0,753.398
121,0,753.398
122,1,-753.398
123,0,753.398
124,1,-753.398
125,1,-753.398
126,1,-753.398
127,0,753.398
128,0,753.398
129,0,753.398
130,0,753.398
131,0,753.398
132,1,-753.398
133,0,753.398
134,0,753.398
135,0,753.398
136,0,753.398
137,0,753.398
138,1,-753.398
139,0,753.398
140,0,753.398
141,1,-753.398
142,0,753.398
143,1,-753.398
144,1,-753.398
145,1,-753.398
146,1,-753.398
147,1,-753.398
148,1,-753.398
149,1,-753.398
150,0,753.398
151,0,753.398
152,0,753.398
153,0,753.398
154,0,753.398
155,1,-753.398
156,0,753.398
157,1,-753.398
158,1,-753.398
159,1,-753.398
160,1,-753.398
161,0,753.398
162,1,-753.398
163,0,753.398
164,0,753.398
165,0,753.398
166,0,753.398
167,1,-753.398
168,1,-753.398
169,1,753.398
170,1,-753.398
171,1,-753.398
172,0,753.398
173,0,753.398
174,0,753.398
175,0,753.398
176,0,753.398
177,0,753.398
178,0,753.398
179,1,-753.398
180,1,-753.398
181,1,-753.398
182,0,753.398
183,1,-753.398
184,1,-753.398
185,1,-753.398
186,1,-753.398
187,1,-753.398
188,0,753.398
189,1,-753.398
190,1,-753.398
191,1,-753.398
192,0,753.398
193,1,-753.398
194,1,-753.398
195,0,753.398
196,1,-753.398
197,0,753.398
198,1,-753.398
199,0,753.398
200,1,-753.398
