Subj,Class,risk_2d
1,0,0
2,0,-28.278
3,1,75.284
4,1,51.781
5,1,51.781
6,1,-51.781
7,1,51.781
8,0,-51.781
9,0,0
10,0,-51.781
11,1,75.284
12,0,0
13,0,23.503
14,1,75.284
15,0,51.781
16,1,75.284
17,1,51.781
18,0,0
19,1,0
20,1,51.781
21,0,51.781
22,1,51.781
23,0,28.278
24,0,0
25,0,-75.284
26,0,51.781
27,1,75.284
28,0,-75.284
29,0,28.278
30,0,-51.781
31,1,75.284
32,0,28.278
33,1,75.284
34,1,0
35,1,75.284
36,0,-75.284
37,0,0
38,0,51.781
39,0,51.781
40,1,-23.503
41,1,-28.278
42,0,51.781
43,1,-75.284
44,1,75.284
45,0,-75.284
46,0,23.503
47,1,23.503
48,0,23.503
49,1,51.781
50,0,-28.278
51,1,23.503
52,0,51.781
53,0,-51.781
54,0,-51.781
55,1,75.284
56,1,-51.781
57,1,75.284
58,1,28.278
59,1,51.781
60,1,75.284
61,1,0
62,1,51.781
63,1,75.284
64,0,23.503
65,1,-51.781
66,1,-23.503
67,1,75.284
68,0,-28.278
69,0,-75.284
70,1,28.278
71,0,51.781
72,1,51.781
73,1,0
74,0,0
75,1,75.284
76,0,-28.278
77,1,75.284
78,1,-51.781
79,1,75.284
80,0,-51.781
81,0,-23.503
82,1,51.781
83,1,-75.284
84,1,51.781
85,1,-28.278
86,0,28.278
87,1,51.781
88,0,-28.278
89,0,51.781
90,1,-28.278
91,0,51.781
92,0,23.503
93,1,51.781
94,1,51.781
95,0,-51.781
96,0,-28.278
97,0,28.278
98,1,-51.781
99,0,0
100,1,0
101,0,-28.278
102,1,51.781
103,1,0
104,0,-51.781
105,1,23.503
106,1,-51.781
107,1,51.781
108,1,-28.278
109,0,-75.284
110,0,23.503
111,1,23.503
112,1,28.278
113,1,51.781
114,0,-51.781
115,1,51.781
116,0,75.284
117,0,28.278
118,0,-51.781
119,1,-51.781
120,1,75.284
121,1,75.284
122,1,51.781
123,0,23.503
124,1,75.284
125,1,23.503
126,0,0
127,0,28.278
128,0,51.781
129,1,0
130,1,75.284
131,0,-51.781
132,0,28.278
133,0,-51.781
134,0,51.781
135,0,-75.284
136,0,0
137,1,0
138,1,51.781
139,0,-51.781
140,1,-23.503
141,0,-23.503
142,1,-51.781
143,1,-75.284
144,1,-51.781
145,1,-51.781
146,0,-28.278
147,0,28.278
148,0,0
149,1,28.278
150,0,-75.284
151,0,51.781
152,1,23.503
153,0,-51.781
154,0,51.781
155,0,-23.503
156,0,-75.284
157,1,0
158,1,51.781
159,0,0
160,0,51.781
161,0,51.781
162,0,0
163,0,51.781
164,0,-28.278
165,0,28.278
166,1,-75.284
167,0,-75.284
168,0,75.284
169,0,75.284
170,0,51.781
171,0,28.278
172,0,23.503
173,1,-51.781
174,1,-51.781
175,1,-51.781
176,1,51.781
177,1,0
178,1,28.278
179,1,-28.278
180,0,28.278
181,1,51.781
182,1,51.781
183,1,51.781
184,1,-51.781
185,1,0
186,1,28.278
187,1,23.503
188,0,-28.278
189,1,75.284
190,0,-75.284
191,0,-51.781
192,1,75.284
193,1,51.781
194,0,-75.284
195,1,75.284
196,1,-75.284
197,0,28.278
198,0,-23.503
199,0,-51.781
200,1,51.781
