Subj,Class,risk_2d
1,1,788.059
2,0,-788.059
3,0,-788.059
4,0,-788.059
5,0,-788.059
6,0,-788.059
7,1,788.059
8,1,788.059
9,1,788.059
10,1,788.059
11,0,-788.059
12,1,788.059
13,0,-788.059
14,1,788.059
15,0,-788.059
16,1,788.059
17,1,788.059
18,0,-788.059
19,1,788.059
20,1,788.059
21,0,-788.059
22,1,788.059
23,1,788.059
24,1,788.059
25,1,788.059
26,1,788.059
27,1,788.059
28,0,-788.059
29,0,-788.059
30,0,-788.059
31,0,-788.059
32,1,788.059
33,0,-788.059
34,1,788.059
35,1,788.059
36,0,-788.059
37,0,-788.059
38,0,-788.059
39,0,-788.059
40,0,-788.059
41,0,-788.059
42,1,788.059
43,0,-788.059
44,0,-788.059
45,0,-788.059
46,0,-788.059
47,1,788.059
48,1,788.059
49,0,-788.059
50,1,788.059
51,1,788.059
52,0,-788.059
53,1,788.059
54,0,-788.059
55,1,788.059
56,1,788.059
57,0,-788.059
58,0,-788.059
59,1,788.059
60,0,-788.059
61,1,788.059
62,1,788.059
63,1,788.059
64,1,788.059
65,1,788.059
66,0,-788.059
67,0,-788.059
68,1,788.059
69,0,-788.059
70,0,-788.059
71,0,-788.059
72,1,788.059
73,0,-788.059
74,0,-788.059
75,1,788.059
76,0,-788.059
77,1,788.059
78,1,788.059
79,1,788.059
80,1,788.059
81,1,788.059
82,0,-788.059
83,1,788.059
84,0,-788.059
85,1,788.059
86,0,-788.059
87,0,-788.059
88,0,-788.059
89,0,-788.059
90,1,788.059
91,0,-788.059
92,1,788.059
93,0,-788.059
94,0,-788.059
95,0,-788.059
96,0,-788.059
97,0,-788.059
98,1,788.059
99,1,788.059
100,0,-788.059
101,1,788.059
102,1,788.059
103,0,-788.059
104,0,-788.059
105,1,788.059
106,1,788.059
107,1,788.059
108,0,-788.059
109,1,788.059
110,0,-788.059
111,1,788.059
112,0,-788.059
113,1,788.059
114,1,788.059
115,1,788.059
116,0,-788.059
117,1,788.059
118,1,788.059
119,0,-788.059
120,0,-788.059
121,0,-788.059
122,1,788.059
123,1,788.059
124,0,-788.059
125,1,788.059
126,1,788.059
127,0,-788.059
128,0,-788.059
129,0,-788.059
130,0,-788.059
131,1,788.059
132,1,788.059
133,0,-788.059
134,1,788.059
135,0,788.059
136,0,-788.059
137,1,788.059
138,0,-788.059
139,0,-788.059
140,1,788.059
141,1,788.059
142,0,-788.059
143,1,788.059
144,1,788.059
145,0,-788.059
146,0,-788.059
147,0,-788.059
148,0,-788.059
149,1,788.059
150,1,788.059
151,0,-788.059
152,0,-788.059
153,0,-788.059
154,0,-788.059
155,1,788.059
156,1,788.059
157,0,-788.059
158,1,788.059
159,1,788.059
160,1,788.059
161,0,-788.059
162,1,788.059
163,1,788.059
164,0,-788.059
165,1,788.059
166,0,-788.059
167,0,-788.059
168,0,-788.059
169,0,-788.059
170,0,-788.059
171,1,788.059
172,0,-788.059
173,1,788.059
174,1,788.059
175,0,-788.059
176,1,788.059
177,1,788.059
178,0,-788.059
179,1,788.059
180,0,-788.059
181,1,788.059
182,0,-788.059
183,1,788.059
184,1,788.059
185,1,788.059
186,1,788.059
187,1,788.059
188,0,-788.059
189,1,788.059
190,0,-788.059
191,0,-788.059
192,0,788.059
193,0,-788.059
194,0,-788.059
195,1,788.059
196,1,788.059
197,1,788.059
198,1,788.059
199,1,788.059
200,0,-788.059
