Subj,Class,risk_1d
1,1,-780.242
2,1,-780.242
3,1,-780.242
4,0,780.242
5,0,780.242
6,1,-780.242
7,1,-780.242
8,1,-780.242
9,0,780.242
10,1,-780.242
11,1,-780.242
12,1,-780.242
13,0,780.242
14,1,-780.242
15,1,-780.242
16,0,780.242
17,0,780.242
18,0,780.242
19,0,780.242
20,1,780.242
21,0,780.242
22,1,-780.242
23,1,-780.242
24,1,-780.242
25,1,-780.242
26,1,780.242
27,1,-780.242
28,1,-780.242
29,1,-780.242
30,1,-780.242
31,1,-780.242
32,0,780.242
33,0,780.242
34,0,780.242
35,1,-780.242
36,0,780.242
37,0,780.242
38,1,-780.242
39,0,780.242
40,1,-780.242
41,0,780.242
42,0,780.242
43,0,780.242
44,1,-780.242
45,0,780.242
46,1,-780.242
47,1,-780.242
48,0,780.242
49,0,780.242
50,1,-780.242
51,0,780.242
52,1,-780.242
53,0,780.242
54,1,-780.242
55,1,-780.242
56,1,-780.242
57,0,780.242
58,0,780.242
59,0,780.242
60,0,780.242
61,0,780.242
62,1,-780.242
63,0,780.242
64,0,780.242
65,0,780.242
66,0,780.242
67,0,780.242
68,1,-780.242
69,1,-780.242
70,0,780.242
71,1,-780.242
72,0,780.242
73,1,-780.242
74,0,780.242
75,0,780.242
76,0,780.242
77,0,780.242
78,0,780.242
79,0,780.242
80,1,-780.242
81,1,-780.242
82,0,780.242
83,1,-780.242
84,0,780.242
85,0,780.242
86,0,780.242
87,1,-780.242
88,0,780.242
89,1,-780.242
90,0,780.242
91,0,780.242
92,1,-780.242
93,1,-780.242
94,1,-780.242
95,1,-780.242
96,1,-780.242
97,0,780.242
98,1,-780.242
99,1,-780.242
100,0,780.242
101,1,-780.242
102,0,780.242
103,0,780.242
104,0,780.242
105,0,780.242
106,0,780.242
107,0,780.242
108,1,-780.242
109,1,-780.242
110,0,780.242
111,0,780.242
112,1,-780.242
113,0,780.242
114,0,780.242
115,0,780.242
116,0,780.242
117,0,780.242
118,1,-780.242
119,1,-780.242
120,0,780.242
121,1,-780.242
122,0,780.242
123,0,780.242
124,0,780.242
125,0,780.242
126,0,780.242
127,1,-780.242
128,0,780.242
129,0,780.242
130,1,-780.242
131,0,780.242
132,0,780.242
133,1,-780.242
134,0,780.242
135,1,-780.242
136,0,780.242
137,1,-780.242
138,1,-780.242
139,1,-780.242
140,0,780.242
141,0,780.242
142,0,780.242
143,0,780.242
144,1,-780.242
145,1,-780.242
146,1,-780.242
147,0,780.242
148,1,-780.242
149,1,-780.242
150,1,-780.242
151,0,780.242
152,1,-780.242
153,1,-780.242
154,1,-780.242
155,1,-780.242
156,0,780.242
157,0,780.242
158,1,-780.242
159,1,-780.242
160,0,780.242
161,1,-780.242
162,1,-780.242
163,0,780.242
164,0,780.242
165,0,780.242
166,0,780.242
167,1,-780.242
168,0,780.242
169,0,780.242
170,0,780.242
171,0,780.242
172,0,780.242
173,0,780.242
174,1,-780.242
175,1,-780.242
176,0,780.242
177,0,780.242
178,1,-780.242
179,1,-780.242
180,0,780.242
181,1,-780.242
182,0,780.242
183,1,-780.242
184,1,-780.242
185,0,780.242
186,1,-780.242
187,0,780.242
188,0,780.242
189,0,780.242
190,0,780.242
191,0,780.242
192,0,780.242
193,1,-780.242
194,0,780.242
195,1,-780.242
196,0,780.242
197,1,-780.242
198,0,780.242
199,0,780.242
200,1,-780.242
