Subj,Class,risk_1d
1,0,15.684
2,0,-15.684
3,1,0
4,0,-15.684
5,1,15.684
6,0,0
7,1,0
8,1,0
9,0,-15.684
10,1,15.684
11,0,0
12,1,0
13,0,15.684
14,0,0
15,1,0
16,1,0
17,1,0
18,1,15.684
19,0,15.684
20,0,0
21,0,0
22,0,0
23,0,0
24,0,15.684
25,0,15.684
26,0,0
27,0,0
28,1,0
29,0,-15.684
30,1,0
31,0,-15.684
32,0,-15.684
33,0,0
34,0,0
35,0,-15.684
36,0,15.684
37,1,-15.684
38,0,15.684
39,1,15.684
40,0,0
41,0,15.684
42,0,-15.684
43,0,15.684
44,1,15.684
45,0,15.684
46,0,0
47,1,0
48,0,0
49,1,-15.684
50,1,0
51,0,-15.684
52,1,0
53,1,0
54,1,-15.684
55,0,0
56,0,-15.684
57,1,0
58,1,-15.684
59,0,15.684
60,0,0
61,1,15.684
62,0,0
63,0,0
64,1,0
65,0,0
66,0,-15.684
67,0,0
68,0,15.684
69,1,15.684
70,1,15.684
71,0,0
72,0,0
73,1,0
74,0,15.684
75,1,15.684
76,1,-15.684
77,0,0
78,0,15.684
79,0,0
80,0,-15.684
81,1,0
82,0,15.684
83,1,0
84,1,0
85,1,-15.684
86,1,0
87,1,0
88,1,15.684
89,0,15.684
90,1,0
91,0,15.684
92,0,-15.684
93,0,0
94,0,-15.684
95,1,0
96,0,-15.684
97,0,0
98,0,0
99,1,-15.684
100,0,15.684
101,1,-15.684
102,1,15.684
103,0,-15.684
104,0,0
105,1,0
106,0,-15.684
107,1,0
108,1,0
109,0,15.684
110,1,15.684
111,0,0
112,0,-15.684
113,0,-15.684
114,0,0
115,1,0
116,1,0
117,1,-15.684
118,0,0
119,0,-15.684
120,1,0
121,0,0
122,1,0
123,1,0
124,1,-15.684
125,1,0
126,0,-15.684
127,0,0
128,0,0
129,1,-15.684
130,1,-15.684
131,1,0
132,1,-15.684
133,0,0
134,0,-15.684
135,0,-15.684
136,0,15.684
137,1,15.684
138,1,-15.684
139,0,0
140,1,-15.684
141,1,0
142,0,15.684
143,0,0
144,1,0
145,1,0
146,1,0
147,0,0
148,1,-15.684
149,0,0
150,1,-15.684
151,1,0
152,1,-15.684
153,1,15.684
154,1,-15.684
155,1,0
156,0,0
157,0,0
158,0,0
159,0,-15.684
160,0,-15.684
161,1,0
162,1,0
163,1,0
164,0,0
165,1,0
166,0,0
167,1,-15.684
168,0,15.684
169,0,15.684
170,1,-15.684
171,0,15.684
172,1,-15.684
173,0,-15.684
174,1,-15.684
175,1,0
176,0,0
177,0,-15.684
178,1,0
179,1,0
180,0,-15.684
181,0,-15.684
182,1,0
183,1,15.684
184,1,15.684
185,0,-15.684
186,0,0
187,1,-15.684
188,1,0
189,1,0
190,0,0
191,0,0
192,0,-15.684
193,1,-15.684
194,1,0
195,1,0
196,0,-15.684
197,1,-15.684
198,1,0
199,1,0
200,0,0
