Subj,Class,risk_2d
1,0,0
2,0,0
3,1,0
4,0,0
5,1,0
6,0,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,0,0
17,1,0
18,1,0
19,1,0
20,0,0
21,1,0
22,1,0
23,1,0
24,1,0
25,0,0
26,0,0
27,1,0
28,0,0
29,1,0
30,0,0
31,0,0
32,1,0
33,0,0
34,1,0
35,1,0
36,1,0
37,0,0
38,1,0
39,1,0
40,1,0
41,1,0
42,0,0
43,1,0
44,1,0
45,0,0
46,0,0
47,1,0
48,1,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,1,0
55,1,0
56,1,0
57,0,0
58,0,0
59,1,0
60,0,0
61,1,0
62,0,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,0,0
70,1,0
71,1,0
72,1,0
73,0,0
74,0,0
75,0,0
76,0,0
77,1,0
78,1,0
79,1,0
80,0,0
81,0,0
82,0,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,0,0
89,0,0
90,0,0
91,1,0
92,1,0
93,0,0
94,0,0
95,1,0
96,1,0
97,0,0
98,1,0
99,0,0
100,0,0
101,0,0
102,0,0
103,1,0
104,1,0
105,1,0
106,1,0
107,1,0
108,1,0
109,0,0
110,0,0
111,0,0
112,0,0
113,1,0
114,1,0
115,1,0
116,1,0
117,0,0
118,0,0
119,1,0
120,1,0
121,1,0
122,1,0
123,0,0
124,1,0
125,0,0
126,1,0
127,1,0
128,1,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,1,0
135,0,0
136,0,0
137,1,0
138,1,0
139,0,0
140,0,0
141,0,0
142,1,0
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,0,0
149,1,0
150,0,0
151,0,0
152,0,0
153,0,0
154,1,0
155,1,0
156,0,0
157,0,0
158,0,0
159,1,0
160,0,0
161,1,0
162,1,0
163,0,0
164,0,0
165,0,0
166,1,0
167,1,0
168,1,0
169,1,0
170,0,0
171,1,0
172,1,0
173,0,0
174,1,0
175,0,0
176,1,0
177,0,0
178,1,0
179,0,0
180,1,0
181,0,0
182,0,0
183,0,0
184,1,0
185,0,0
186,0,0
187,1,0
188,0,0
189,1,0
190,0,0
191,1,0
192,1,0
193,1,0
194,1,0
195,0,0
196,1,0
197,1,0
198,1,0
199,1,0
200,0,0
