Subj,Class,risk_2d
1,0,-761.358
2,0,-761.358
3,1,761.358
4,0,-761.358
5,0,-761.358
6,1,761.358
7,1,761.358
8,1,761.358
9,1,761.358
10,1,761.358
11,0,-761.358
12,0,-761.358
13,1,761.358
14,0,-761.358
15,1,761.358
16,1,761.358
17,1,761.358
18,0,-761.358
19,1,761.358
20,1,761.358
21,0,-761.358
22,0,-761.358
23,0,-761.358
24,1,761.358
25,0,-761.358
26,1,761.358
27,0,-761.358
28,0,-761.358
29,0,-761.358
30,0,-761.358
31,1,761.358
32,1,761.358
33,0,-761.358
34,0,-761.358
35,0,-761.358
36,0,-761.358
37,0,-761.358
38,0,-761.358
39,0,-761.358
40,1,761.358
41,1,761.358
42,1,761.358
43,1,761.358
44,1,761.358
45,0,-761.358
46,1,761.358
47,0,-761.358
48,0,-761.358
49,0,-761.358
50,1,761.358
51,1,761.358
52,1,761.358
53,0,-761.358
54,1,761.358
55,0,-761.358
56,1,761.358
57,1,761.358
58,1,761.358
59,0,-761.358
60,0,-761.358
61,0,-761.358
62,0,-761.358
63,1,761.358
64,0,-761.358
65,1,761.358
66,0,-761.358
67,1,761.358
68,1,761.358
69,0,-761.358
70,0,-761.358
71,0,-761.358
72,1,761.358
73,1,761.358
74,1,761.358
75,0,-761.358
76,1,761.358
77,1,761.358
78,1,761.358
79,0,-761.358
80,1,761.358
81,0,-761.358
82,0,-761.358
83,1,761.358
84,1,761.358
85,0,-761.358
86,0,-761.358
87,0,-761.358
88,1,761.358
89,1,761.358
90,1,761.358
91,0,-761.358
92,0,-761.358
93,0,-761.358
94,1,761.358
95,1,761.358
96,1,761.358
97,1,761.358
98,0,-761.358
99,0,-761.358
100,1,761.358
101,1,761.358
102,0,-761.358
103,1,761.358
104,1,761.358
105,0,-761.358
106,1,761.358
107,0,-761.358
108,1,761.358
109,0,-761.358
110,1,761.358
111,0,-761.358
112,0,-761.358
113,0,-761.358
114,0,-761.358
115,0,-761.358
116,0,-761.358
117,1,761.358
118,1,761.358
119,0,-761.358
120,1,761.358
121,0,-761.358
122,1,761.358
123,0,-761.358
124,0,-761.358
125,0,-761.358
126,1,761.358
127,0,-761.358
128,0,-761.358
129,0,-761.358
130,0,-761.358
131,1,761.358
132,1,761.358
133,0,-761.358
134,1,761.358
135,0,761.358
136,1,761.358
137,1,761.358
138,1,761.358
139,1,761.358
140,0,-761.358
141,1,761.358
142,1,761.358
143,1,761.358
144,0,-761.358
145,1,761.358
146,0,-761.358
147,1,761.358
148,1,761.358
149,1,761.358
150,1,761.358
151,0,-761.358
152,0,-761.358
153,0,-761.358
154,0,-761.358
155,1,761.358
156,0,-761.358
157,1,761.358
158,1,761.358
159,0,-761.358
160,0,-761.358
161,0,-761.358
162,1,761.358
163,0,-761.358
164,1,761.358
165,1,761.358
166,0,-761.358
167,1,761.358
168,0,-761.358
169,1,761.358
170,1,761.358
171,1,761.358
172,1,761.358
173,0,-761.358
174,0,-761.358
175,0,-761.358
176,1,761.358
177,0,-761.358
178,0,-761.358
179,0,-761.358
180,0,-761.358
181,1,761.358
182,0,-761.358
183,1,761.358
184,1,761.358
185,0,-761.358
186,1,761.358
187,1,761.358
188,0,-761.358
189,1,761.358
190,1,761.358
191,0,-761.358
192,0,-761.358
193,0,-761.358
194,0,-761.358
195,0,-761.358
196,1,761.358
197,0,-761.358
198,1,761.358
199,0,-761.358
200,1,761.358
