Subj,Class,risk_2d
1,0,-65.461
2,0,-16.327
3,0,16.327
4,1,-24.567
5,1,-16.327
6,1,65.461
7,1,65.461
8,1,-16.327
9,0,-40.894
10,1,0
11,1,-65.461
12,1,-24.567
13,0,-65.461
14,0,-16.327
15,1,-16.327
16,0,-65.461
17,0,40.894
18,0,-65.461
19,0,-65.461
20,1,65.461
21,0,-65.461
22,0,16.327
23,1,65.461
24,0,65.461
25,1,40.894
26,1,16.327
27,0,-65.461
28,1,65.461
29,0,-16.327
30,1,65.461
31,1,-65.461
32,1,-16.327
33,1,-40.894
34,0,65.461
35,0,-40.894
36,1,24.567
37,1,-65.461
38,0,-16.327
39,0,-24.567
40,0,-16.327
41,0,-65.461
42,0,-16.327
43,0,-65.461
44,0,-65.461
45,1,16.327
46,0,40.894
47,0,65.461
48,1,-65.461
49,0,16.327
50,1,65.461
51,1,24.567
52,0,-65.461
53,0,0
54,1,40.894
55,0,40.894
56,0,65.461
57,1,16.327
58,1,65.461
59,1,40.894
60,0,-16.327
61,0,16.327
62,1,-16.327
63,0,-16.327
64,0,-65.461
65,0,40.894
66,1,-16.327
67,0,-65.461
68,1,24.567
69,1,-16.327
70,1,65.461
71,0,-16.327
72,0,65.461
73,1,-16.327
74,1,65.461
75,1,16.327
76,1,16.327
77,1,40.894
78,0,-65.461
79,0,65.461
80,0,-16.327
81,1,0
82,1,16.327
83,1,0
84,1,24.567
85,0,40.894
86,0,-65.461
87,0,-65.461
88,0,65.461
89,0,65.461
90,1,65.461
91,1,16.327
92,1,24.567
93,1,65.461
94,0,-16.327
95,0,-24.567
96,1,-16.327
97,0,0
98,1,16.327
99,0,0
100,1,16.327
101,1,65.461
102,1,-65.461
103,0,16.327
104,1,16.327
105,1,-65.461
106,1,16.327
107,0,-16.327
108,0,-65.461
109,1,0
110,0,-24.567
111,0,-40.894
112,1,-65.461
113,0,-65.461
114,1,65.461
115,1,-40.894
116,0,-24.567
117,1,65.461
118,1,-24.567
119,1,24.567
120,1,-24.567
121,0,-16.327
122,0,16.327
123,1,65.461
124,0,-65.461
125,1,-65.461
126,0,-65.461
127,0,-16.327
128,0,16.327
129,0,16.327
130,1,40.894
131,0,16.327
132,1,-40.894
133,0,-40.894
134,0,-40.894
135,0,-65.461
136,0,-65.461
137,0,-65.461
138,1,-16.327
139,1,-16.327
140,1,65.461
141,0,-16.327
142,0,-24.567
143,1,65.461
144,0,-40.894
145,0,-65.461
146,0,16.327
147,0,65.461
148,1,-16.327
149,1,-65.461
150,1,-16.327
151,0,-65.461
152,0,-16.327
153,1,-16.327
154,1,0
155,1,16.327
156,1,16.327
157,1,16.327
158,0,65.461
159,1,-40.894
160,1,16.327
161,0,65.461
162,0,-16.327
163,1,65.461
164,0,-16.327
165,1,16.327
166,0,-65.461
167,1,24.567
168,0,-16.327
169,0,-40.894
170,1,40.894
171,0,-65.461
172,1,16.327
173,0,-40.894
174,0,40.894
175,0,-40.894
176,1,65.461
177,0,-16.327
178,0,-65.461
179,1,-65.461
180,1,65.461
181,1,16.327
182,1,24.567
183,1,-40.894
184,0,40.894
185,0,0
186,1,65.461
187,1,65.461
188,1,16.327
189,1,-65.461
190,0,65.461
191,0,65.461
192,0,-65.461
193,1,65.461
194,0,-16.327
195,0,-65.461
196,1,-24.567
197,1,-65.461
198,1,40.894
199,0,65.461
200,1,-40.894
