Subj,Class,risk_1d
1,1,-46.054
2,1,-6.288
3,1,6.288
4,1,46.054
5,1,46.054
6,0,-46.054
7,0,-6.288
8,1,-6.288
9,0,-46.054
10,1,-6.288
11,0,46.054
12,1,46.054
13,1,-6.288
14,0,46.054
15,0,-6.288
16,0,-6.288
17,1,6.288
18,0,-6.288
19,0,-6.288
20,1,-46.054
21,0,46.054
22,1,-6.288
23,0,-46.054
24,1,-46.054
25,1,46.054
26,0,-46.054
27,1,6.288
28,1,6.288
29,0,-46.054
30,0,-46.054
31,0,-6.288
32,0,-46.054
33,0,46.054
34,1,-6.288
35,0,-46.054
36,1,6.288
37,1,6.288
38,1,46.054
39,0,-6.288
40,0,6.288
41,0,-6.288
42,0,46.054
43,1,-6.288
44,0,46.054
45,0,6.288
46,1,-46.054
47,0,-6.288
48,1,-46.054
49,1,-6.288
50,1,46.054
51,1,6.288
52,1,6.288
53,1,-46.054
54,1,46.054
55,1,6.288
56,1,6.288
57,1,-46.054
58,0,6.288
59,0,46.054
60,1,46.054
61,1,46.054
62,1,-46.054
63,1,-6.288
64,1,6.288
65,0,6.288
66,0,46.054
67,0,-46.054
68,0,6.288
69,0,46.054
70,0,-46.054
71,0,-6.288
72,0,-6.288
73,1,-6.288
74,0,-6.288
75,1,-46.054
76,0,6.288
77,1,-6.288
78,0,6.288
79,0,-6.288
80,1,6.288
81,0,46.054
82,0,6.288
83,1,6.288
84,1,-6.288
85,1,6.288
86,0,-46.054
87,0,-46.054
88,0,46.054
89,0,46.054
90,0,-6.288
91,0,6.288
92,0,6.288
93,1,-46.054
94,1,6.288
95,1,-46.054
96,1,6.288
97,1,6.288
98,1,-6.288
99,1,-46.054
100,1,-6.288
101,0,46.054
102,0,-46.054
103,0,-6.288
104,0,-46.054
105,0,46.054
106,1,-6.288
107,0,6.288
108,1,6.288
109,0,46.054
110,0,6.288
111,0,-46.054
112,1,-6.288
113,0,-46.054
114,0,-6.288
115,1,6.288
116,1,6.288
117,0,46.054
118,0,6.288
119,0,-46.054
120,1,-46.054
121,0,-6.288
122,1,46.054
123,0,46.054
124,0,46.054
125,1,-6.288
126,0,46.054
127,1,6.288
128,0,-6.288
129,0,-46.054
130,1,-6.288
131,0,46.054
132,1,-6.288
133,1,-46.054
134,0,6.288
135,1,46.054
136,0,6.288
137,0,-6.288
138,0,-6.288
139,1,46.054
140,1,46.054
141,1,46.054
142,0,46.054
143,0,-6.288
144,1,-46.054
145,0,-6.288
146,0,6.288
147,1,-6.288
148,0,46.054
149,1,46.054
150,0,46.054
151,1,6.288
152,1,-6.288
153,0,46.054
154,0,-6.288
155,1,-6.288
156,1,6.288
157,0,6.288
158,0,46.054
159,1,-6.288
160,0,46.054
161,1,-46.054
162,0,46.054
163,0,-46.054
164,1,6.288
165,0,46.054
166,0,-6.288
167,0,46.054
168,0,-46.054
169,0,46.054
170,0,6.288
171,1,-6.288
172,1,-46.054
173,0,6.288
174,0,6.288
175,0,46.054
176,1,-46.054
177,0,-6.288
178,0,46.054
179,0,46.054
180,0,6.288
181,1,46.054
182,1,6.288
183,1,-6.288
184,0,-46.054
185,1,46.054
186,0,-6.288
187,0,46.054
188,1,-6.288
189,0,-46.054
190,0,46.054
191,1,-46.054
192,1,-6.288
193,0,6.288
194,0,-46.054
195,1,46.054
196,1,-6.288
197,0,46.054
198,0,-6.288
199,1,-46.054
200,0,46.054
