Subj,Class,risk_3d
1,1,69.054
2,1,-258.627
3,1,-144.44
4,1,-4.81500000000003
5,1,-158.424
6,1,40.694
7,1,-37.577
8,1,124.119
9,1,-109.413
10,1,-168.112
11,1,76.644
12,0,-251.774
13,0,60.379
14,1,-22.125
15,1,-76.915
16,1,27.228
17,1,8.17499999999998
18,1,55.199
19,1,125.291
20,1,136.209
21,1,28.115
22,1,79.2
23,1,-62.645
24,1,-114.413
25,1,176.969
26,1,50.852
27,1,-226.187
28,1,36.504
29,1,28.779
30,1,-46.232
31,1,-63.081
32,1,-77.609
33,1,132.584
34,1,-170.752
35,1,16.764
36,1,339.747
37,1,150.528
38,0,-28.203
39,0,-167.057
40,0,-8.07100000000001
41,1,40.081
42,1,1.23299999999999
43,1,52.375
44,1,156.116
45,1,18.957
46,1,80.089
47,1,-39.496
48,1,295.124
49,1,20.14
50,1,-228.63
51,1,-109.729
52,1,123.723
53,1,-16.857
54,1,70.667
55,1,-127.982
56,1,268.512
57,1,-68.7869999999999
58,1,-94.0180000000001
59,1,-245.947
60,1,-45.744
61,1,-129.973
62,1,19.417
63,1,50.526
64,1,-95.741
65,1,68.561
66,1,209.909
67,1,-31.211
68,1,129.959
69,1,36.528
70,1,37.647
71,1,260.576
72,1,-118.442
73,1,257.988
74,1,94.286
75,1,-189.328
76,1,-123.005
77,1,-46.692
78,1,-17.04
79,1,-187.796
80,1,-280.605
81,1,-249.419
82,1,-17.362
83,1,62.147
84,1,228.712
85,1,-106.414
86,1,117.767
87,1,176.886
88,1,-55.466
89,0,-232.593
90,1,88.416
91,0,-219.501
92,1,-54.032
93,0,23.74
94,1,-174.624
95,0,149.472
96,0,-196.599
97,0,28.289
98,0,93.105
99,0,-276.647
100,0,45.43
101,0,-99.859
102,0,27.871
103,0,-135.689
104,0,55.363
105,0,-32.436
106,0,-134.701
107,0,-99.646
108,0,-134.589
109,1,0.798
110,0,299.972
111,0,127.521
112,0,100.668
113,1,-34.683
114,0,-41.744
115,0,-25.839
116,0,-127.541
117,0,25.8
118,0,-11.67
119,0,-381.706
120,0,213.338
121,1,-162.373
122,0,-205.132
123,0,3.89699999999999
124,0,-230.05
125,0,83.702
126,0,177.914
127,1,1.215
128,0,130.924
129,1,103.649
130,0,-0.412999999999998
131,0,-131.974
132,0,-3.19599999999998
133,0,-92.314
134,1,311.019
135,1,219.539
136,0,12.928
137,0,28.965
138,1,-79.962
139,1,-3.87199999999998
140,0,176.593
141,0,102.052
142,0,-303.367
143,1,208.713
144,1,20.324
145,0,54.933
146,1,-96.679
147,0,-28.047
148,0,-125.436
149,0,-65.905
150,0,33.495
151,0,-17.946
152,0,-2.15799999999999
153,0,-10.461
154,0,-74.671
155,0,-64.411
156,0,-215.081
157,0,-11.025
158,1,-302.568
159,0,-76.415
160,0,-37.761
161,0,-125.753
162,0,-127.5
163,0,18.978
164,0,54.696
165,1,-309.42
166,0,87.414
167,0,-291.165
168,0,-98.127
169,0,-21.298
170,0,273.562
171,0,136.229
172,0,-122.469
173,0,-1.10399999999999
174,0,45.997
175,1,-179.467
176,0,-276.752
177,0,-27.459
178,0,-182.479
179,0,-26.669
180,0,-79.941
181,0,-115.402
182,1,-185.895
183,0,29.165
184,0,94.671
185,0,127.862
186,1,302.366
187,0,77.083
188,0,26.076
189,0,11.324
190,0,-377.504
191,0,80.157
192,0,-106.911
193,0,-247.347
194,0,15.553
195,0,-6.91699999999999
196,0,189.009
197,0,-190.804
198,0,-126.796
199,0,86.017
200,0,-181.992
