Subj,Class,risk_1d
1,1,-101.587
2,0,97.775
3,0,93.963
4,1,-101.587
5,1,101.587
6,1,-93.963
7,1,101.587
8,1,-93.963
9,0,93.963
10,0,101.587
11,1,-93.963
12,1,-97.775
13,0,97.775
14,1,-97.775
15,0,101.587
16,1,-97.775
17,1,93.963
18,0,101.587
19,1,-93.963
20,1,-93.963
21,1,-93.963
22,1,-93.963
23,1,93.963
24,1,-93.963
25,1,-97.775
26,1,-93.963
27,1,-97.775
28,1,93.963
29,1,-93.963
30,0,97.775
31,1,-101.587
32,1,-93.963
33,0,97.775
34,1,-101.587
35,0,101.587
36,1,-93.963
37,1,-93.963
38,1,-93.963
39,1,-101.587
40,1,-93.963
41,1,-97.775
42,1,-93.963
43,1,-101.587
44,0,93.963
45,1,-101.587
46,1,-101.587
47,1,-101.587
48,1,-93.963
49,0,97.775
50,0,101.587
51,1,-101.587
52,1,-101.587
53,1,-93.963
54,1,-93.963
55,0,101.587
56,1,-101.587
57,1,101.587
58,1,-93.963
59,1,-97.775
60,1,-97.775
61,0,101.587
62,1,-93.963
63,1,-101.587
64,1,-93.963
65,1,-93.963
66,1,101.587
67,0,97.775
68,0,93.963
69,1,-93.963
70,1,-93.963
71,1,-101.587
72,1,-93.963
73,1,-93.963
74,1,-97.775
75,1,-97.775
76,1,-93.963
77,1,-97.775
78,1,-93.963
79,1,-93.963
80,1,-93.963
81,1,-93.963
82,1,-93.963
83,1,-93.963
84,1,93.963
85,1,-97.775
86,1,-101.587
87,1,-93.963
88,0,93.963
89,0,101.587
90,1,-101.587
91,1,-93.963
92,0,101.587
93,1,-93.963
94,1,101.587
95,0,101.587
96,1,-101.587
97,1,-97.775
98,1,-101.587
99,1,-101.587
100,1,-93.963
101,1,97.775
102,1,97.775
103,0,-93.963
104,0,-93.963
105,0,-97.775
106,0,93.963
107,0,-101.587
108,0,-93.963
109,0,97.775
110,0,-93.963
111,0,-93.963
112,0,-97.775
113,0,101.587
114,0,-93.963
115,0,-93.963
116,0,101.587
117,0,-101.587
118,0,-101.587
119,0,-93.963
120,0,101.587
121,0,93.963
122,0,-97.775
123,0,93.963
124,0,-93.963
125,0,-93.963
126,0,-101.587
127,0,-93.963
128,0,101.587
129,0,-93.963
130,0,-93.963
131,0,-93.963
132,0,97.775
133,0,-93.963
134,0,-97.775
135,0,-93.963
136,0,93.963
137,0,101.587
138,0,-101.587
139,0,-97.775
140,0,-97.775
141,0,101.587
142,0,-97.775
143,0,-93.963
144,0,-97.775
145,0,-101.587
146,0,-93.963
147,0,101.587
148,0,-93.963
149,0,-93.963
150,0,97.775
151,0,-101.587
152,0,-93.963
153,1,-93.963
154,1,-97.775
155,1,-101.587
156,1,101.587
157,1,-97.775
158,1,-93.963
159,0,-101.587
160,0,-93.963
161,0,-93.963
162,0,97.775
163,0,101.587
164,1,-93.963
165,1,-101.587
166,1,-101.587
167,1,93.963
168,0,-93.963
169,0,101.587
170,0,-101.587
171,0,-101.587
172,0,-101.587
173,0,-101.587
174,0,-93.963
175,0,-93.963
176,0,-93.963
177,0,-93.963
178,0,101.587
179,0,-93.963
180,0,101.587
181,0,-93.963
182,0,-93.963
183,0,-93.963
184,0,97.775
185,0,-97.775
186,0,-101.587
187,0,-93.963
188,0,97.775
189,0,-97.775
190,0,101.587
191,0,93.963
192,0,-101.587
193,0,-101.587
194,0,97.775
195,0,-97.775
196,0,-101.587
197,0,-93.963
198,0,-97.775
199,0,-93.963
200,1,-93.963
