Subj,Class,risk_1d
1,1,-718.174
2,1,-736.76
3,0,710.746
4,0,720.039
5,1,-727.467
6,1,-733.046
7,1,-714.46
8,1,-733.046
9,1,-714.46
10,1,-736.76
11,0,714.46
12,0,733.046
13,1,-733.046
14,1,-714.46
15,1,-727.467
16,0,733.046
17,1,-718.174
18,0,733.046
19,0,714.46
20,0,714.46
21,0,720.039
22,0,729.332
23,0,714.46
24,0,720.039
25,1,-733.046
26,0,733.046
27,0,714.46
28,1,-718.174
29,0,714.46
30,0,729.332
31,0,723.753
32,1,-733.046
33,0,714.46
34,1,-733.046
35,1,-733.046
36,1,-733.046
37,0,710.746
38,0,710.746
39,1,-736.76
40,0,723.753
41,1,-736.76
42,0,733.046
43,0,714.46
44,1,-736.76
45,0,720.039
46,1,-723.753
47,1,-714.46
48,1,-714.46
49,0,714.46
50,1,-733.046
51,1,-733.046
52,0,729.332
53,1,-723.753
54,0,720.039
55,1,-736.76
56,1,-714.46
57,1,-733.046
58,0,714.46
59,1,-736.76
60,1,-714.46
61,0,710.746
62,1,-736.76
63,0,710.746
64,0,710.746
65,0,714.46
66,0,710.746
67,0,714.46
68,1,-736.76
69,0,729.332
70,1,-733.046
71,1,-733.046
72,1,-718.174
73,0,733.046
74,1,-714.46
75,1,-736.76
76,1,-714.46
77,1,-727.467
78,1,-733.046
79,0,720.039
80,1,-723.753
81,1,-714.46
82,0,714.46
83,0,710.746
84,0,710.746
85,0,729.332
86,0,729.332
87,1,-714.46
88,1,-733.046
89,0,733.046
90,0,714.46
91,1,-718.174
92,0,723.753
93,0,733.046
94,1,-733.046
95,1,-736.76
96,0,710.746
97,1,-733.046
98,0,710.746
99,0,710.746
100,0,710.746
101,0,720.039
102,1,-736.76
103,0,714.46
104,1,-733.046
105,1,-733.046
106,0,720.039
107,0,723.753
108,0,733.046
109,1,-723.753
110,1,-733.046
111,1,-714.46
112,1,-727.467
113,1,-736.76
114,1,-727.467
115,0,729.332
116,0,723.753
117,0,714.46
118,0,714.46
119,0,-718.174
120,1,-723.753
121,0,710.746
122,1,-736.76
123,0,714.46
124,1,-727.467
125,0,710.746
126,1,-714.46
127,0,714.46
128,1,-718.174
129,0,729.332
130,1,-736.76
131,0,723.753
132,1,-718.174
133,1,-718.174
134,0,723.753
135,0,710.746
136,0,710.746
137,0,723.753
138,1,-727.467
139,0,710.746
140,0,723.753
141,0,714.46
142,1,-736.76
143,1,-736.76
144,0,720.039
145,1,-733.046
146,1,-733.046
147,1,-723.753
148,0,710.746
149,0,-723.753
150,1,-718.174
151,0,729.332
152,1,-718.174
153,0,729.332
154,1,-714.46
155,1,-736.76
156,0,720.039
157,1,-727.467
158,1,-733.046
159,0,720.039
160,1,-736.76
161,1,-714.46
162,1,-723.753
163,1,-736.76
164,0,714.46
165,0,710.746
166,1,-736.76
167,0,723.753
168,0,710.746
169,1,-736.76
170,0,710.746
171,0,714.46
172,0,733.046
173,0,729.332
174,1,-727.467
175,1,-714.46
176,1,-733.046
177,0,710.746
178,0,729.332
179,1,-736.76
180,0,710.746
181,0,-714.46
182,0,714.46
183,0,729.332
184,0,723.753
185,0,-736.76
186,0,733.046
187,0,733.046
188,1,-736.76
189,1,-723.753
190,1,-736.76
191,0,714.46
192,0,733.046
193,1,-727.467
194,0,729.332
195,0,714.46
196,0,714.46
197,1,-718.174
198,0,733.046
199,1,-736.76
200,0,729.332
