Subj,Class,risk_1d
1,0,-4.21
2,0,75.04
3,1,-87.116
4,0,78.696
5,0,0
6,1,0
7,1,82.906
8,0,78.696
9,0,70.83
10,1,0
11,1,0
12,1,0
13,1,-4.21
14,1,-82.906
15,0,82.906
16,1,0
17,1,78.696
18,0,78.696
19,0,78.696
20,1,-4.21
21,1,-87.116
22,0,82.906
23,1,-7.866
24,1,82.906
25,1,-94.982
26,1,0
27,1,-82.906
28,1,-4.21
29,1,75.04
30,1,-7.866
31,0,78.696
32,1,-87.116
33,1,-87.116
34,0,-4.21
35,0,82.906
36,0,82.906
37,0,78.696
38,1,-87.116
39,1,-82.906
40,1,78.696
41,0,78.696
42,1,-90.772
43,1,-7.866
44,1,-94.982
45,0,82.906
46,0,0
47,1,-87.116
48,0,-4.21
49,0,82.906
50,0,78.696
51,0,75.04
52,1,82.906
53,0,-4.21
54,1,82.906
55,1,-82.906
56,0,-4.21
57,0,78.696
58,1,-87.116
59,0,82.906
60,0,78.696
61,1,-7.866
62,1,-87.116
63,1,82.906
64,1,-87.116
65,1,-87.116
66,0,78.696
67,1,-94.982
68,1,-4.21
69,1,75.04
70,1,-12.076
71,0,82.906
72,1,-12.076
73,1,82.906
74,1,-4.21
75,1,-4.21
76,0,75.04
77,0,-7.866
78,1,-94.982
79,1,0
80,1,-7.866
81,0,78.696
82,0,78.696
83,1,78.696
84,0,82.906
85,1,-4.21
86,0,82.906
87,0,70.83
88,1,0
89,1,-94.982
90,1,82.906
91,1,-82.906
92,1,-82.906
93,1,0
94,1,-87.116
95,1,-4.21
96,1,70.83
97,0,70.83
98,1,-82.906
99,1,-82.906
100,0,78.696
101,1,-94.982
102,0,82.906
103,1,82.906
104,0,78.696
105,1,-7.866
106,1,78.696
107,1,82.906
108,1,-4.21
109,1,82.906
110,1,82.906
111,1,-87.116
112,1,-90.772
113,1,-12.076
114,1,-87.116
115,0,78.696
116,1,-87.116
117,1,78.696
118,1,82.906
119,1,-4.21
120,0,82.906
121,0,70.83
122,0,-12.076
123,0,75.04
124,0,-82.906
125,0,82.906
126,0,75.04
127,0,-87.116
128,0,0
129,0,0
130,0,75.04
131,0,78.696
132,0,-82.906
133,0,82.906
134,0,-87.116
135,0,75.04
136,0,-87.116
137,0,78.696
138,0,82.906
139,0,0
140,0,-7.866
141,0,-90.772
142,0,78.696
143,0,82.906
144,0,82.906
145,0,-7.866
146,0,78.696
147,1,-87.116
148,1,-82.906
149,0,78.696
150,1,-7.866
151,1,75.04
152,1,-94.982
153,0,82.906
154,1,-82.906
155,1,-4.21
156,1,82.906
157,1,78.696
158,1,-4.21
159,0,75.04
160,1,-12.076
161,0,0
162,1,-82.906
163,0,82.906
164,0,78.696
165,0,78.696
166,1,-87.116
167,1,-4.21
168,0,78.696
169,1,78.696
170,1,-87.116
171,1,-87.116
172,1,-87.116
173,0,75.04
174,0,82.906
175,0,-82.906
176,0,-82.906
177,0,70.83
178,0,-4.21
179,0,0
180,0,-4.21
181,0,70.83
182,0,-87.116
183,0,78.696
184,0,-4.21
185,0,82.906
186,0,75.04
187,0,70.83
188,1,-94.982
189,1,82.906
190,0,78.696
191,1,-90.772
192,0,-82.906
193,0,-94.982
194,0,-82.906
195,0,78.696
196,0,-87.116
197,0,-87.116
198,0,-7.866
199,0,82.906
200,1,-7.866
