Subj,Class,risk_3d
1,1,81.882
2,1,-63.736
3,1,-60.348
4,1,-12.81
5,1,-61.455
6,1,147.708
7,1,-92.935
8,1,7.74100000000001
9,1,137.238
10,1,3.218
11,1,124.691
12,1,142.646
13,1,-47.011
14,1,12.4
15,1,79.06
16,1,-20.978
17,1,138.551
18,1,128.282
19,1,-37.14
20,1,-41.468
21,1,-60.576
22,1,89.39
23,1,128.113
24,1,-65.281
25,1,69.721
26,1,-0.452999999999995
27,1,192.85
28,1,68.4080000000001
29,1,110.302
30,1,3.522
31,1,-105.318
32,1,191.449
33,1,155.195
34,1,-36.134
35,0,73.267
36,0,7.914
37,1,-38.077
38,0,87.919
39,1,-79.56
40,1,125.855
41,1,-55.146
42,1,-6.96600000000001
43,1,-55.877
44,1,87.245
45,1,-74.389
46,1,-100.194
47,1,-7.60100000000001
48,1,-101.041
49,1,90.489
50,1,-138.663
51,1,89.307
52,1,52.881
53,1,-118.195
54,1,69.272
55,1,-70.311
56,1,99.687
57,1,-91.047
58,1,59.13
59,1,-59.966
60,1,64.206
61,1,-66.531
62,1,72.894
63,1,113.485
64,1,-0.394000000000007
65,1,-10.633
66,1,38.232
67,1,-42.006
68,1,-0.872000000000012
69,1,-39.211
70,1,184.394
71,1,-30.23
72,1,1.848
73,1,-92.636
74,1,-20.501
75,1,98.173
76,1,155.626
77,1,139.094
78,1,57.447
79,1,-14.302
80,1,11.605
81,1,-52.43
82,1,106.838
83,1,35.824
84,1,-99.19
85,1,-3.48799999999999
86,1,30.118
87,1,41.596
88,1,165.3
89,1,156.058
90,1,-51.494
91,1,-0.221999999999998
92,1,57.189
93,1,89.497
94,1,-7.156
95,1,93.425
96,1,-53.156
97,1,100.837
98,1,-81.633
99,1,-64.533
100,1,-48.501
101,0,-44.635
102,0,55.017
103,0,123.693
104,0,-64.064
105,0,-74.361
106,0,110.412
107,0,-42.838
108,1,16.34
109,0,46.605
110,0,76.741
111,0,-29.859
112,0,-64.155
113,0,216.464
114,0,-109.258
115,0,69.978
116,0,54.614
117,0,15.477
118,0,63.182
119,0,142.288
120,0,-72.643
121,0,18.258
122,0,102.048
123,0,-59.003
124,0,-25.998
125,0,29.988
126,0,-46.179
127,0,50.021
128,0,7.12099999999999
129,0,-6.02199999999999
130,0,-16.89
131,0,45.389
132,0,87.426
133,0,182.009
134,0,55.184
135,0,191.266
136,0,5.267
137,0,21.172
138,0,30.616
139,0,12.682
140,0,-45.629
141,0,72.515
142,0,4.85000000000001
143,0,-84.068
144,0,150.065
145,0,47.51
146,0,-75.466
147,0,-1.46899999999999
148,0,109.077
149,0,129.114
150,0,58.29
151,0,104.27
152,0,-37.454
153,0,0.563000000000001
154,0,54.086
155,0,146.614
156,1,28.35
157,0,-38.719
158,0,20.897
159,0,50.783
160,0,-62.961
161,0,-173.256
162,0,44.5
163,0,-14.764
164,0,9.812
165,0,9.10499999999999
166,0,-3.83599999999999
167,0,53.723
168,0,93.392
169,0,91.805
170,1,72.783
171,0,-13.33
172,0,36.067
173,0,74.802
174,0,33.433
175,0,-25.578
176,0,128.578
177,0,-120.999
178,0,-88.983
179,0,18.735
180,0,11.982
181,0,-129.596
182,0,4.06099999999999
183,0,130.4
184,0,98.895
185,0,-43.046
186,0,22.345
187,0,48.852
188,0,-70.479
189,0,57.146
190,0,11.749
191,0,-54.46
192,0,61.385
193,0,43.48
194,0,50.717
195,1,-39.363
196,0,-98.83
197,0,-31.652
198,0,84.478
199,0,-30.488
200,0,25.219
