Subj,Class,risk_1d
1,1,-709.434
2,0,709.434
3,1,-705.514
4,0,-705.514
5,1,-705.514
6,0,709.434
7,1,-705.514
8,1,-709.434
9,0,709.434
10,0,709.434
11,1,-709.434
12,1,-709.434
13,0,-709.434
14,0,709.434
15,0,713.354
16,0,709.434
17,0,709.434
18,0,713.354
19,0,-709.434
20,1,-709.434
21,0,713.354
22,1,-705.514
23,0,713.354
24,1,-709.434
25,1,-705.514
26,1,-705.514
27,0,709.434
28,0,713.354
29,0,713.354
30,0,713.354
31,1,-705.514
32,0,709.434
33,0,713.354
34,1,-705.514
35,1,-705.514
36,0,709.434
37,1,-705.514
38,0,709.434
39,1,-709.434
40,0,713.354
41,1,-705.514
42,0,713.354
43,0,709.434
44,1,-709.434
45,0,713.354
46,1,-705.514
47,0,709.434
48,0,713.354
49,1,-709.434
50,1,-709.434
51,0,709.434
52,0,713.354
53,0,-709.434
54,1,-705.514
55,0,713.354
56,0,713.354
57,0,713.354
58,0,709.434
59,0,709.434
60,0,713.354
61,0,713.354
62,0,713.354
63,0,709.434
64,1,-709.434
65,1,-705.514
66,1,-709.434
67,0,709.434
68,1,-709.434
69,0,709.434
70,1,-709.434
71,0,713.354
72,1,-705.514
73,0,709.434
74,0,713.354
75,1,-705.514
76,0,709.434
77,1,-709.434
78,1,-705.514
79,1,-705.514
80,0,713.354
81,1,-709.434
82,0,709.434
83,1,-705.514
84,1,-709.434
85,0,709.434
86,1,-709.434
87,1,-705.514
88,1,-709.434
89,1,-705.514
90,1,-705.514
91,0,709.434
92,1,-705.514
93,1,-705.514
94,1,-705.514
95,1,-709.434
96,1,-709.434
97,0,709.434
98,0,713.354
99,0,709.434
100,1,-705.514
101,1,-705.514
102,1,-709.434
103,1,-705.514
104,0,709.434
105,0,709.434
106,0,709.434
107,0,709.434
108,0,-705.514
109,0,-705.514
110,1,-709.434
111,1,-709.434
112,1,-705.514
113,0,713.354
114,0,-705.514
115,1,-709.434
116,1,-705.514
117,0,709.434
118,1,-709.434
119,1,-705.514
120,0,713.354
121,0,709.434
122,0,713.354
123,1,-709.434
124,1,-705.514
125,0,709.434
126,1,-709.434
127,0,709.434
128,1,-705.514
129,1,-705.514
130,0,713.354
131,1,-705.514
132,1,-709.434
133,1,-705.514
134,0,709.434
135,1,-705.514
136,1,-709.434
137,1,-709.434
138,0,713.354
139,1,-705.514
140,0,713.354
141,0,-705.514
142,0,713.354
143,1,-705.514
144,0,-709.434
145,0,713.354
146,0,709.434
147,0,713.354
148,1,-709.434
149,0,709.434
150,1,-709.434
151,1,-705.514
152,1,-709.434
153,1,-705.514
154,0,713.354
155,0,713.354
156,1,-709.434
157,0,713.354
158,1,-705.514
159,1,-705.514
160,1,-705.514
161,1,-705.514
162,1,-705.514
163,1,-709.434
164,1,-705.514
165,1,-709.434
166,0,713.354
167,1,-705.514
168,1,-709.434
169,1,-709.434
170,0,713.354
171,0,709.434
172,1,-705.514
173,1,-705.514
174,1,-709.434
175,1,-709.434
176,0,709.434
177,0,709.434
178,0,709.434
179,1,-705.514
180,0,713.354
181,1,-709.434
182,0,713.354
183,0,713.354
184,0,713.354
185,0,709.434
186,0,709.434
187,0,713.354
188,1,-705.514
189,0,-705.514
190,0,713.354
191,0,-709.434
192,1,-709.434
193,0,709.434
194,0,709.434
195,1,-709.434
196,1,-709.434
197,1,-709.434
198,0,713.354
199,1,-709.434
200,1,-709.434
