Subj,Class,risk_3d
1,1,-33.425
2,1,-52.357
3,1,-91.857
4,1,51.713
5,1,-100.996
6,0,-154.66
7,0,-42.913
8,1,-21.398
9,1,61.586
10,1,-17.081
11,1,-72.014
12,1,-28.964
13,1,-22.985
14,1,-42.382
15,1,-26.226
16,1,44.605
17,1,35.311
18,1,68.357
19,1,-12.723
20,1,9.803
21,1,-52.397
22,1,-8.46
23,1,54.828
24,1,-41.631
25,1,-5.074
26,1,-30.48
27,1,-34.997
28,1,75.09
29,1,-52.773
30,1,59.076
31,0,-157.271
32,1,1.019
33,1,25.404
34,1,26.803
35,1,41.3
36,1,65.574
37,1,66.894
38,1,-76.087
39,0,-104.866
40,1,-32.534
41,1,55.188
42,1,-129.794
43,1,-60.503
44,1,15.428
45,1,8.92700000000001
46,1,31.246
47,1,-1.796
48,1,-64.107
49,1,-28.362
50,1,-8.024
51,1,-31.381
52,1,-60.843
53,1,0.377999999999997
54,1,-7.915
55,1,-20.452
56,1,-92.5809999999999
57,1,-65.755
58,1,-38.568
59,1,38.857
60,1,-37.273
61,1,-0.504000000000006
62,1,-94.915
63,1,-91.093
64,0,-10.569
65,1,19.697
66,1,36.29
67,1,-2.552
68,1,-131.551
69,1,-87.26
70,1,14.727
71,1,-68.063
72,1,-21.465
73,1,22.733
74,1,12.911
75,1,-100.782
76,1,-65.328
77,1,74.725
78,1,-48.132
79,1,11.086
80,1,19.874
81,1,-69.012
82,1,-43.722
83,1,-0.248999999999999
84,1,98.763
85,1,-145.713
86,1,-154.372
87,1,-57.919
88,1,-28.811
89,1,-72.911
90,1,21.601
91,1,-11.827
92,1,11.336
93,1,-73.34
94,1,-30.706
95,1,48.352
96,1,-57.527
97,1,-7.176
98,1,21.759
99,1,-12.393
100,1,20.261
101,1,-26.253
102,1,-90.532
103,1,-61.977
104,1,-54.961
105,0,-102.93
106,0,78.519
107,0,-110.322
108,0,-90.274
109,0,82.284
110,0,-68.785
111,0,-102.025
112,0,-0.707000000000001
113,0,1.495
114,0,-49.889
115,0,19.249
116,0,116.47
117,0,-55.952
118,0,126.769
119,0,6.553
120,0,-21.518
121,0,-50.98
122,0,-4.85
123,0,-47.535
124,0,-6.486
125,0,-77.623
126,0,-29.234
127,0,-30.626
128,0,-49.958
129,0,-77.361
130,0,42.041
131,0,-14.35
132,0,-58.186
133,0,-18.172
134,0,-27.822
135,0,-25.283
136,0,-57.701
137,0,32.293
138,0,-22.012
139,0,29.606
140,0,-88.153
141,0,72.202
142,0,22.257
143,0,-57.701
144,0,33.648
145,0,-49.544
146,0,-25.639
147,0,-42.709
148,0,-21.259
149,0,-37.801
150,0,-94.209
151,0,47.399
152,0,42.167
153,0,-6.601
154,0,-166.925
155,1,13.737
156,0,-76.917
157,0,-130.024
158,0,74.65
159,0,-22.575
160,0,15.025
161,1,-68.404
162,1,-6.353
163,0,-38.678
164,0,37.239
165,0,-10.201
166,0,-43.952
167,0,-39.566
168,0,-89.918
169,0,-25.468
170,0,2.805
171,0,-44.656
172,0,-26.257
173,0,-21.703
174,0,8.534
175,0,-13.402
176,0,-16.361
177,0,30.531
178,0,166.609
179,0,-57.822
180,0,-72.672
181,0,-145.072
182,0,-4.43
183,0,41.635
184,0,-178.653
185,0,62.994
186,0,-73.727
187,0,-40.151
188,0,-98.006
189,0,0.711000000000005
190,0,5.151
191,0,30.18
192,0,-38.538
193,0,-58.082
194,0,-40.634
195,0,55.842
196,0,-14.562
197,0,-21.655
198,0,-52.757
199,0,37.666
200,0,-178.952
