Subj,Class,risk_2d
1,0,-548.447
2,0,24.582
3,1,284.954
4,1,257.755
5,0,-5.232
6,0,-548.995
7,1,276.759
8,0,-264.941
9,0,-248.594
10,0,19.891
11,1,292.596
12,1,566.633
13,1,291.482
14,1,-11.273
15,0,-282.122
16,1,36.331
17,0,-245.216
18,0,-554.549
19,1,287.29
20,1,304.746
21,0,9.355
22,1,4.869
23,1,529.789
24,1,552.346
25,1,267.719
26,1,0.572
27,0,-260.073
28,1,295.4
29,1,540.34
30,1,279.457
31,0,-556.009
32,1,265.116
33,1,-21.083
34,0,-7.616
35,0,-252.146
36,1,-14.308
37,1,563.051
38,1,22.33
39,0,-292.316
40,0,4.04
41,1,289.221
42,0,2.422
43,1,15.386
44,1,263.512
45,0,-543.275
46,1,555.637
47,0,3.493
48,0,-248.537
49,1,270.445
50,0,-286.96
51,0,-255.028
52,1,252.556
53,1,22.127
54,1,544.627
55,0,-566.672
56,1,571.466
57,1,281.748
58,0,-292.894
59,0,-559.947
60,0,-288.046
61,0,-261.514
62,0,-559.947
63,0,-532.654
64,1,277.678
65,1,578.833
66,0,-272.447
67,1,298.754
68,1,563.013
69,0,20.732
70,1,567.769
71,0,23.749
72,0,-244.464
73,1,292.752
74,0,-261.492
75,1,295.598
76,1,263.838
77,0,-5.171
78,1,-11.201
79,0,-297.694
80,0,-252.8
81,0,-515.274
82,0,1.256
83,1,-10.337
84,1,573.563
85,0,22.547
86,1,267.144
87,1,277.819
88,0,-566.273
89,0,-262.215
90,0,-268.254
91,0,-246.396
92,0,-15.429
93,0,-246.754
94,1,557.922
95,0,8.202
96,1,270.545
97,1,292.891
98,1,278.402
99,0,-260.467
100,1,281.264
101,0,-9.515
102,0,22.651
103,0,-578.424
104,1,274.965
105,0,-562.097
106,1,549.501
107,0,-537.834
108,1,253.193
109,0,-245.6
110,1,555.423
111,0,-277.211
112,0,23.523
113,0,-562.73
114,0,-271.608
115,0,3.816
116,1,546.052
117,1,44.391
118,0,-259.651
119,0,7.226
120,0,-547.991
121,1,-9.125
122,0,-555.469
123,1,324.169
124,0,6.182
125,0,30.854
126,0,-535.13
127,1,547.167
128,1,282.634
129,1,550.158
130,1,4.698
131,0,-281.489
132,1,33.347
133,0,-48.546
134,1,32.498
135,0,-49.366
136,0,-259.765
137,0,-2.359
138,0,-522.581
139,1,274.465
140,0,-260.073
141,1,37.093
142,1,25.642
143,1,266.068
144,1,37.074
145,1,14.605
146,0,-529.216
147,0,-273.109
148,1,257.272
149,1,300.813
150,1,278.301
151,1,279.457
152,1,562.347
153,0,-540.743
154,1,564.112
155,0,-18.738
156,0,-8.781
157,0,-256.868
158,0,273.802
159,0,297.649
160,0,9.134
161,0,-575.155
162,0,33.125
163,1,539.493
164,1,276.74
165,1,569.648
166,0,-30.015
167,1,585.439
168,0,34.972
169,0,-24.274
170,1,6.422
171,1,271.196
172,1,546.33
173,1,302.352
174,0,15.549
175,0,-271.055
176,1,-11.402
177,0,-287.859
178,0,-564.744
179,0,-301.6
180,1,257.755
181,0,3.104
182,0,6.487
183,0,-257.103
184,0,16.746
185,0,-261.505
186,1,281.146
187,1,551.117
188,1,301.027
189,0,-535.436
190,1,280.944
191,0,-39.61
192,1,271.274
193,1,8.498
194,1,564.858
195,0,-250.43
196,1,288.789
197,1,270.881
198,1,309.699
199,1,284.674
200,0,-555.21
