Subj,Class,risk_2d
1,1,26.082
2,1,23.583
3,1,-4.692
4,1,-25.222
5,1,4.76
6,1,1.285
7,1,-15.435
8,1,-11.696
9,0,16.974
10,1,13.347
11,0,1.228
12,1,-41.387
13,0,-9.197
14,1,-24.815
15,1,-29.164
16,1,-27.476
17,1,-20.718
18,1,7.324
19,1,-28.24
20,1,3.119
21,1,11.479
22,1,-2.216
23,1,19.385
24,1,-16.953
25,1,17.922
26,1,-16.577
27,0,-3.293
28,1,-3.777
29,1,1.025
30,1,9.406
31,1,-12.807
32,1,-39.145
33,1,-7.078
34,1,19.897
35,1,-20.545
36,1,-3.862
37,1,12.147
38,1,2.983
39,1,2.133
40,1,9.149
41,1,4.597
42,1,-26.585
43,1,-25.981
44,0,-23.581
45,0,-28.607
46,0,-26.325
47,1,1.592
48,1,-36.077
49,1,4.798
50,1,1.01
51,0,-13.493
52,1,-10.346
53,1,21.73
54,0,2.774
55,1,31.918
56,1,-0.0990000000000002
57,1,-26.667
58,0,15.221
59,1,6.322
60,1,-17.689
61,1,-15.763
62,1,-6.959
63,1,-17.833
64,1,-9.814
65,1,9.21
66,1,16.839
67,1,-13.608
68,1,-4.692
69,1,-11.248
70,1,-15.367
71,1,-4.899
72,1,12.323
73,1,-11.959
74,1,7.385
75,1,18.4
76,1,-10.405
77,1,-26.383
78,1,12.933
79,1,-12.661
80,1,-26.534
81,1,-0.298
82,1,9.487
83,1,-23.788
84,1,17.988
85,1,-1.58
86,1,-17.088
87,1,1.667
88,1,27.89
89,1,12.508
90,0,3.209
91,1,1.307
92,1,-41.363
93,1,-0.155000000000002
94,1,-9.771
95,0,-15.593
96,1,-24.877
97,1,11.194
98,1,10.834
99,1,-16.539
100,1,5.677
101,1,-14.414
102,1,-24.544
103,1,6.711
104,1,-7.078
105,0,-16.766
106,1,-13.217
107,1,-12.582
108,0,-16.752
109,0,-11.959
110,0,-44.289
111,1,26.996
112,0,-23.64
113,0,-8.395
114,0,-26.234
115,0,-3.323
116,0,20.554
117,0,-13.316
118,0,23.979
119,0,-1.529
120,0,-22.997
121,0,-4.138
122,0,0.758
123,1,16.477
124,0,-37.221
125,0,-20.43
126,0,-4.594
127,1,24.481
128,0,-40.74
129,1,10.863
130,0,-24.656
131,0,-10.168
132,0,19.22
133,0,-26.927
134,0,-5.681
135,0,5.842
136,1,12.906
137,0,-19.356
138,0,-12.583
139,0,-7.027
140,0,2.297
141,0,-22.675
142,0,-29.351
143,0,-36.87
144,0,28.933
145,0,7.686
146,0,16.03
147,0,-26.035
148,1,-9.337
149,0,-26.383
150,0,-0.72
151,0,-16.693
152,0,-5.975
153,0,11.134
154,0,2.088
155,0,-22.031
156,0,-28.792
157,0,4.054
158,0,-37.766
159,1,-3.072
160,0,16.539
161,0,8.229
162,0,5.484
163,0,-24.344
164,0,17.908
165,1,10.948
166,1,-12.221
167,0,-18.074
168,0,3.01
169,0,-16.826
170,0,12.323
171,0,-5.82
172,0,-16.501
173,0,22.564
174,0,-39.289
175,0,-2.666
176,0,21.343
177,0,23.615
178,0,-0.254
179,1,7.385
180,0,-16.062
181,0,-4.993
182,0,26.634
183,0,-23.646
184,0,-28.774
185,0,14.214
186,1,-6.733
187,0,-7.761
188,0,22.479
189,0,-27.357
190,0,-49.208
191,0,4.589
192,0,2.277
193,0,9.204
194,0,-16.947
195,0,-22.566
196,0,-27.643
197,0,-23.32
198,0,-10.159
199,0,11.275
200,0,-4.594
