Subj,Class,risk_2d
1,1,-9.101
2,0,-7.52
3,0,5.413
4,0,8.44
5,0,13.256
6,1,7.727
7,1,17.255
8,0,-1.37
9,1,-16.302
10,1,12.751
11,0,9.966
12,1,-24.601
13,0,7.779
14,0,5.092
15,1,10.838
16,1,1.458
17,1,5.326
18,1,6.05
19,1,-29.734
20,1,-20.129
21,0,-7.075
22,0,-6.32
23,1,-5.465
24,1,-3.534
25,0,12.166
26,0,-8.578
27,1,6.468
28,0,21.508
29,0,-1.37
30,0,10.881
31,1,-2.034
32,0,-2.842
33,0,0.906
34,0,1.914
35,1,9.097
36,1,8.6
37,1,5.705
38,0,12.787
39,0,-0.555
40,0,9.358
41,0,17.443
42,1,17.037
43,0,-14.091
44,0,-5.661
45,0,21.61
46,1,-14.097
47,0,-12.695
48,0,-8.578
49,0,32.089
50,1,-3.288
51,0,-0.544000000000001
52,1,-5.806
53,0,-15.863
54,0,7.074
55,0,15.938
56,1,-28.951
57,0,-15.346
58,0,-13.355
59,0,3.719
60,1,-12.464
61,1,17.815
62,1,1.818
63,0,-13.235
64,1,-7.42
65,0,-18.804
66,0,-6.325
67,0,8.413
68,0,-12.562
69,0,20.569
70,1,0.327999999999999
71,1,8.602
72,0,-2.373
73,0,-3.208
74,1,-2.948
75,0,19.729
76,1,-16.353
77,0,3.435
78,1,-18.859
79,1,6.531
80,1,8.396
81,1,0.869999999999998
82,1,-27.456
83,1,-0.566
84,0,4.8
85,0,10.676
86,0,5.222
87,1,14.046
88,1,-9.7
89,0,6.14
90,0,5.359
91,0,5.788
92,0,-8.82
93,1,31.376
94,1,-9.52
95,0,-8.852
96,1,-2.989
97,1,11.22
98,1,-6.95300000000001
99,1,-2.57
100,1,19.724
101,1,-23.014
102,1,-17.58
103,0,-0.805999999999999
104,1,5.642
105,1,1.005
106,0,6.695
107,1,2.759
108,0,-9.16
109,0,15.281
110,1,-6.511
111,0,25.998
112,0,22.95
113,0,-3.768
114,0,5.641
115,1,-14.02
116,0,-14.396
117,0,3.999
118,1,8.4
119,1,18.864
120,0,-0.934000000000002
121,1,-5.036
122,1,16.667
123,1,18.421
124,0,25.856
125,0,4.552
126,1,6.575
127,1,31.958
128,0,-0.896
129,0,11.057
130,0,-18.336
131,1,14.06
132,1,8.939
133,0,-10.758
134,0,5.34
135,1,24.756
136,0,-9.796
137,0,34.712
138,1,-29.734
139,1,-16.353
140,0,6.457
141,0,-12.133
142,1,1.212
143,0,30.398
144,1,18.084
145,0,15.478
146,0,5.214
147,1,-7.631
148,1,-11.265
149,1,12.274
150,0,-2.59
151,1,18.838
152,0,-17.886
153,1,16.953
154,0,-2.328
155,1,-5.828
156,0,-0.471
157,1,3.48
158,0,13.502
159,0,-19.963
160,1,0.155999999999999
161,1,-14.382
162,0,-9.525
163,0,7.157
164,1,20.209
165,1,16.495
166,1,-15.109
167,0,21.876
168,0,4.548
169,0,5.036
170,1,0.476000000000001
171,0,-18.22
172,1,-0.288
173,1,1.74
174,0,14.931
175,0,16.526
176,0,27.236
177,1,1.397
178,1,-0.371000000000001
179,0,-22.884
180,0,23.566
181,0,-2.089
182,1,-3.732
183,0,9.358
184,0,1.498
185,1,-12.506
186,0,10.837
187,0,-6.254
188,1,4.311
189,1,25.856
190,1,-0.34
191,0,28.207
192,0,-5.888
193,1,15.676
194,0,-8.82
195,0,20.758
196,0,6.268
197,0,4.902
198,0,-11.758
199,1,22.676
200,1,-8.842
