Subj,Class,risk_3d
1,1,-611.486
2,1,-0.652999999999969
3,1,453.22
4,0,-595.837
5,1,-822.583
6,1,-79.04
7,0,526.518
8,0,354.441
9,1,-621.730000000001
10,1,201.243
11,1,-29.861
12,0,330.333
13,1,298.038
14,0,353.414
15,1,-63.585
16,0,842.027
17,0,311.648
18,1,432.79
19,1,-857.231
20,1,288.361
21,0,287.248
22,1,-174.332
23,0,-696.62
24,1,365.444
25,0,-7.849
26,0,372.206
27,1,-861.114
28,1,-217.767
29,0,34.047
30,0,-923.414
31,1,-549.05
32,1,332.029
33,0,493.117
34,0,725.41
35,1,359.934
36,0,274.965
37,1,-940.814
38,1,379.3
39,0,121.201
40,0,358.688
41,1,728.554
42,1,403.084
43,0,391.302
44,0,-575.68
45,0,350.882
46,0,431.849
47,1,-500.965
48,0,260.407
49,0,437.038
50,0,-193.954
51,0,310.507
52,1,-461.019
53,1,726.308
54,1,-574.566
55,1,-447.982
56,0,825.354
57,0,464.114
58,1,-65.589
59,1,578.963
60,1,-98.2420000000001
61,1,-61.863
62,1,-698.618000000001
63,0,859.964
64,0,200.632
65,1,-775.693
66,1,-682.831
67,1,287.5
68,0,338.025
69,0,352.856
70,0,401.14
71,1,-871.218
72,1,381.059
73,1,337.29
74,0,559.9
75,1,629.646
76,0,700.98
77,1,-991.289
78,0,644.905
79,1,443.068
80,0,384.11
81,1,-41.419
82,0,441.748
83,1,27.797
84,0,390.7
85,0,14.069
86,1,182.559
87,1,-895.727
88,0,70.191
89,0,271.936
90,0,-915.906
91,1,-672.608
92,0,138.791
93,0,411.262
94,0,85.497
95,1,-551.409
96,1,-454.117
97,0,188.978
98,0,304.658
99,1,232.498
100,0,-729.263
101,0,412.761
102,1,261.752
103,1,-620.3
104,0,78.73
105,0,392.902
106,0,-1192.452
107,0,403.744
108,0,-914.68
109,0,710.444
110,1,284.184
111,1,314.014
112,0,309.637
113,1,-100.729
114,1,414.202
115,1,-459.705
116,1,368.168
117,1,-727.621
118,0,298.359
119,1,309.608
120,1,-190.5
121,0,-938.456
122,1,-50.552
123,0,549.778
124,0,522.755
125,0,150.134
126,0,560.715
127,0,255.7
128,1,-580.394
129,0,407.63
130,0,481.886
131,1,-586.89
132,0,283.114
133,0,273.202
134,0,520.98
135,1,-603.317
136,0,91.317
137,1,191.924
138,1,390.94
139,1,373.658
140,1,400.774
141,1,428.094
142,1,322.696
143,1,-516.805
144,1,638.627
145,0,109.278
146,1,-189.063
147,0,-658.797
148,1,734.776
149,0,448.901
150,0,654.242
151,0,79.482
152,1,599.115
153,1,-680.178000000001
154,0,377.292
155,1,178.21
156,1,-498.634
157,1,7.29
158,0,362.725
159,0,825.942
160,0,138.566
161,1,460.026
162,0,371.032
163,1,373.07
164,1,-910.38
165,1,140.521
166,1,650.93
167,0,-589.792
168,1,437.461
169,0,-91.196
170,1,-80.246
171,1,647.047
172,1,255.052
173,0,471.589
174,1,368.874
175,1,-148.171
176,0,-1032.957
177,1,-941.084
178,1,336.23
179,0,-1019.132
180,1,24.038
181,0,321.156
182,0,280.596
183,0,277.842
184,1,430.092
185,1,761.343
186,1,559.256
187,0,377.167
188,1,13.61
189,0,304.782
190,0,324.669
191,0,170.546
192,0,101.968
193,0,-651.169
194,1,-423.173
195,0,377.407
196,0,217.482
197,0,-1051.269
198,0,527.874
199,1,-900.214
200,1,-540.437
