Subj,Class,risk_3d
1,0,-214.933
2,1,111.745
3,0,64.928
4,0,-155.35
5,0,126.219
6,0,8.55399999999999
7,1,-14.846
8,0,115.726
9,1,295.468
10,1,-198.352
11,1,-129.597
12,0,102.744
13,0,-121.545
14,0,-339.2
15,0,-47.898
16,0,103.673
17,1,33.662
18,1,-77.332
19,0,-33.875
20,0,-13.604
21,1,-17.504
22,1,-66.744
23,1,131.543
24,0,-179.998
25,1,-295.921
26,1,102.995
27,1,-119.814
28,1,41.146
29,1,-338.296
30,0,-231.549
31,1,-227.822
32,1,-27.997
33,1,-210.586
34,1,54.45
35,1,110.698
36,0,-128.022
37,1,-163.935
38,1,15.317
39,1,-102.126
40,0,125.825
41,1,146.679
42,0,-82.764
43,0,110.391
44,1,-111.186
45,0,83.551
46,0,-27.199
47,0,-84.752
48,1,-38.57
49,0,112.967
50,0,47.247
51,0,-42.716
52,1,69.294
53,1,34.199
54,1,0.804000000000007
55,0,13.918
56,1,-5.58799999999999
57,0,-96.646
58,1,7.14900000000003
59,0,-67.614
60,0,-57.764
61,1,-56.624
62,0,-22.252
63,0,223.343
64,1,-2.04499999999999
65,0,94.726
66,0,167.383
67,1,-44.447
68,1,61.961
69,0,-42.518
70,0,-113.946
71,0,-502.56
72,1,-120.623
73,0,-149.415
74,1,-34.3
75,0,-81.114
76,1,-51.434
77,0,74.142
78,0,182.911
79,0,166.501
80,0,-141.74
81,0,4.64300000000002
82,0,198.229
83,1,-63.83
84,0,-88.9320000000001
85,0,161.818
86,0,-473.526
87,0,72.052
88,0,-19.07
89,1,46.435
90,0,49.096
91,1,245.603
92,1,0.649000000000003
93,1,-252.841
94,0,-65.221
95,0,97.466
96,1,42.315
97,1,128.868
98,0,-98.679
99,1,130.469
100,0,125.204
101,0,-169.312
102,1,246.097
103,0,-261.643
104,0,127.446
105,1,-132.992
106,0,24.522
107,1,-99.492
108,1,95.682
109,1,-202.584
110,0,145.1
111,1,143.445
112,1,22.097
113,0,-41.275
114,1,-7.54000000000002
115,0,10.63
116,0,-34.855
117,0,91.096
118,0,7.24600000000001
119,0,41.259
120,0,201.706
121,1,-26.277
122,0,-79.322
123,0,5.90600000000001
124,1,-71.483
125,1,-37.937
126,1,31.444
127,0,-127.15
128,0,-18.292
129,0,164.873
130,1,7.61899999999999
131,0,-112.298
132,1,3.03999999999999
133,1,-20.866
134,1,-137.867
135,1,101.81
136,1,17.034
137,0,119.665
138,0,-174.857
139,1,-0.731000000000014
140,0,14.995
141,1,-79.27
142,1,-24.713
143,1,-284.313
144,1,12.531
145,1,27.587
146,1,176.597
147,1,58.351
148,1,29.165
149,1,150.271
150,1,-24.344
151,1,-137.311
152,0,21.783
153,0,-85.799
154,0,173.859
155,0,177.534
156,0,-97.325
157,0,-55.526
158,1,-27.992
159,1,-55.825
160,1,34.982
161,1,-17.397
162,0,-259.331
163,0,184.502
164,1,66.761
165,0,18.235
166,1,265.967
167,1,40.327
168,1,96.683
169,0,90.8340000000001
170,0,-440.92
171,0,-67.523
172,1,-16.621
173,1,-127.689
174,1,-82.288
175,0,-62.927
176,1,313.423
177,0,-167.408
178,0,189.172
179,1,91.794
180,0,-213.765
181,1,131.158
182,0,-173.549
183,1,-101.92
184,0,-114.559
185,1,121.481
186,1,-98.205
187,1,24.492
188,1,-29.817
189,0,54.491
190,1,-11.834
191,0,-124.926
192,0,-43.893
193,1,33.207
194,1,-14.828
195,0,-348.264
196,1,-67.337
197,1,-72.889
198,0,-240.723
199,0,159.725
200,1,-56.793
